term 	 tf-idf weight 	 BM25 ranking 
bishop 	 4689.911032338317 1.082025651833564 
museum 	 3876.505086366602 1.082025651833564 
planetarium 	 3126.607354892212 1.2774736602636105 
hilo 	 11489.157658919406 0.7416279396105556 
won 	 1979.8812945862564 1.2774736602636105 
awards 	 3024.694019165735 1.082025651833564 
continued 	 4406.509107020648 0.7416279396105556 
research 	 734.4987991908558 1.2774736602636105 
astronomy 	 9379.822064676635 0.7416279396105556 
ching 	 3829.719219639802 1.2774736602636105 
director 	 455.61952666424946 1.7098737472737862 
founder 	 1341.4965796669233 1.5590955628438057 
esteem 	 3876.505086366602 1.082025651833564 
clyde 	 9379.822064676635 0.7416279396105556 
lee 	 1817.621617608466 1.404304537426343 
mckinley 	 8827.472485569217 0.7416279396105556 
volleyball 	 2872.2894147298516 1.404304537426343 
coach 	 2031.6630144488622 1.4932571907232772 
men's 	 3876.505086366602 1.082025651833564 
team 	 1823.002921445146 1.2774736602636105 
assistant 	 1119.6894818877408 1.5590955628438057 
jose 	 8827.472485569217 0.7416279396105556 
chaminade 	 11489.157658919406 0.7416279396105556 
coached 	 5744.578829459703 1.082025651833564 
mpi 	 10158.315072244312 0.7416279396105556 
moanalua 	 11489.157658919406 0.7416279396105556 
ronald 	 7753.010172733204 0.7416279396105556 
div 	 10158.315072244312 0.7416279396105556 
clinical 	 2055.2624374063416 1.2774736602636105 
itaa 	 11489.157658919406 0.7416279396105556 
specializing 	 1875.964412935327 1.4932571907232772 
management 	 1066.5268269765631 1.2774736602636105 
personal 	 1372.8570135231835 1.082025651833564 
effectiveness 	 4608.801297083674 0.7416279396105556 
seminars 	 2942.490828523072 1.2774736602636105 
yona 	 11489.157658919406 0.7416279396105556 
chock 	 11489.157658919406 0.7416279396105556 
proprietor 	 10158.315072244312 0.7416279396105556 
aardvark 	 11489.157658919406 0.7416279396105556 
adventures 	 7496.629898894121 0.7416279396105556 
performed 	 1605.5418965145273 1.404304537426343 
italy 	 4958.858686128067 0.7416279396105556 
netherlands 	 8827.472485569217 0.7416279396105556 
magicians 	 5744.578829459703 1.082025651833564 
ring 	 8399.036867045934 0.7416279396105556 
brotherhood 	 9379.822064676635 0.7416279396105556 
kenneth 	 6885.198735146534 0.7416279396105556 
chong 	 11489.157658919406 0.7416279396105556 
realty 	 4024.48973900077 1.082025651833564 
consultants 	 7753.010172733204 0.7416279396105556 
glenn 	 9379.822064676635 0.7416279396105556 
chu 	 5079.157536122156 1.082025651833564 
owner 	 440.4133794442161 1.783806474120253 
roxanne's 	 11489.157658919406 0.7416279396105556 
patisserie 	 11489.157658919406 0.7416279396105556 
ward 	 7753.010172733204 0.7416279396105556 
centre 	 6885.198735146534 0.7416279396105556 
hajjibaba's 	 11489.157658919406 0.7416279396105556 
moroccan 	 11489.157658919406 0.7416279396105556 
restaurant 	 1679.8073734091868 1.4932571907232772 
catering 	 8399.036867045934 0.7416279396105556 
france 	 5023.949665345376 0.7416279396105556 
owned 	 5939.643883758769 0.7416279396105556 
energies 	 9379.822064676635 0.7416279396105556 
focused 	 6422.167586058109 0.7416279396105556 
indigo 	 11489.157658919406 0.7416279396105556 
cynthia 	 5079.157536122156 1.082025651833564 
chan 	 8827.472485569217 0.7416279396105556 
doctor 	 6165.787312219026 0.7416279396105556 
hypnotherapy 	 11489.157658919406 0.7416279396105556 
private 	 615.5178464450468 1.5590955628438057 
practice 	 2359.272725828188 1.082025651833564 
numerous 	 1193.9657852259409 1.404304537426343 
organizations 	 1034.5415444150858 1.404304537426343 
help 	 3304.81229500008 0.7416279396105556 
