term 	 tf-idf weight 	 BM25 ranking 
wedbush 	 11489.157658919406 0.7416279396105556 
morgan 	 7496.629898894121 0.7416279396105556 
securities 	 6718.136891326446 0.7416279396105556 
fredrick 	 11489.157658919406 0.7416279396105556 
lam 	 8827.472485569217 0.7416279396105556 
england 	 5023.949665345376 0.7416279396105556 
conservatory 	 11489.157658919406 0.7416279396105556 
music 	 1232.1176782989833 1.082025651833564 
teaches 	 3876.505086366602 1.082025651833564 
voice 	 5387.29430465135 0.7416279396105556 
privately 	 8827.472485569217 0.7416279396105556 
uhm 	 1641.3082369884867 1.6097930557866313 
larsen 	 10158.315072244312 0.7416279396105556 
wills 	 7753.010172733204 0.7416279396105556 
trusts 	 8827.472485569217 0.7416279396105556 
inheritance 	 8827.472485569217 0.7416279396105556 
taxes 	 5737.351693695743 0.7416279396105556 
writes 	 8399.036867045934 0.7416279396105556 
column 	 7496.629898894121 0.7416279396105556 
advertiser 	 11489.157658919406 0.7416279396105556 
laughlin 	 11489.157658919406 0.7416279396105556 
innovative 	 6049.38803833147 0.7416279396105556 
day 	 2666.527546660993 0.7416279396105556 
piano 	 3748.3149494470604 1.082025651833564 
nationwide 	 3442.599367573267 1.082025651833564 
gary 	 9379.822064676635 0.7416279396105556 
cebs 	 5744.578829459703 1.082025651833564 
employee 	 5387.29430465135 0.7416279396105556 
benefits 	 4056.451717976255 0.7416279396105556 
higgins 	 9379.822064676635 0.7416279396105556 
jeannie 	 11489.157658919406 0.7416279396105556 
liberal 	 4958.858686128067 0.7416279396105556 
native 	 637.4835215217493 1.6827509567540908 
korean 	 3635.243235216932 1.082025651833564 
roberta 	 11489.157658919406 0.7416279396105556 
driscoll 	 11489.157658919406 0.7416279396105556 
raymond 	 8399.036867045934 0.7416279396105556 
lesher 	 5744.578829459703 1.082025651833564 
mai 	 2359.272725828188 1.082025651833564 
cre 	 5079.157536122156 1.082025651833564 
company 	 1188.3532132109433 1.2774736602636105 
jisheng 	 11489.157658919406 0.7416279396105556 
administration 	 1092.6529034695266 1.2774736602636105 
third 	 3902.7697192430655 0.7416279396105556 
student 	 2252.4961161223723 1.082025651833564 
review 	 2590.478001518505 0.7416279396105556 
richardson 	 9379.822064676635 0.7416279396105556 
adam 	 6718.136891326446 0.7416279396105556 
lockwood 	 11489.157658919406 0.7416279396105556 
competitive 	 5737.351693695743 0.7416279396105556 
played 	 2693.647152325675 1.082025651833564 
named 	 5835.8348189198405 0.7416279396105556 
collegiate 	 5079.157536122156 1.082025651833564 
kamehameha 	 5744.578829459703 1.082025651833564 
asst 	 11489.157658919406 0.7416279396105556 
currently 	 4056.451717976255 0.7416279396105556 
head 	 1422.5511455959218 1.2774736602636105 
academic 	 5233.612305918161 0.7416279396105556 
services 	 901.9041933976368 1.2774736602636105 
athletic 	 9379.822064676635 0.7416279396105556 
dept 	 1817.621617608466 1.404304537426343 
roland 	 8827.472485569217 0.7416279396105556 
bula 	 11489.157658919406 0.7416279396105556 
logan 	 10158.315072244312 0.7416279396105556 
kalua 	 11489.157658919406 0.7416279396105556 
kaiahua 	 11489.157658919406 0.7416279396105556 
maui 	 11489.157658919406 0.7416279396105556 
ho'ohalike 	 11489.157658919406 0.7416279396105556 
kahiko 	 11489.157658919406 0.7416279396105556 
hou 	 10158.315072244312 0.7416279396105556 
la'au 	 11489.157658919406 0.7416279396105556 
lapa'au 	 11489.157658919406 0.7416279396105556 
keely 	 11489.157658919406 0.7416279396105556 
luke 	 11489.157658919406 0.7416279396105556 
brooks 	 8827.472485569217 0.7416279396105556 
female 	 5091.324999383014 0.7416279396105556 
photographer 	 4689.911032338317 1.082025651833564 
portfolio 	 8399.036867045934 0.7416279396105556 
includes 	 1314.0631332920937 1.082025651833564 
weddings 	 9379.822064676635 0.7416279396105556 
portraiture 	 11489.157658919406 0.7416279396105556 
fashion 	 7496.629898894121 0.7416279396105556 
associated 	 4718.545451656376 0.7416279396105556 
press 	 3124.2767116753894 0.7416279396105556 
electric 	 2969.8219418793847 1.082025651833564 
mtv 	 5835.8348189198405 0.7416279396105556 
penzoil 	 11489.157658919406 0.7416279396105556 
charles 	 6165.787312219026 0.7416279396105556 
lum 	 5744.578829459703 1.082025651833564 
kee 	 5744.578829459703 1.082025651833564 
microcomputer 	 9379.822064676635 0.7416279396105556 
software 	 2693.647152325675 1.082025651833564 
classes 	 5554.356148471439 0.7416279396105556 
tim 	 9379.822064676635 0.7416279396105556 
lyons 	 10158.315072244312 0.7416279396105556 
pest 	 8827.472485569217 0.7416279396105556 
control 	 2705.7125801929105 0.7416279396105556 
faye 	 10158.315072244312 0.7416279396105556 
maeda 	 11489.157658919406 0.7416279396105556 
sphr 	 11489.157658919406 0.7416279396105556 
workforce 	 7753.010172733204 0.7416279396105556 
mantel 	 11489.157658919406 0.7416279396105556 
systems 	 3028.25670417204 0.7416279396105556 
provides 	 3416.147829688751 0.7416279396105556 
instruction 	 6564.454892593255 0.7416279396105556 
learn 	 5233.612305918161 0.7416279396105556 
subjects 	 6165.787312219026 0.7416279396105556 
speed 	 6049.38803833147 0.7416279396105556 
reading 	 5469.008764335438 0.7416279396105556 
memory 	 6885.198735146534 0.7416279396105556 
enhancement 	 8048.97947800154 0.7416279396105556 
vocabulary 	 8399.036867045934 0.7416279396105556 
building 	 3795.077943273061 0.7416279396105556 
john 	 1024.2185659090233 1.404304537426343 
margeson 	 11489.157658919406 0.7416279396105556 
cartoon 	 10158.315072244312 0.7416279396105556 
illustrator 	 11489.157658919406 0.7416279396105556 
wide 	 4096.874263636093 0.7416279396105556 
variety 	 4016.8626865470023 0.7416279396105556 
companies 	 4180.365678560392 0.7416279396105556 
disney 	 7753.010172733204 0.7416279396105556 
mcdonald's 	 9379.822064676635 0.7416279396105556 
nynex 	 10158.315072244312 0.7416279396105556 
forbes 	 10158.315072244312 0.7416279396105556 
magazine 	 1979.8812945862564 1.2774736602636105 
connie 	 11489.157658919406 0.7416279396105556 
mark 	 6422.167586058109 0.7416279396105556 
waiau 	 11489.157658919406 0.7416279396105556 
elementary 	 1512.3470095828675 1.404304537426343 
grade 	 6165.787312219026 0.7416279396105556 
iris 	 10158.315072244312 0.7416279396105556 
matsunobu 	 11489.157658919406 0.7416279396105556 
program 	 377.5728755052588 1.5590955628438057 
specialist 	 1938.252543183301 1.404304537426343 
term 	 3760.482412707919 0.7416279396105556 
care 	 1897.5389716365305 1.082025651833564 
ombudsman 	 9379.822064676635 0.7416279396105556 
aging 	 7496.629898894121 0.7416279396105556 
social 	 2464.2353565979665 0.7416279396105556 
maxwell 	 11489.157658919406 0.7416279396105556 
aided 	 9379.822064676635 0.7416279396105556 
golf 	 1609.795895600308 1.4932571907232772 
course 	 2278.0976333212475 1.082025651833564 
parks 	 10158.315072244312 0.7416279396105556 
kimberly 	 10158.315072244312 0.7416279396105556 
merrill 	 9379.822064676635 0.7416279396105556 
massage 	 2206.868121392304 1.404304537426343 
therapist 	 9379.822064676635 0.7416279396105556 
honors 	 7068.194280370838 0.7416279396105556 
boulder 	 9379.822064676635 0.7416279396105556 
therapy 	 1851.4520494904798 1.2774736602636105 
zen 	 8827.472485569217 0.7416279396105556 
shiatsu 	 11489.157658919406 0.7416279396105556 
swedish 	 8048.97947800154 0.7416279396105556 
integrative 	 10158.315072244312 0.7416279396105556 
neuromuscular 	 11489.157658919406 0.7416279396105556 
body 	 2048.4371318180465 1.082025651833564 
centered 	 6564.454892593255 0.7416279396105556 
peter 	 3978.0734884973654 0.7416279396105556 
michaud 	 11489.157658919406 0.7416279396105556 
meteorology 	 8399.036867045934 0.7416279396105556 
miller 	 6422.167586058109 0.7416279396105556 
daniela 	 11489.157658919406 0.7416279396105556 
minerbi 	 11489.157658919406 0.7416279396105556 
arch 	 9379.822064676635 0.7416279396105556 
polytechnical 	 11489.157658919406 0.7416279396105556 
milan 	 8399.036867045934 0.7416279396105556 
kelvin 	 10158.315072244312 0.7416279396105556 
miyahira 	 11489.157658919406 0.7416279396105556 
leeward 	 3829.719219639802 1.2774736602636105 
shop 	 6049.38803833147 0.7416279396105556 
learned 	 6718.136891326446 0.7416279396105556 
notable 	 8827.472485569217 0.7416279396105556 
professionals 	 5554.356148471439 0.7416279396105556 
leadbetter 	 11489.157658919406 0.7416279396105556 
jimmy 	 8048.97947800154 0.7416279396105556 
ballard 	 9379.822064676635 0.7416279396105556 
moulin 	 11489.157658919406 0.7416279396105556 
french 	 4662.889380859731 0.7416279396105556 
atsuko 	 11489.157658919406 0.7416279396105556 
nakamura 	 11489.157658919406 0.7416279396105556 
editor 	 4834.94472554393 0.7416279396105556 
reader's 	 11489.157658919406 0.7416279396105556 
translator 	 3386.105024081437 1.2774736602636105 
henry 	 6165.787312219026 0.7416279396105556 
nakatani 	 11489.157658919406 0.7416279396105556 
structural 	 5469.008764335438 0.7416279396105556 
engineer 	 8048.97947800154 0.7416279396105556 
division 	 4895.902226307924 0.7416279396105556 
luan 	 11489.157658919406 0.7416279396105556 
nguyen 	 10158.315072244312 0.7416279396105556 
vietnamese 	 8827.472485569217 0.7416279396105556 
commerce 	 6564.454892593255 0.7416279396105556 
travelled 	 9379.822064676635 0.7416279396105556 
vietnam 	 5643.674578490433 0.7416279396105556 
nitta 	 11489.157658919406 0.7416279396105556 
nitta's 	 11489.157658919406 0.7416279396105556 
auto 	 6564.454892593255 0.7416279396105556 
repair 	 6718.136891326446 0.7416279396105556 
race 	 4895.902226307924 0.7416279396105556 
car 	 4958.858686128067 0.7416279396105556 
driver 	 7753.010172733204 0.7416279396105556 
sponsored 	 7496.629898894121 0.7416279396105556 
ford 	 6885.198735146534 0.7416279396105556 
reiko 	 11489.157658919406 0.7416279396105556 
oda 	 2969.8219418793847 1.082025651833564 
yoshibumi 	 11489.157658919406 0.7416279396105556 
ogawa 	 11489.157658919406 0.7416279396105556 
tea 	 7753.010172733204 0.7416279396105556 
urasenke 	 11489.157658919406 0.7416279396105556 
foundation 	 4895.902226307924 0.7416279396105556 
konichi 	 11489.157658919406 0.7416279396105556 
van 	 3660.2857666204245 0.7416279396105556 
ohumukini 	 11489.157658919406 0.7416279396105556 
absolute 	 3442.599367573267 1.082025651833564 
sushi 	 5079.157536122156 1.082025651833564 
andrew 	 6422.167586058109 0.7416279396105556 
okada 	 11489.157658919406 0.7416279396105556 
precious 	 9379.822064676635 0.7416279396105556 
ink 	 11489.157658919406 0.7416279396105556 
jerry 	 10158.315072244312 0.7416279396105556 
omo 	 11489.157658919406 0.7416279396105556 
aas 	 10158.315072244312 0.7416279396105556 
rochester 	 10158.315072244312 0.7416279396105556 
included 	 4406.509107020648 0.7416279396105556 
sun 	 6049.38803833147 0.7416279396105556 
chocolates 	 11489.157658919406 0.7416279396105556 
airlines 	 7068.194280370838 0.7416279396105556 
kay 	 10158.315072244312 0.7416279396105556 
cosmetics 	 10158.315072244312 0.7416279396105556 
joanne 	 11489.157658919406 0.7416279396105556 
oshiro 	 11489.157658919406 0.7416279396105556 
wheeler 	 10158.315072244312 0.7416279396105556 
resource 	 2654.45803758623 1.082025651833564 
otake 	 11489.157658919406 0.7416279396105556 
west 	 1708.0739148443754 1.082025651833564 
loch 	 11489.157658919406 0.7416279396105556 
pga 	 5744.578829459703 1.082025651833564 
top 	 896.7170625001472 1.082025651833564 
nation 	 5161.150876191094 0.7416279396105556 
qualifying 	 8399.036867045934 0.7416279396105556 
josephine 	 10158.315072244312 0.7416279396105556 
pablo 	 10158.315072244312 0.7416279396105556 
instructional 	 7496.629898894121 0.7416279396105556 
francis 	 7753.010172733204 0.7416279396105556 
pang 	 11489.157658919406 0.7416279396105556 
physical 	 3628.016099452972 0.7416279396105556 
recreation 	 2481.76972503945 0.7416279396105556 
acupuncturist 	 11489.157658919406 0.7416279396105556 
acupuncture 	 7496.629898894121 0.7416279396105556 
practitioner 	 7753.010172733204 0.7416279396105556 
oriental 	 8399.036867045934 0.7416279396105556 
medicine 	 787.4214973317285 1.2774736602636105 
ch'i 	 11489.157658919406 0.7416279396105556 
ch'uan 	 11489.157658919406 0.7416279396105556 
marcia 	 11489.157658919406 0.7416279396105556 
pasqua 	 11489.157658919406 0.7416279396105556 
manoa 	 2872.2894147298516 1.404304537426343 
free 	 1214.819913016412 1.082025651833564 
lance 	 2942.490828523072 1.2774736602636105 
nobuko 	 11489.157658919406 0.7416279396105556 
pugarelli 	 11489.157658919406 0.7416279396105556 
aoshima 	 11489.157658919406 0.7416279396105556 
literature 	 2412.5730469917116 0.7416279396105556 
community 	 986.4224154859994 1.2774736602636105 
ongoing 	 6165.787312219026 0.7416279396105556 
reed 	 8827.472485569217 0.7416279396105556 
professor 	 1874.1574747235302 1.404304537426343 
emeritus 	 11489.157658919406 0.7416279396105556 
zoology 	 11489.157658919406 0.7416279396105556 
patricia 	 9379.822064676635 0.7416279396105556 
rife 	 11489.157658919406 0.7416279396105556 
envision 	 10158.315072244312 0.7416279396105556 
profit 	 5308.91607517246 0.7416279396105556 
grant 	 6564.454892593255 0.7416279396105556 
writing 	 4096.874263636093 0.7416279396105556 
hands 	 5643.674578490433 0.7416279396105556 
approach 	 3902.7697192430655 0.7416279396105556 
marketed 	 9379.822064676635 0.7416279396105556 
internet 	 1987.5386693933224 0.7416279396105556 
marie 	 4689.911032338317 1.082025651833564 
riley 	 10158.315072244312 0.7416279396105556 
acupressure 	 11489.157658919406 0.7416279396105556 
center 	 596.3978810280487 1.4932571907232772 
hector 	 10158.315072244312 0.7416279396105556 
robertin 	 11489.157658919406 0.7416279396105556 
microcomputers 	 11489.157658919406 0.7416279396105556 
serving 	 6165.787312219026 0.7416279396105556 
courses 	 6718.136891326446 0.7416279396105556 
valerie 	 10158.315072244312 0.7416279396105556 
santiago 	 10158.315072244312 0.7416279396105556 
billing 	 8048.97947800154 0.7416279396105556 
savas 	 11489.157658919406 0.7416279396105556 
olive 	 10158.315072244312 0.7416279396105556 
tree 	 6718.136891326446 0.7416279396105556 
advocates 	 6718.136891326446 0.7416279396105556 
healthy 	 7270.486470433864 0.7416279396105556 
greek 	 5835.8348189198405 0.7416279396105556 
diet 	 7753.010172733204 0.7416279396105556 
markets 	 5737.351693695743 0.7416279396105556 
vegetarian 	 10158.315072244312 0.7416279396105556 
restaurants 	 4413.736242784608 1.082025651833564 
addition 	 4267.653436787766 0.7416279396105556 
mediterranean 	 8827.472485569217 0.7416279396105556 
natural 	 4312.831991815339 0.7416279396105556 
organic 	 8399.036867045934 0.7416279396105556 
wines 	 10158.315072244312 0.7416279396105556 
ken 	 10158.315072244312 0.7416279396105556 
schwartz 	 8399.036867045934 0.7416279396105556 
russian 	 3940.0524440887 0.7416279396105556 
interpreter 	 11489.157658919406 0.7416279396105556 
technical 	 4895.902226307924 0.7416279396105556 
broadcasting 	 7270.486470433864 0.7416279396105556 
expected 	 4834.94472554393 0.7416279396105556 
linguistics 	 1267.6772991121184 1.082025651833564 
spring 	 6165.787312219026 0.7416279396105556 
steven 	 8827.472485569217 0.7416279396105556 
seifried 	 11489.157658919406 0.7416279396105556 
biochemistry 	 9379.822064676635 0.7416279396105556 
biophysics 	 11489.157658919406 0.7416279396105556 
burns 	 7753.010172733204 0.7416279396105556 
fay 	 11489.157658919406 0.7416279396105556 
shimizu 	 11489.157658919406 0.7416279396105556 
continuing 	 5161.150876191094 0.7416279396105556 
shirai 	 11489.157658919406 0.7416279396105556 
visual 	 6718.136891326446 0.7416279396105556 
perspectives 	 5939.643883758769 0.7416279396105556 
production 	 4223.513561796344 0.7416279396105556 
media 	 1662.6095390792357 0.7416279396105556 
published 	 4556.195266642495 0.7416279396105556 
nov 	 7753.010172733204 0.7416279396105556 
karaoke 	 11489.157658919406 0.7416279396105556 
sing 	 9379.822064676635 0.7416279396105556 
fun 	 7753.010172733204 0.7416279396105556 
confidence 	 5939.643883758769 0.7416279396105556 
news 	 3504.1021388688355 0.7416279396105556 
producer 	 9379.822064676635 0.7416279396105556 
anchor 	 8827.472485569217 0.7416279396105556 
reporter 	 6564.454892593255 0.7416279396105556 
khon 	 11489.157658919406 0.7416279396105556 
carol 	 4199.518433522967 1.082025651833564 
silva 	 11489.157658919406 0.7416279396105556 
studies 	 2056.8602783061856 0.7416279396105556 
historical 	 3199.5804809296897 0.7416279396105556 
researcher 	 10158.315072244312 0.7416279396105556 
archivist 	 11489.157658919406 0.7416279396105556 
russell 	 10158.315072244312 0.7416279396105556 
siu 	 11489.157658919406 0.7416279396105556 
kaka'ako 	 11489.157658919406 0.7416279396105556 
kitchen 	 9379.822064676635 0.7416279396105556 
jim 	 6289.701272803162 0.7416279396105556 
smigielski 	 11489.157658919406 0.7416279396105556 
duangduen 	 11489.157658919406 0.7416279396105556 
buranasombati 	 11489.157658919406 0.7416279396105556 
touch 	 6564.454892593255 0.7416279396105556 
thailand 	 4413.736242784608 1.082025651833564 
taste 	 8399.036867045934 0.7416279396105556 
cookbooks 	 11489.157658919406 0.7416279396105556 
spencer 	 8827.472485569217 0.7416279396105556 
milton 	 7753.010172733204 0.7416279396105556 
staackmann 	 11489.157658919406 0.7416279396105556 
various 	 2345.7837041077137 0.7416279396105556 
meditation 	 3748.3149494470604 1.082025651833564 
philosophies 	 5554.356148471439 0.7416279396105556 
formed 	 5469.008764335438 0.7416279396105556 
ananda 	 11489.157658919406 0.7416279396105556 
jean 	 3442.599367573267 1.082025651833564 
stangl 	 11489.157658919406 0.7416279396105556 
regional 	 1572.8484838854588 1.2774736602636105 
advisor 	 7270.486470433864 0.7416279396105556 
writers 	 5554.356148471439 0.7416279396105556 
childhood 	 5939.643883758769 0.7416279396105556 
santa 	 3442.599367573267 1.082025651833564 
barbara 	 6564.454892593255 0.7416279396105556 
mouna 	 11489.157658919406 0.7416279396105556 
stanzani 	 11489.157658919406 0.7416279396105556 
italian 	 5737.351693695743 0.7416279396105556 
master's 	 8399.036867045934 0.7416279396105556 
degree 	 5091.324999383014 0.7416279396105556 
english 	 1066.9133591969414 1.404304537426343 
leigh 	 11489.157658919406 0.7416279396105556 
stephens 	 9379.822064676635 0.7416279396105556 
journalism 	 6718.136891326446 0.7416279396105556 
sacramento 	 8048.97947800154 0.7416279396105556 
directs 	 8048.97947800154 0.7416279396105556 
agency 	 4056.451717976255 0.7416279396105556 
consulting 	 8048.97947800154 0.7416279396105556 
government 	 2265.4372530315527 0.7416279396105556 
marga 	 11489.157658919406 0.7416279396105556 
stubblefield 	 10158.315072244312 0.7416279396105556 
lpga 	 5744.578829459703 1.082025651833564 
olomana 	 11489.157658919406 0.7416279396105556 
links 	 6289.701272803162 0.7416279396105556 
pro 	 4958.858686128067 0.7416279396105556 
sueoka 	 11489.157658919406 0.7416279396105556 
wilcox 	 11489.157658919406 0.7416279396105556 
takaaki 	 11489.157658919406 0.7416279396105556 
suzuki 	 11489.157658919406 0.7416279396105556 
students 	 1591.9543803012543 1.2774736602636105 
darren 	 11489.157658919406 0.7416279396105556 
tackett 	 11489.157658919406 0.7416279396105556 
executve 	 11489.157658919406 0.7416279396105556 
kyotaru 	 11489.157658919406 0.7416279396105556 
ronnie 	 11489.157658919406 0.7416279396105556 
tai 	 9379.822064676635 0.7416279396105556 
kevin 	 8827.472485569217 0.7416279396105556 
takaki 	 11489.157658919406 0.7416279396105556 
sports 	 1214.819913016412 1.082025651833564 
total 	 4406.509107020648 0.7416279396105556 
conditioning 	 7496.629898894121 0.7416279396105556 
takamiya 	 11489.157658919406 0.7416279396105556 
arranger 	 11489.157658919406 0.7416279396105556 
sfca 	 11489.157658919406 0.7416279396105556 
apprentice 	 10158.315072244312 0.7416279396105556 
alan 	 3876.505086366602 1.082025651833564 
takano 	 11489.157658919406 0.7416279396105556 
takata 	 11489.157658919406 0.7416279396105556 
takazawa 	 11489.157658919406 0.7416279396105556 
moving 	 5835.8348189198405 0.7416279396105556 
uncompany 	 11489.157658919406 0.7416279396105556 
broadway 	 7753.010172733204 0.7416279396105556 
toured 	 11489.157658919406 0.7416279396105556 
rudolph 	 10158.315072244312 0.7416279396105556 
nureyev 	 11489.157658919406 0.7416279396105556 
jonathan 	 8399.036867045934 0.7416279396105556 
tani 	 10158.315072244312 0.7416279396105556 
reigikai 	 11489.157658919406 0.7416279396105556 
age 	 1863.2496123385347 1.082025651833564 
club 	 6165.787312219026 0.7416279396105556 
champion 	 4689.911032338317 1.082025651833564 
illustrated 	 7068.194280370838 0.7416279396105556 
vita 	 6049.38803833147 0.7416279396105556 
tanielu 	 11489.157658919406 0.7416279396105556 
samoan 	 10158.315072244312 0.7416279396105556 
brianthomas 	 11489.157658919406 0.7416279396105556 
thomas 	 5554.356148471439 0.7416279396105556 
kamuela 	 11489.157658919406 0.7416279396105556 
dave 	 9379.822064676635 0.7416279396105556 
thorne 	 11489.157658919406 0.7416279396105556 
cartoonist 	 11489.157658919406 0.7416279396105556 
micronesia 	 10158.315072244312 0.7416279396105556 
samoa 	 7753.010172733204 0.7416279396105556 
ella 	 11489.157658919406 0.7416279396105556 
tokunaga 	 11489.157658919406 0.7416279396105556 
aki 	 4267.653436787766 0.7416279396105556 
bradley 	 10158.315072244312 0.7416279396105556 
totherow 	 11489.157658919406 0.7416279396105556 
cadinha 	 11489.157658919406 0.7416279396105556 
trockman 	 11489.157658919406 0.7416279396105556 
nurse 	 7068.194280370838 0.7416279396105556 
kapi'olani 	 11489.157658919406 0.7416279396105556 
women 	 3940.0524440887 0.7416279396105556 
yoshiko 	 11489.157658919406 0.7416279396105556 
hirokane 	 11489.157658919406 0.7416279396105556 
tsukamoto 	 11489.157658919406 0.7416279396105556 
accomplished 	 7753.010172733204 0.7416279396105556 
speaking 	 2821.8372892452167 1.082025651833564 
bob 	 8048.97947800154 0.7416279396105556 
twogood 	 5744.578829459703 1.082025651833564 
kayaks 	 10158.315072244312 0.7416279396105556 
kayak 	 5744.578829459703 1.082025651833564 
racing 	 5744.578829459703 1.082025651833564 
manufacturing 	 5835.8348189198405 0.7416279396105556 
ilh 	 11489.157658919406 0.7416279396105556 
canoe 	 11489.157658919406 0.7416279396105556 
ussing 	 11489.157658919406 0.7416279396105556 
capoeira 	 5744.578829459703 1.082025651833564 
mestre 	 5744.578829459703 1.082025651833564 
amen 	 5079.157536122156 1.082025651833564 
monica 	 10158.315072244312 0.7416279396105556 
angola 	 10158.315072244312 0.7416279396105556 
salvador 	 11489.157658919406 0.7416279396105556 
brasil 	 11489.157658919406 0.7416279396105556 
batuque 	 11489.157658919406 0.7416279396105556 
auspices 	 8827.472485569217 0.7416279396105556 
mestres 	 11489.157658919406 0.7416279396105556 
beicola 	 11489.157658919406 0.7416279396105556 
vernon 	 8827.472485569217 0.7416279396105556 
child 	 4180.365678560392 0.7416279396105556 
shao 	 11489.157658919406 0.7416279396105556 
ling 	 8827.472485569217 0.7416279396105556 
wang 	 7496.629898894121 0.7416279396105556 
experienced 	 2329.443179945329 0.7416279396105556 
manabu 	 11489.157658919406 0.7416279396105556 
watanabe 	 11489.157658919406 0.7416279396105556 
scholar 	 8048.97947800154 0.7416279396105556 
eloise 	 11489.157658919406 0.7416279396105556 
wetherall 	 5744.578829459703 1.082025651833564 
williams 	 6564.454892593255 0.7416279396105556 
artists 	 6564.454892593255 0.7416279396105556 
craftspeople 	 11489.157658919406 0.7416279396105556 
economic 	 2870.9758290336968 0.7416279396105556 
douglas 	 6718.136891326446 0.7416279396105556 
wilson 	 6049.38803833147 0.7416279396105556 
senior 	 5161.150876191094 0.7416279396105556 
bank 	 3866.197184899332 0.7416279396105556 
stephanie 	 10158.315072244312 0.7416279396105556 
winieski 	 11489.157658919406 0.7416279396105556 
practicing 	 7496.629898894121 0.7416279396105556 
yoga 	 4689.911032338317 1.082025651833564 
silent 	 8399.036867045934 0.7416279396105556 
kaiser 	 11489.157658919406 0.7416279396105556 
permanente 	 11489.157658919406 0.7416279396105556 
wong's 	 11489.157658919406 0.7416279396105556 
chefs 	 11489.157658919406 0.7416279396105556 
specialize 	 9379.822064676635 0.7416279396105556 
creating 	 5091.324999383014 0.7416279396105556 
combines 	 9379.822064676635 0.7416279396105556 
tastes 	 8827.472485569217 0.7416279396105556 
east 	 3795.077943273061 0.7416279396105556 
wong 	 4689.911032338317 1.082025651833564 
organization 	 2807.3235909852483 0.7416279396105556 
plus 	 6165.787312219026 0.7416279396105556 
organizing 	 6885.198735146534 0.7416279396105556 
time 	 1830.7168498459296 0.7416279396105556 
service 	 2914.6140711026046 0.7416279396105556 
organizers 	 8048.97947800154 0.7416279396105556 
sectors 	 6885.198735146534 0.7416279396105556 
stan 	 8048.97947800154 0.7416279396105556 
active 	 5939.643883758769 0.7416279396105556 
participant 	 8399.036867045934 0.7416279396105556 
usvba 	 11489.157658919406 0.7416279396105556 
woollard 	 11489.157658919406 0.7416279396105556 
lesley 	 9379.822064676635 0.7416279396105556 
wright 	 7270.486470433864 0.7416279396105556 
princeton 	 8827.472485569217 0.7416279396105556 
associate 	 7753.010172733204 0.7416279396105556 
authority 	 4180.365678560392 0.7416279396105556 
opera 	 1721.2996837866335 1.404304537426343 
carmen 	 9379.822064676635 0.7416279396105556 
productions 	 8827.472485569217 0.7416279396105556 
metropolitan 	 7496.629898894121 0.7416279396105556 
emy 	 11489.157658919406 0.7416279396105556 
yamauchi 	 11489.157658919406 0.7416279396105556 
temp 	 10158.315072244312 0.7416279396105556 
worker 	 5387.29430465135 0.7416279396105556 
