term 	 tf-idf weight 	 BM25 ranking 
allowed 	 2738.5585841818165 1.0076710528135855 
prove 	 3650.429054684196 1.0076710528135855 
parties 	 262.6340371481618 1.8091171973673073 
permanently 	 14014.447080707889 0.5057754414684522 
irreversibly 	 20004.29898633728 0.5057754414684522 
sterile 	 16331.638105319787 0.5057754414684522 
obligated 	 3503.611770176972 1.1503634177109439 
constitution 	 9112.482259731463 0.5057754414684522 
united 	 4609.215054579088 0.5057754414684522 
full 	 5754.160157388161 0.5057754414684522 
faith 	 2456.6151192569687 1.1503634177109439 
credit 	 8024.595175078502 0.5057754414684522 
licenses 	 13499.121358045366 0.5057754414684522 
obtained 	 2585.4465499226 1.1503634177109439 
clerk 	 3503.611770176972 1.1503634177109439 
county 	 1322.1667340612723 1.3401346558440155 
applicant 	 14623.948045070081 0.5057754414684522 
provide 	 707.6616343222757 1.4606104314743455 
name 	 2182.5160947365575 1.0076710528135855 
address 	 3566.6277769102758 0.8073755263114146 
date 	 2078.8685520887084 1.1503634177109439 
birth 	 2417.736016190107 1.1503634177109439 
gender 	 13499.121358045366 0.5057754414684522 
social 	 1430.1977078310765 1.0076710528135855 
security 	 5801.579392166271 0.5057754414684522 
occupation 	 3809.8910947811196 1.0076710528135855 
party 	 277.325129030268 1.7632214715289989 
application 	 1918.0533857960534 1.0076710528135855 
information 	 252.44047144829113 1.576572243595603 
concerning 	 3273.7741421048368 0.8073755263114146 
previous 	 7589.827567344777 0.5057754414684522 
dissolved 	 5001.07474658432 1.1503634177109439 
declared 	 2190.257432810518 1.2571778466026422 
death 	 1209.8644686152325 1.2571778466026422 
spouse 	 444.0050033100861 1.8027447350071315 
parents' 	 16331.638105319787 0.5057754414684522 
names 	 3510.955592385782 1.0076710528135855 
addresses 	 2380.5854556215327 1.1503634177109439 
statement 	 2529.942522448259 1.0076710528135855 
related 	 1328.4138655668287 1.1503634177109439 
applications 	 7843.84845437197 0.5057754414684522 
signed 	 1819.6565707587747 1.1503634177109439 
accompanied 	 11697.256056095994 0.5057754414684522 
licensing 	 12306.757020458183 0.5057754414684522 
fee 	 5367.767443944845 0.8073755263114146 
proof 	 6329.488612151148 0.8073755263114146 
prohibited 	 12306.757020458183 0.5057754414684522 
reason 	 7843.84845437197 0.5057754414684522 
provides 	 1982.6705199044259 1.0076710528135855 
couple 	 5714.83664217168 0.8073755263114146 
written 	 1227.0307197103466 1.0076710528135855 
regarding 	 637.3091311360458 1.5438860336274551 
sexually 	 6749.560679022683 0.8073755263114146 
transmitted 	 5848.628028047997 0.8073755263114146 
diseases 	 5475.643582026294 0.8073755263114146 
inherited 	 16331.638105319787 0.5057754414684522 
metabolic 	 16331.638105319787 0.5057754414684522 
fetal 	 15369.916937113483 0.5057754414684522 
alcohol 	 11181.930333433469 0.5057754414684522 
syndrome 	 12658.977224302296 0.5057754414684522 
days 	 1412.5748013744399 1.2571778466026422 
solemnized 	 20004.29898633728 0.5057754414684522 
officiating 	 20004.29898633728 0.5057754414684522 
ceremony 	 13499.121358045366 0.5057754414684522 
complete 	 3715.303499786849 0.8073755263114146 
certificate 	 6153.378510229091 0.8073755263114146 
form 	 1288.1289589725375 1.1503634177109439 
forward 	 9826.460477027875 0.5057754414684522 
registers 	 17687.10796172538 0.5057754414684522 
premarital 	 10002.14949316864 0.8073755263114146 
agreement 	 769.6006754656651 1.5057313070307274 
known 	 677.9058709628772 1.5057313070307274 
antenuptial 	 10002.14949316864 0.8073755263114146 
contract 	 2345.016257871024 1.1503634177109439 
other's 	 5443.879368439929 1.0076710528135855 
january 	 3878.506201662935 0.8073755263114146 
governed 	 11988.135089372325 0.5057754414684522 
uniform 	 12306.757020458183 0.5057754414684522 
act 	 554.650258060536 1.576572243595603 
valid 	 1693.5065798306443 1.3401346558440155 
enforceable 	 8843.55398086269 0.8073755263114146 
voluntarily 	 14623.948045070081 0.5057754414684522 
fair 	 4690.032515742048 0.8073755263114146 
reasonable 	 1723.6310332817332 1.3401346558440155 
precise 	 11697.256056095994 0.5057754414684522 
words 	 8986.316343284805 0.5057754414684522 
writing 	 7133.2555538205515 0.5057754414684522 
spouses 	 2335.7411801179815 1.3401346558440155 
obligation 	 5994.067544686162 0.8073755263114146 
