term 	 tf-idf weight 	 BM25 ranking 
 shared 	 204.72448297507842 1.8674986430004359 
vision 	 272.9733158378301 1.8192870426167473 
line 	 914.5018291466504 1.3363099841747677 
june 	 587.8845911040145 1.6021412764561234 
search 	 136.3694861592995 1.8192870426167473 
beloved 	 369.12496554240323 1.8674986430004359 
tantric 	 480.42459853517164 1.8674986430004359 
trail 	 2458.4680829582367 1.3363099841747677 
bryan 	 1229.2340414791183 1.6021412764561234 
light 	 565.8340671649544 1.6021412764561234 
miller 	 939.9109852512129 1.6021412764561234 
live 	 1433.0713808255487 1.3363099841747677 
lives 	 1364.8665791891506 1.3363099841747677 
quiet 	 2583.874758796823 1.3363099841747677 
desperation 	 3362.9721897462014 1.3363099841747677 
looking 	 1262.4018642709482 1.3363099841747677 
outside 	 1333.636322840147 1.3363099841747677 
fulfill 	 2356.0033680400343 1.3363099841747677 
mythical 	 2458.4680829582367 1.3363099841747677 
operate 	 1708.1974834546616 1.3363099841747677 
degree 	 1490.2732550277365 1.3363099841747677 
self 	 508.4832720324265 1.6021412764561234 
loathing 	 3362.9721897462014 1.3363099841747677 
created 	 173.92044422514326 1.8471033348021275 
misinformation 	 3362.9721897462014 1.3363099841747677 
misconceptions 	 3362.9721897462014 1.3363099841747677 
conditioning 	 2194.326043322133 1.3363099841747677 
guilt 	 2128.1319772832458 1.3363099841747677 
love 	 290.29985225041395 1.8192870426167473 
loved 	 2458.4680829582367 1.3363099841747677 
don 	 1708.1974834546616 1.3363099841747677 
break 	 1625.8063309588276 1.3363099841747677 
grip 	 2973.423474271512 1.3363099841747677 
past 	 967.3460988489818 1.3363099841747677 
create 	 599.594618792574 1.6021412764561234 
glittering 	 3362.9721897462014 1.3363099841747677 
reality 	 1451.4992612520696 1.3363099841747677 
fortunately 	 2745.5520835147236 1.3363099841747677 
modern 	 472.0438036827288 1.6021412764561234 
dilemma 	 2015.355046433517 1.3363099841747677 
ancient 	 490.1839777646009 1.7159238199036926 
challenge 	 1625.8063309588276 1.3363099841747677 
peoples 	 2194.326043322133 1.3363099841747677 
age 	 1090.7773772231837 1.3363099841747677 
tantra 	 305.72474452238197 1.9135994659070403 
offers 	 1164.415260695583 1.3363099841747677 
solution 	 1553.9639761702722 1.3363099841747677 
wisdom 	 1064.0659886416229 1.6021412764561234 
healing 	 960.7353254264086 1.6021412764561234 
legalized 	 2745.5520835147236 1.3363099841747677 
structure 	 491.7021670812706 1.6021412764561234 
rigidity 	 2973.423474271512 1.3363099841747677 
hindu 	 2973.423474271512 1.3363099841747677 
society 	 853.1318270623249 1.3363099841747677 
emerged 	 2015.355046433517 1.3363099841747677 
rebels 	 2356.0033680400343 1.3363099841747677 
believed 	 1679.370652008858 1.3363099841747677 
personal 	 803.6933766666971 1.3363099841747677 
human 	 433.10109179932164 1.6021412764561234 
evolution 	 1289.8219365341688 1.3363099841747677 
lay 	 2015.355046433517 1.3363099841747677 
restrictions 	 1841.0479767267589 1.3363099841747677 
traditional 	 1187.3572216159664 1.3363099841747677 
castes 	 2973.423474271512 1.3363099841747677 
laws 	 1110.8509396455522 1.3363099841747677 
proved 	 2269.370685977115 1.3363099841747677 
freedom 	 1081.0032178191134 1.3363099841747677 
produce 	 825.9752898728186 1.6021412764561234 
excellence 	 2194.326043322133 1.3363099841747677 
legislation 	 1318.6487679799723 1.3363099841747677 
produced 	 1490.2732550277365 1.3363099841747677 
stagnation 	 2458.4680829582367 1.3363099841747677 
masters 	 1372.7760417573618 1.6021412764561234 
discarding 	 3362.9721897462014 1.3363099841747677 
moribund 	 3362.9721897462014 1.3363099841747677 
traditions 	 2128.1319772832458 1.3363099841747677 
