term 	 tf-idf weight 	 BM25 ranking 
 srl 	 943.1287850747597 1.6228205642284441 
mammoth 	 314.75504836414626 1.9111607824685255 
mountain 	 220.50850028275053 1.9111607824685255 
seasonal 	 248.97629449532636 1.890170622579656 
change 	 210.65111845075012 1.791775811644768 
false 	 920.2447929264871 1.6228205642284441 
color 	 399.69389514997863 1.791775811644768 
composite 	 1062.0008726191838 1.6228205642284441 
imges 	 1573.7752418207313 1.6228205642284441 
sierra 	 1209.1798248461998 1.6228205642284441 
nevada 	 1209.1798248461998 1.6228205642284441 
mountains 	 1026.8821163589344 1.6228205642284441 
calif 	 1150.4930708505628 1.6228205642284441 
significant 	 561.1864225709857 1.6228205642284441 
changes 	 144.93079110847535 1.856193198682461 
snow 	 151.14747810577498 1.943534930430628 
cover 	 156.025957698825 1.890170622579656 
image 	 95.1822779676357 1.9111607824685255 
left 	 286.3115035055685 1.791775811644768 
acquired 	 386.5329203497354 1.791775811644768 
spaceborne 	 920.2447929264871 1.6228205642284441 
imaging 	 399.69389514997863 1.791775811644768 
radar 	 190.20776914687352 1.890170622579656 
band 	 203.40186737350996 1.890170622579656 
synthetic 	 899.1935608083469 1.6228205642284441 
aperture 	 920.2447929264871 1.6228205642284441 
aboard 	 920.2447929264871 1.6228205642284441 
space 	 275.11325170881815 1.791775811644768 
shuttle 	 430.7790194654249 1.791775811644768 
endeavour 	 968.1953623632971 1.6228205642284441 
orbit 	 484.09768118164857 1.791775811644768 
april 	 183.40883447254544 1.856193198682461 
centered 	 449.59678040417344 1.791775811644768 
degrees 	 368.9735422196107 1.791775811644768 
north 	 464.04471535941497 1.6228205642284441 
latitude 	 920.2447929264871 1.6228205642284441 
west 	 467.941082920907 1.6228205642284441 
longitude 	 995.9051779813054 1.6228205642284441 
kilometers 	 460.12239646324355 1.791775811644768 
miles 	 399.69389514997863 1.791775811644768 
red 	 335.3183035205688 1.791775811644768 
horizontally 	 331.96839266043514 1.856193198682461 
transmitted 	 306.74826430882905 1.856193198682461 
vertically 	 497.9525889906527 1.791775811644768 
received 	 176.52948951884105 1.856193198682461 
polarization 	 428.2800699670061 1.856193198682461 
data 	 73.63435371800574 1.9254151470591911 
green 	 235.65671535386417 1.856193198682461 
