term 	 tf-idf weight 	 BM25 ranking 
treatment 	 413.31297642604363 1.6357227904470266 
student 	 591.2802304821228 1.6357227904470266 
unrest 	 1017.5825851712331 1.6357227904470266 
country 	 410.0613184073948 1.6357227904470266 
beating 	 1231.1016459888083 1.6357227904470266 
kone's 	 1507.951942733172 1.6357227904470266 
contends 	 729.0092444868765 1.6357227904470266 
handed 	 954.2513492444448 1.6357227904470266 
unjustified 	 1507.951942733172 1.6357227904470266 
excessive 	 903.6823339879827 1.6357227904470266 
previously 	 779.5782597433385 1.6357227904470266 
protested 	 1158.6057637309596 1.6357227904470266 
convictions 	 528.214278243851 1.7996122198809417 
numerous 	 626.832037243619 1.6357227904470266 
occasions 	 1231.1016459888083 1.6357227904470266 
reiterates 	 1231.1016459888083 1.6357227904470266 
calls 	 740.7322884268693 1.6357227904470266 
reversal 	 1102.3735887997786 1.6357227904470266 
journalists' 	 1231.1016459888083 1.6357227904470266 
unconditional 	 1333.2788532320658 1.6357227904470266 
information 	 209.32246091973167 1.6357227904470266 
freely 	 861.5847046528647 1.6357227904470266 
copied 	 983.9326742298533 1.6357227904470266 
distributed 	 793.9821800310054 1.6357227904470266 
provided 	 578.3543202964601 1.6357227904470266 
properly 	 809.2595847287471 1.6357227904470266 
attributed 	 861.5847046528647 1.6357227904470266 
alerts 	 1158.6057637309596 1.6357227904470266 
