term 	 tf-idf weight 	 BM25 ranking 
 shared 	 201.9559668352019 1.8691732664492489 
vision 	 320.57364493410654 1.791066793718129 
line 	 322.1910358915245 1.702157488310763 
october 	 426.74838707122285 1.702157488310763 
vein 	 386.9176601679112 1.8691732664492489 
gold 	 331.14301615612123 1.8390978705635033 
journey 	 473.35741304132426 1.791066793718129 
creative 	 264.914412924897 1.8691732664492489 
heart 	 381.86198520741146 1.791066793718129 
found 	 370.8663584697481 1.702157488310763 
beaten 	 799.5291740631117 1.702157488310763 
battered 	 910.3331000743254 1.702157488310763 
starved 	 1184.8193835760637 1.702157488310763 
malnourished 	 1184.8193835760637 1.702157488310763 
neglected 	 910.3331000743254 1.702157488310763 
discounted 	 1047.5762418251945 1.702157488310763 
disowned 	 1047.5762418251945 1.702157488310763 
restore 	 749.7689172634923 1.702157488310763 
health 	 317.17810991063516 1.702157488310763 
adventures 	 773.0899583234562 1.702157488310763 
julia 	 606.8887333828836 1.791066793718129 
cameron 	 386.9176601679112 1.8691732664492489 
reviewed 	 1247.6862829058657 1.4815266752632568 
samaya 	 2369.6387671521275 1.4815266752632568 
ryane 	 2369.6387671521275 1.4815266752632568 
words 	 532.2436841072065 1.702157488310763 
cameron's 	 2369.6387671521275 1.4815266752632568 
shirt 	 2369.6387671521275 1.4815266752632568 
walks 	 1934.588300839556 1.4815266752632568 
dogs 	 1934.588300839556 1.4815266752632568 
foothills 	 2095.152483650389 1.4815266752632568 
mexico 	 1127.983057644184 1.4815266752632568 
travels 	 1546.1799166469125 1.4815266752632568 
road 	 1050.0857811227465 1.4815266752632568 
city 	 659.9134741917485 1.4815266752632568 
author 	 340.9215346713046 1.791066793718129 
tour 	 1324.572064624485 1.4815266752632568 
fall 	 820.4776570025815 1.4815266752632568 
process 	 206.5926288215582 1.791066793718129 
artist's 	 473.9277534304255 1.8691732664492489 
spiritual 	 1203.6409314022171 1.4815266752632568 
path 	 1457.8150703264853 1.4815266752632568 
creativity 	 319.8116696252447 1.8691732664492489 
bright 	 1599.0583481262233 1.4815266752632568 
lively 	 1184.8193835760637 1.702157488310763 
personal 	 283.1517590391566 1.702157488310763 
jewel 	 2095.152483650389 1.4815266752632568 
encourages 	 1820.666200148651 1.4815266752632568 
readers 	 1546.1799166469125 1.4815266752632568 
keep 	 929.1546479004786 1.4815266752632568 
creating 	 525.0428905613733 1.702157488310763 
released 	 1127.983057644184 1.4815266752632568 
shares 	 1353.9188215973588 1.4815266752632568 
similar 	 782.7348258000688 1.4815266752632568 
spirit 	 1225.0515510252462 1.4815266752632568 
ancestor 	 2095.152483650389 1.4815266752632568 
constantly 	 1599.0583481262233 1.4815266752632568 
stories 	 1145.5859556222345 1.4815266752632568 
