term 	 tf-idf weight 	 BM25 ranking 
community 	 436.18366184771537 1.5998760641830831 
understand 	 695.4939389681012 1.5998760641830831 
global 	 679.3181078513958 1.5998760641830831 
environment 	 516.4900548436877 1.5998760641830831 
changing 	 580.7473133734907 1.5998760641830831 
complemented 	 1693.453967434475 1.5998760641830831 
aircraft 	 990.2253855444709 1.5998760641830831 
ground 	 845.6617340186955 1.5998760641830831 
studies 	 303.17263477117217 1.5998760641830831 
scientists 	 967.5732992728599 1.5998760641830831 
clearer 	 1497.2933153360104 1.5998760641830831 
insights 	 1014.8496052325361 1.5998760641830831 
environmental 	 635.6934654602817 1.5998760641830831 
changes 	 233.9282160667216 1.7777012715532379 
caused 	 782.5121089967741 1.5998760641830831 
nature 	 479.2539455894802 1.5998760641830831 
induced 	 1104.9720111390814 1.5998760641830831 
human 	 436.18366184771537 1.5998760641830831 
activity 	 569.8613558992245 1.5998760641830831 
developed 	 282.2857411283926 1.7777012715532379 
jet 	 831.8541175587461 1.5998760641830831 
propulsion 	 1014.8496052325361 1.5998760641830831 
laboratory 	 908.8113590406168 1.5998760641830831 
dornier 	 1497.2933153360104 1.5998760641830831 
alenia 	 1497.2933153360104 1.5998760641830831 
spazio 	 1497.2933153360104 1.5998760641830831 
companies 	 616.1684828294744 1.5998760641830831 
agency 	 298.9520406737709 1.7777012715532379 
deutsche 	 650.5663316187729 1.7777012715532379 
agentur 	 1693.453967434475 1.5998760641830831 
fuer 	 691.2733448706999 1.7777012715532379 
raumfahrtangelegenheiten 	 1693.453967434475 1.5998760641830831 
dara 	 1497.2933153360104 1.5998760641830831 
agenzia 	 1693.453967434475 1.5998760641830831 
spaziale 	 1693.453967434475 1.5998760641830831 
italiana 	 1497.2933153360104 1.5998760641830831 
asi 	 1497.2933153360104 1.5998760641830831 
forschungsanstalt 	 1693.453967434475 1.5998760641830831 
luft 	 1693.453967434475 1.5998760641830831 
und 	 1301.1326632375458 1.5998760641830831 
raumfahrt 	 1693.453967434475 1.5998760641830831 
dlr 	 1693.453967434475 1.5998760641830831 
major 	 379.09134297746647 1.5998760641830831 
partner 	 831.8541175587461 1.5998760641830831 
science 	 309.48516414771854 1.5998760641830831 
operations 	 616.1684828294744 1.5998760641830831 
processing 	 806.1091043265255 1.5998760641830831 
homepage 	 845.6617340186955 1.5998760641830831 
southport 	 1693.453967434475 1.5998760641830831 
