term 	 tf-idf weight 	 BM25 ranking 
craft 	 1195.2557349630356 1.5853068944952025 
canoes 	 1771.2451390834085 1.5853068944952025 
dinghies 	 1771.2451390834085 1.5853068944952025 
dories 	 1771.2451390834085 1.5853068944952025 
kayaks 	 1566.0735736376646 1.5853068944952025 
lifeboats 	 1771.2451390834085 1.5853068944952025 
rowboats 	 1566.0735736376646 1.5853068944952025 
sailboats 	 1566.0735736376646 1.5853068944952025 
skiffs 	 1771.2451390834085 1.5853068944952025 
kits 	 1566.0735736376646 1.5853068944952025 
models 	 745.3873118546893 1.5853068944952025 
fiberglass 	 1446.0559016376478 1.5853068944952025 
rigid 	 1446.0559016376478 1.5853068944952025 
pontoons 	 1771.2451390834085 1.5853068944952025 
aircraft 	 1035.7127707461605 1.5853068944952025 
inflatable 	 1566.0735736376646 1.5853068944952025 
yachts 	 1446.0559016376478 1.5853068944952025 
artwork 	 1294.8515170029148 1.5853068944952025 
pfd 	 1294.8515170029148 1.5853068944952025 
return 	 449.33633596165157 1.5853068944952025 
recreational 	 1120.8666641918874 1.5853068944952025 
home 	 132.19419604592156 1.5853068944952025 
page 	 145.298951854606 1.5853068944952025 
index2 	 1120.8666641918874 1.5853068944952025 
htm 	 194.19379312169238 1.5853068944952025 
