term 	 tf-idf weight 	 BM25 ranking 
 shared 	 404.9319133008846 1.7538674645736185 
vision 	 642.7663486810117 1.6208834162803956 
line 	 1292.0185984740933 1.1753055799740466 
november 	 635.3104565771594 1.6208834162803956 
tesla 	 1583.74846895521 1.6208834162803956 
coming 	 603.3402143518689 1.7015176091713704 
free 	 59.10337076807789 1.9207210950326756 
energy 	 37.64951580239651 1.9692928125515086 
revolution 	 182.2275120299164 1.8688645575533986 
joseph 	 2501.6740116849933 1.1753055799740466 
duggan 	 4200.886545501033 1.1753055799740466 
ere 	 4200.886545501033 1.1753055799740466 
generations 	 3473.3517043929537 1.1753055799740466 
pass 	 2778.229526933957 1.1753055799740466 
machinery 	 3473.3517043929537 1.1753055799740466 
driven 	 3100.1688227718396 1.1753055799740466 
power 	 114.38693497432463 1.8688645575533986 
obtainable 	 4751.24540686563 1.1753055799740466 
universe 	 2847.316560263723 1.1753055799740466 
space 	 276.85668169429863 1.7905944267550833 
abundant 	 1825.263842068218 1.480557446044173 
nicola 	 2375.622703432815 1.480557446044173 
jeane 	 1583.74846895521 1.6208834162803956 
manning 	 475.12454068656297 1.8688645575533986 
canadian 	 1166.9472956566156 1.480557446044173 
author 	 1025.3473429129388 1.480557446044173 
search 	 963.3218150398914 1.1753055799740466 
strongly 	 2922.992843028357 1.1753055799740466 
agrees 	 2847.316560263723 1.1753055799740466 
prediction 	 2714.675617041169 1.1753055799740466 
envisions 	 4200.886545501033 1.1753055799740466 
production 	 582.1996125115099 1.6208834162803956 
models 	 1999.4511000426462 1.1753055799740466 
devices 	 849.9366538024143 1.6208834162803956 
corner 	 3328.5883882985536 1.1753055799740466 
cover 	 1884.176584226115 1.1753055799740466 
book 	 1281.9038120068142 1.1753055799740466 
exciting 	 3650.527684136436 1.1753055799740466 
dramatically 	 3328.5883882985536 1.1753055799740466 
change 	 635.9581294672836 1.480557446044173 
landscape 	 1423.6582801318616 1.480557446044173 
environment 	 724.5461193390249 1.480557446044173 
economy 	 1598.8336275052445 1.1753055799740466 
lives 	 482.0747615107587 1.7015176091713704 
provide 	 672.3103052969034 1.480557446044173 
truly 	 2778.229526933957 1.1753055799740466 
unique 	 1975.0184030612438 1.1753055799740466 
sense 	 1905.9313697314778 1.1753055799740466 
independence 	 2195.4580019202776 1.1753055799740466 
mark 	 2655.833887151114 1.1753055799740466 
oil 	 658.3394676870813 1.6208834162803956 
influenced 	 2261.6629994178843 1.1753055799740466 
politics 	 838.7559021023819 1.480557446044173 
bright 	 1603.0963742578554 1.480557446044173 
millennium 	 4200.886545501033 1.1753055799740466 
time 	 189.26942432000888 1.7015176091713704 
unlimited 	 3006.649092460671 1.1753055799740466 
sources 	 461.9709218876149 1.480557446044173 
polluting 	 3878.94724966315 1.1753055799740466 
vehicles 	 777.9648637710771 1.6208834162803956 
heat 	 678.6689042602923 1.7015176091713704 
homes 	 1250.8370058424966 1.480557446044173 
light 	 799.4168137526223 1.480557446044173 
struggle 	 2050.6946858258775 1.1753055799740466 
history 	 437.15034016602544 1.480557446044173 
shown 	 2134.350935258192 1.1753055799740466 
freelance 	 4200.886545501033 1.1753055799740466 
journalist 	 1300.526773595237 1.480557446044173 
traveled 	 3473.3517043929537 1.1753055799740466 
north 	 1400.9562889558003 1.1753055799740466 
america 	 1555.1161644219205 1.1753055799740466 
europe 	 1629.3758544825146 1.1753055799740466 
study 	 963.3218150398914 1.1753055799740466 
report 	 1252.3103245378122 1.1753055799740466 
technologies 	 1357.3378085205845 1.480557446044173 
articles 	 942.0882921130575 1.480557446044173 
essays 	 2601.053547190474 1.1753055799740466 
appeared 	 2549.809961407243 1.1753055799740466 
numerous 	 1975.0184030612438 1.1753055799740466 
journals 	 1461.4964215141786 1.480557446044173 
books 	 931.5009980214394 1.480557446044173 
newspaper 	 2261.6629994178843 1.1753055799740466 
reporter 	 2714.675617041169 1.1753055799740466 
editor 	 1999.4511000426462 1.1753055799740466 
raised 	 2413.3608574074756 1.1753055799740466 
children 	 1500.3358244612812 1.1753055799740466 
resides 	 4200.886545501033 1.1753055799740466 
vancouver 	 1327.916943575557 1.480557446044173 
step 	 1905.9313697314778 1.1753055799740466 
safe 	 2413.3608574074756 1.1753055799740466 
career 	 1905.9313697314778 1.1753055799740466 
ladder 	 4200.886545501033 1.1753055799740466 
ago 	 1166.9472956566156 1.480557446044173 
uncertainty 	 3328.5883882985536 1.1753055799740466 
researching 	 4751.24540686563 1.1753055799740466 
conventional 	 849.9366538024143 1.6208834162803956 
movement 	 1323.1598447177987 1.1753055799740466 
living 	 1746.5988375345298 1.1753055799740466 
vernon 	 3650.527684136436 1.1753055799740466 
heard 	 2778.229526933957 1.1753055799740466 
inventor 	 4751.24540686563 1.1753055799740466 
penticton 	 4751.24540686563 1.1753055799740466 
invented 	 3878.94724966315 1.1753055799740466 
extraordinary 	 3100.1688227718396 1.1753055799740466 
magnetic 	 1400.295515167011 1.6208834162803956 
dynamo 	 4200.886545501033 1.1753055799740466 
named 	 2413.3608574074756 1.1753055799740466 
company 	 737.1503525699133 1.480557446044173 
pran 	 4751.24540686563 1.1753055799740466 
tech 	 3006.649092460671 1.1753055799740466 
believed 	 2372.6339816637606 1.1753055799740466 
powerful 	 2372.6339816637606 1.1753055799740466 
magnets 	 2375.622703432815 1.480557446044173 
suck 	 4751.24540686563 1.1753055799740466 
prana 	 4751.24540686563 1.1753055799740466 
subtle 	 3650.527684136436 1.1753055799740466 
recognized 	 2601.053547190474 1.1753055799740466 
ancients 	 4751.24540686563 1.1753055799740466 
air 	 275.47129229186214 1.8177840054476697 
super 	 1736.6758521964769 1.480557446044173 
efficient 	 849.9366538024143 1.6208834162803956 
arrangement 	 2847.316560263723 1.1753055799740466 
permanent 	 2077.612517856369 1.1753055799740466 
electrical 	 926.0765089779858 1.6208834162803956 
coils 	 4751.24540686563 1.1753055799740466 
claimed 	 2413.3608574074756 1.1753055799740466 
machine 	 2372.6339816637606 1.1753055799740466 
fully 	 2050.6946858258775 1.1753055799740466 
developed 	 791.9960369467976 1.480557446044173 
electricity 	 801.5481871289277 1.7015176091713704 
run 	 1822.2751202991637 1.1753055799740466 
didn 	 4751.24540686563 1.1753055799740466 
understand 	 1951.3151503203972 1.1753055799740466 
technical 	 2024.6595665044229 1.1753055799740466 
explanations 	 3650.527684136436 1.1753055799740466 
convinced 	 1825.263842068218 1.480557446044173 
sincerely 	 3650.527684136436 1.1753055799740466 
help 	 1366.6775844948247 1.1753055799740466 
clean 	 379.4048410215877 1.8177840054476697 
planet 	 2778.229526933957 1.1753055799740466 
pollution 	 1389.1147634669785 1.480557446044173 
source 	 650.4383834401324 1.6208834162803956 
real 	 1583.9920738935953 1.1753055799740466 
won 	 1228.1451155480372 1.480557446044173 
dam 	 3650.527684136436 1.1753055799740466 
wild 	 3100.1688227718396 1.1753055799740466 
rivers 	 1736.6758521964769 1.480557446044173 
poison 	 3878.94724966315 1.1753055799740466 
bona 	 4200.886545501033 1.1753055799740466 
fide 	 4200.886545501033 1.1753055799740466 
spread 	 2601.053547190474 1.1753055799740466 
word 	 2261.6629994178843 1.1753055799740466 
fifteen 	 4200.886545501033 1.1753055799740466 
published 	 628.0588614087051 1.6208834162803956 
covers 	 2413.3608574074756 1.1753055799740466 
research 	 303.7458575820519 1.6208834162803956 
explains 	 2372.6339816637606 1.1753055799740466 
conceptual 	 3878.94724966315 1.1753055799740466 
basis 	 1569.4228577910471 1.1753055799740466 
