term 	 tf-idf weight 	 BM25 ranking 
pivotal 	 4104.980288551413 1.2451425498772126 
role 	 449.7098540552725 1.5347770160966585 
historic 	 2400.334326796845 1.2451425498772126 
providing 	 1407.747904502525 1.2451425498772126 
forum 	 1591.776999306475 1.2451425498772126 
viewpoints 	 2049.907948893375 1.2451425498772126 
subjecting 	 4104.980288551413 1.2451425498772126 
previous 	 778.7349253961288 1.5347770160966585 
governments 	 1727.4854592308002 1.2451425498772126 
close 	 1609.596182979112 1.2451425498772126 
investigative 	 1298.842114249383 1.5347770160966585 
scrutiny 	 2770.0859262994677 1.2451425498772126 
bloodiest 	 3629.4813226872902 1.2451425498772126 
battlegrounds 	 4104.980288551413 1.2451425498772126 
ongoing 	 2202.9844250949227 1.2451425498772126 
internecine 	 4104.980288551413 1.2451425498772126 
war 	 1134.0972171149897 1.2451425498772126 
threatens 	 2875.833292660967 1.2451425498772126 
economic 	 1025.7757389151645 1.2451425498772126 
stability 	 2247.2578505952965 1.2451425498772126 
social 	 440.2253788089075 1.5347770160966585 
fabric 	 3351.3322585250894 1.2451425498772126 
site 	 1368.5372326083204 1.2451425498772126 
traumatic 	 3153.9823568231677 1.2451425498772126 
assassination 	 1339.2416954795226 1.5347770160966585 
tumultuous 	 3629.4813226872902 1.2451425498772126 
aftermath 	 2400.334326796845 1.2451425498772126 
revolution 	 1574.4089830292523 1.2451425498772126 
presidential 	 1493.6098205689732 1.2451425498772126 
candidate 	 2122.1852626346435 1.2451425498772126 
luis 	 3153.9823568231677 1.2451425498772126 
donaldo 	 4104.980288551413 1.2451425498772126 
colosio 	 4104.980288551413 1.2451425498772126 
assassinated 	 1117.1107528416965 1.663781949986173 
campaign 	 1524.7970091856287 1.2451425498772126 
rally 	 3351.3322585250894 1.2451425498772126 
class 	 1394.4270976045536 1.2451425498772126 
lomas 	 4104.980288551413 1.2451425498772126 
taurino 	 4104.980288551413 1.2451425498772126 
neighborhood 	 3153.9823568231677 1.2451425498772126 
despite 	 1771.7588847311738 1.2451425498772126 
risks 	 2122.1852626346435 1.2451425498772126 
deterred 	 3629.4813226872902 1.2451425498772126 
inspired 	 2678.483390959045 1.2451425498772126 
example 	 403.4660009335344 1.663781949986173 
newly 	 2049.907948893375 1.2451425498772126 
empowered 	 3351.3322585250894 1.2451425498772126 
generation 	 2122.1852626346435 1.2451425498772126 
independent 	 432.0866396223505 1.663781949986173 
trained 	 2460.0241314117307 1.2451425498772126 
rejecting 	 3629.4813226872902 1.2451425498772126 
habits 	 1147.2934802176726 1.5347770160966585 
self 	 1241.3506214030056 1.2451425498772126 
censorship 	 2345.425029332798 1.2451425498772126 
subsidies 	 3153.9823568231677 1.2451425498772126 
public 	 369.980895271325 1.5347770160966585 
balanced 	 2875.833292660967 1.2451425498772126 
coverage 	 548.8954322568403 1.663781949986173 
spirit 	 2122.1852626346435 1.2451425498772126 
awards 	 1080.697967264424 1.5347770160966585 
recipients 	 2525.4069147574974 1.2451425498772126 
included 	 1574.4089830292523 1.2451425498772126 
irish 	 2345.425029332798 1.2451425498772126 
journalist 	 2247.2578505952965 1.2451425498772126 
veronica 	 4104.980288551413 1.2451425498772126 
guerin 	 4104.980288551413 1.2451425498772126 
