term 	 tf-idf weight 	 BM25 ranking 
doitnow 	 5340.663130513318 1.1181098932552633 
phx 	 1780.2210435044392 1.5836428933395026 
ts1 	 3560.4420870088784 1.3107689165432674 
ts2 	 5340.663130513318 1.1181098932552633 
dsc 	 9444.058543727133 0.775955953794667 
fcr 	 10681.326261026636 0.775955953794667 
dsccc 	 10681.326261026636 0.775955953794667 
camelot 	 10681.326261026636 0.775955953794667 
dtn 	 10681.326261026636 0.775955953794667 
jayf 	 10681.326261026636 0.775955953794667 
erols 	 5340.663130513318 1.1181098932552633 
hdf 	 10681.326261026636 0.775955953794667 
as1s08 	 10681.326261026636 0.775955953794667 
as4s39 	 10681.326261026636 0.775955953794667 
execpc 	 5340.663130513318 1.1181098932552633 
murgo 	 10681.326261026636 0.775955953794667 
pm32 	 10681.326261026636 0.775955953794667 
fluke 	 10681.326261026636 0.775955953794667 
futureone 	 10681.326261026636 0.775955953794667 
ppp15 	 10681.326261026636 0.775955953794667 
gnn 	 1525.9037515752336 1.6321836992361003 
b01 	 10681.326261026636 0.775955953794667 
b04 	 10681.326261026636 0.775955953794667 
b05 	 10681.326261026636 0.775955953794667 
b07 	 10681.326261026636 0.775955953794667 
c02 	 9444.058543727133 0.775955953794667 
c08 	 10681.326261026636 0.775955953794667 
c09 	 9444.058543727133 0.775955953794667 
goodnet 	 10681.326261026636 0.775955953794667 
tuc 	 10681.326261026636 0.775955953794667 
gtegsc 	 10681.326261026636 0.775955953794667 
mtv 	 5425.502683214539 0.775955953794667 
hoffmant 	 10681.326261026636 0.775955953794667 
gulfnet 	 10681.326261026636 0.775955953794667 
hac 	 10681.326261026636 0.775955953794667 
isfu03 	 10681.326261026636 0.775955953794667 
iafrica 	 5340.663130513318 1.1181098932552633 
ibm 	 1840.6708910606603 1.3107689165432674 
austin 	 6969.5231091281275 0.775955953794667 
socks 	 10681.326261026636 0.775955953794667 
watson 	 8206.79082642763 0.775955953794667 
socks2 	 10681.326261026636 0.775955953794667 
inacom 	 10681.326261026636 0.775955953794667 
keymaster 	 10681.326261026636 0.775955953794667 
infobahnos 	 8720.30332575406 0.775955953794667 
plecomp 	 10681.326261026636 0.775955953794667 
innet 	 9444.058543727133 0.775955953794667 
tex 	 9444.058543727133 0.775955953794667 
interlog 	 10681.326261026636 0.775955953794667 
ip203 	 10681.326261026636 0.775955953794667 
kaiwan 	 10681.326261026636 0.775955953794667 
kaiwan156 	 10681.326261026636 0.775955953794667 
konnections 	 10681.326261026636 0.775955953794667 
logica 	 10681.326261026636 0.775955953794667 
juliet 	 8206.79082642763 0.775955953794667 
lycos 	 10681.326261026636 0.775955953794667 
qe20 	 10681.326261026636 0.775955953794667 
magmacom 	 10681.326261026636 0.775955953794667 
dyna143 	 10681.326261026636 0.775955953794667 
mckinley 	 8206.79082642763 0.775955953794667 
galileo 	 10681.326261026636 0.775955953794667 
mdc 	 10681.326261026636 0.775955953794667 
mdhc 	 10681.326261026636 0.775955953794667 
ehuffman 	 10681.326261026636 0.775955953794667 
megavision 	 10681.326261026636 0.775955953794667 
col29 	 10681.326261026636 0.775955953794667 
mindspring 	 5340.663130513318 1.1181098932552633 
dialup 	 3560.4420870088784 1.3107689165432674 
user 	 2467.8164568184484 1.1181098932552633 
mnsinc 	 10681.326261026636 0.775955953794667 
ghood 	 10681.326261026636 0.775955953794667 
mot 	 9444.058543727133 0.775955953794667 
webgate3 	 10681.326261026636 0.775955953794667 
rstandler 	 10681.326261026636 0.775955953794667 
mymnet 	 10681.326261026636 0.775955953794667 
nesusa 	 10681.326261026636 0.775955953794667 
host68 	 10681.326261026636 0.775955953794667 
netcom 	 911.8656473808479 1.701730848756712 
bal 	 8206.79082642763 0.775955953794667 
md1 	 10681.326261026636 0.775955953794667 
bir 	 9444.058543727133 0.775955953794667 
al2 	 10681.326261026636 0.775955953794667 
col 	 6571.2118700322635 0.775955953794667 
oh2 	 10681.326261026636 0.775955953794667 
kal 	 8206.79082642763 0.775955953794667 
mi1 	 10681.326261026636 0.775955953794667 
min 	 3904.239793665883 1.1181098932552633 
mn1 	 10681.326261026636 0.775955953794667 
az16 	 10681.326261026636 0.775955953794667 
az3 	 10681.326261026636 0.775955953794667 
sea 	 4284.744955882478 0.775955953794667 
wa5 	 10681.326261026636 0.775955953794667 
vie 	 10681.326261026636 0.775955953794667 
va8 	 10681.326261026636 0.775955953794667 
netscape 	 7483.0356084545565 0.775955953794667 
njcc 	 10681.326261026636 0.775955953794667 
norwest 	 10681.326261026636 0.775955953794667 
relay 	 10681.326261026636 0.775955953794667 
nsc 	 5340.663130513318 1.1181098932552633 
natsemi 	 10681.326261026636 0.775955953794667 
nytimes 	 10681.326261026636 0.775955953794667 
gatekeeper 	 4722.0292718635665 1.1181098932552633 
opentext 	 10681.326261026636 0.775955953794667 
firewall2 	 10681.326261026636 0.775955953794667 
oracle 	 9444.058543727133 0.775955953794667 
pacbell 	 5340.663130513318 1.1181098932552633 
srv 	 5340.663130513318 1.1181098932552633 
jlbrunn 	 10681.326261026636 0.775955953794667 
mnet7 	 10681.326261026636 0.775955953794667 
pcix 	 10681.326261026636 0.775955953794667 
newlondon 	 10681.326261026636 0.775955953794667 
dyn4 	 10681.326261026636 0.775955953794667 
pcnet 	 10681.326261026636 0.775955953794667 
pcnet1 	 10681.326261026636 0.775955953794667 
pipeline 	 4360.15166287703 1.1181098932552633 
usa 	 1923.6006841468 1.1181098932552633 
pipe3 	 10681.326261026636 0.775955953794667 
pipe4 	 10681.326261026636 0.775955953794667 
pipex 	 10681.326261026636 0.775955953794667 
ac212 	 10681.326261026636 0.775955953794667 
primenet 	 1780.2210435044392 1.5836428933395026 
cgz 	 10681.326261026636 0.775955953794667 
ip213 	 10681.326261026636 0.775955953794667 
fhu 	 10681.326261026636 0.775955953794667 
ip182 	 10681.326261026636 0.775955953794667 
tus 	 10681.326261026636 0.775955953794667 
ip205 	 10681.326261026636 0.775955953794667 
yum 	 10681.326261026636 0.775955953794667 
ip140 	 10681.326261026636 0.775955953794667 
prodigy 	 2180.075831438515 1.434343152143329 
piweba2y 	 10681.326261026636 0.775955953794667 
ext 	 1744.060665150812 1.5203423587761586 
piweba3y 	 10681.326261026636 0.775955953794667 
piweba8y 	 10681.326261026636 0.775955953794667 
piweba9y 	 10681.326261026636 0.775955953794667 
qnet 	 10681.326261026636 0.775955953794667 
lanc01 	 10681.326261026636 0.775955953794667 
regiononline 	 10681.326261026636 0.775955953794667 
noble 	 10681.326261026636 0.775955953794667 
rockwell 	 10681.326261026636 0.775955953794667 
cca 	 10681.326261026636 0.775955953794667 
oproxy 	 10681.326261026636 0.775955953794667 
scruznet 	 10681.326261026636 0.775955953794667 
mgj 	 10681.326261026636 0.775955953794667 
syspac 	 10681.326261026636 0.775955953794667 
p57072 	 10681.326261026636 0.775955953794667 
tasc 	 10681.326261026636 0.775955953794667 
read 	 4865.62394065829 0.775955953794667 
istdsig 	 10681.326261026636 0.775955953794667 
teleport 	 10681.326261026636 0.775955953794667 
pdx17 	 10681.326261026636 0.775955953794667 
theriver 	 10681.326261026636 0.775955953794667 
pm4 	 10681.326261026636 0.775955953794667 
dragon 	 10681.326261026636 0.775955953794667 
tiptontel 	 10681.326261026636 0.775955953794667 
dial 	 792.7548477958236 1.7491599817704762 
tir 	 10681.326261026636 0.775955953794667 
an235 	 10681.326261026636 0.775955953794667 
transport 	 5847.45665205919 0.775955953794667 
pdx39 	 10681.326261026636 0.775955953794667 
trw 	 10681.326261026636 0.775955953794667 
meweber 	 10681.326261026636 0.775955953794667 
ubet 	 10681.326261026636 0.775955953794667 
lou 	 10681.326261026636 0.775955953794667 
utelfla 	 10681.326261026636 0.775955953794667 
goba32163 	 10681.326261026636 0.775955953794667 
webcrawler 	 10681.326261026636 0.775955953794667 
beach 	 5970.608927663398 0.775955953794667 
wec 	 10681.326261026636 0.775955953794667 
bwi 	 10681.326261026636 0.775955953794667 
wwwsrvr 	 10681.326261026636 0.775955953794667 
weinberg 	 9444.058543727133 0.775955953794667 
ns1 	 10681.326261026636 0.775955953794667 
winternet 	 10681.326261026636 0.775955953794667 
wni 	 10681.326261026636 0.775955953794667 
seaweed 	 9444.058543727133 0.775955953794667 
world2u 	 5340.663130513318 1.1181098932552633 
i123 	 5340.663130513318 1.1181098932552633 
worldinfonet 	 10681.326261026636 0.775955953794667 
d247 	 10681.326261026636 0.775955953794667 
xilinx 	 10681.326261026636 0.775955953794667 
unknown 	 6759.280390481484 0.775955953794667 
zoom 	 9444.058543727133 0.775955953794667 
jpye 	 10681.326261026636 0.775955953794667 
gwdg 	 10681.326261026636 0.775955953794667 
mpae 	 10681.326261026636 0.775955953794667 
osf1 	 10681.326261026636 0.775955953794667 
ruhr 	 10681.326261026636 0.775955953794667 
prima 	 9444.058543727133 0.775955953794667 
kelly 	 8720.30332575406 0.775955953794667 
sbs 	 9444.058543727133 0.775955953794667 
beast2 	 10681.326261026636 0.775955953794667 
landau 	 10681.326261026636 0.775955953794667 
zepf 	 10681.326261026636 0.775955953794667 
zepfpc5 	 10681.326261026636 0.775955953794667 
wuerzburg 	 10681.326261026636 0.775955953794667 
kks 	 10681.326261026636 0.775955953794667 
firewall 	 9444.058543727133 0.775955953794667 
dmi 	 10681.326261026636 0.775955953794667 
gate 	 7808.479587331766 0.775955953794667 
tele 	 6759.280390481484 0.775955953794667 
kbh 	 10681.326261026636 0.775955953794667 
kbh1 	 10681.326261026636 0.775955953794667 
alaska 	 3741.5178042272782 1.1181098932552633 
giadm 	 10681.326261026636 0.775955953794667 
library 	 1167.6758011251948 1.434343152143329 
uaf 	 10681.326261026636 0.775955953794667 
albany 	 4103.395413213815 1.1181098932552633 
asrc 	 9444.058543727133 0.775955953794667 
climate 	 2117.918893478347 1.1181098932552633 
ozone 	 4103.395413213815 1.1181098932552633 
arizona 	 138.70208313540437 1.9307786926980604 
aspc24 	 10681.326261026636 0.775955953794667 
atmo 	 628.3133094721551 1.8301742664208673 
bozone 	 10681.326261026636 0.775955953794667 
crystal 	 8206.79082642763 0.775955953794667 
cyclone 	 9444.058543727133 0.775955953794667 
