term 	 tf-idf weight 	 BM25 ranking 
meteor 	 9444.058543727133 0.775955953794667 
sunset 	 9444.058543727133 0.775955953794667 
wright 	 3379.640195240742 1.1181098932552633 
alpha 	 8206.79082642763 0.775955953794667 
pub28 	 10681.326261026636 0.775955953794667 
yale 	 7483.0356084545565 0.775955953794667 
commons 	 9444.058543727133 0.775955953794667 
node 	 9444.058543727133 0.775955953794667 
ciemat 	 10681.326261026636 0.775955953794667 
ima14 	 10681.326261026636 0.775955953794667 
inm 	 9444.058543727133 0.775955953794667 
ofpro 	 10681.326261026636 0.775955953794667 
tid 	 10681.326261026636 0.775955953794667 
tidos 	 10681.326261026636 0.775955953794667 
upv 	 10681.326261026636 0.775955953794667 
udmf 	 10681.326261026636 0.775955953794667 
boyle 	 8720.30332575406 0.775955953794667 
video 	 5732.255391828626 0.775955953794667 
helsinki 	 7207.876644962901 0.775955953794667 
vesuri 	 10681.326261026636 0.775955953794667 
jyu 	 10681.326261026636 0.775955953794667 
horus 	 10681.326261026636 0.775955953794667 
uta 	 10681.326261026636 0.775955953794667 
juoru 	 10681.326261026636 0.775955953794667 
cnes 	 10681.326261026636 0.775955953794667 
cst 	 9444.058543727133 0.775955953794667 
nikita 	 8720.30332575406 0.775955953794667 
ens 	 9444.058543727133 0.775955953794667 
pyrolite 	 10681.326261026636 0.775955953794667 
onera 	 5340.663130513318 1.1181098932552633 
polytechnique 	 9444.058543727133 0.775955953794667 
jungle 	 8206.79082642763 0.775955953794667 
univ 	 10681.326261026636 0.775955953794667 
rennes1 	 10681.326261026636 0.775955953794667 
meule 	 10681.326261026636 0.775955953794667 
bnl 	 10681.326261026636 0.775955953794667 
ags 	 10681.326261026636 0.775955953794667 
dilg 	 10681.326261026636 0.775955953794667 
gfdl 	 9444.058543727133 0.775955953794667 
sak 	 10681.326261026636 0.775955953794667 
lanl 	 10681.326261026636 0.775955953794667 
smee 	 10681.326261026636 0.775955953794667 
llnl 	 7207.876644962901 0.775955953794667 
turbulence 	 10681.326261026636 0.775955953794667 
nasa 	 768.3648224599478 1.5836428933395026 
gsfc 	 4360.15166287703 1.1181098932552633 
anchor 	 8206.79082642763 0.775955953794667 
gscsgi04 	 10681.326261026636 0.775955953794667 
ivv 	 10681.326261026636 0.775955953794667 
nasa17 	 10681.326261026636 0.775955953794667 
jpl 	 5008.500173855552 0.775955953794667 
babylon 	 8720.30332575406 0.775955953794667 
larc 	 5340.663130513318 1.1181098932552633 
rti10 	 10681.326261026636 0.775955953794667 
sisyphus 	 9444.058543727133 0.775955953794667 
noaa 	 3148.019514575711 1.3107689165432674 
abq 	 10681.326261026636 0.775955953794667 
noaa3 	 10681.326261026636 0.775955953794667 
dvnnwscr 	 10681.326261026636 0.775955953794667 
pcg 	 10681.326261026636 0.775955953794667 
wrh 	 10681.326261026636 0.775955953794667 
nimbo 	 10681.326261026636 0.775955953794667 
osmre 	 10681.326261026636 0.775955953794667 
etana 	 10681.326261026636 0.775955953794667 
pima 	 9444.058543727133 0.775955953794667 
wwm 	 10681.326261026636 0.775955953794667 
wwm6556 	 10681.326261026636 0.775955953794667 
srp 	 10681.326261026636 0.775955953794667 
gateway1 	 10681.326261026636 0.775955953794667 
ucia 	 10681.326261026636 0.775955953794667 
relay1 	 10681.326261026636 0.775955953794667 
usda 	 8720.30332575406 0.775955953794667 
nrcs 	 10681.326261026636 0.775955953794667 
engpc2 	 10681.326261026636 0.775955953794667 
usgs 	 5340.663130513318 1.1181098932552633 
pa01fwapas 	 10681.326261026636 0.775955953794667 
w210dcascr 	 10681.326261026636 0.775955953794667 
usps 	 10681.326261026636 0.775955953794667 
east 	 3528.236525386674 0.775955953794667 
ust 	 10681.326261026636 0.775955953794667 
ustsu54 	 10681.326261026636 0.775955953794667 
stikom 	 10681.326261026636 0.775955953794667 
sby 	 10681.326261026636 0.775955953794667 
netra 	 5340.663130513318 1.1181098932552633 
ucg 	 10681.326261026636 0.775955953794667 
biomar 	 10681.326261026636 0.775955953794667 
ilwww 	 10681.326261026636 0.775955953794667 
enel 	 10681.326261026636 0.775955953794667 
cre 	 9444.058543727133 0.775955953794667 
giorgi 	 10681.326261026636 0.775955953794667 
hokudai 	 10681.326261026636 0.775955953794667 
math 	 6401.083199081544 0.775955953794667 
galois 	 10681.326261026636 0.775955953794667 
nagoya 	 10681.326261026636 0.775955953794667 
ihas 	 5340.663130513318 1.1181098932552633 
soka 	 10681.326261026636 0.775955953794667 
mokuren2 	 10681.326261026636 0.775955953794667 
tokyo 	 7808.479587331766 0.775955953794667 
ccsr 	 9444.058543727133 0.775955953794667 
ccsr117 	 10681.326261026636 0.775955953794667 
hepco 	 10681.326261026636 0.775955953794667 
lilac 	 10681.326261026636 0.775955953794667 
aix 	 9444.058543727133 0.775955953794667 
ppp235037 	 10681.326261026636 0.775955953794667 
snu 	 5340.663130513318 1.1181098932552633 
atmlib 	 10681.326261026636 0.775955953794667 
nwp2 	 10681.326261026636 0.775955953794667 
nowcom 	 10681.326261026636 0.775955953794667 
nownuri 	 10681.326261026636 0.775955953794667 
kren 	 10681.326261026636 0.775955953794667 
moc 	 10681.326261026636 0.775955953794667 
hms 	 10681.326261026636 0.775955953794667 
mil 	 968.922591750451 1.701730848756712 
laafb 	 10681.326261026636 0.775955953794667 
system120_207 	 10681.326261026636 0.775955953794667 
plh 	 10681.326261026636 0.775955953794667 
cirrus 	 10681.326261026636 0.775955953794667 
tornado 	 10681.326261026636 0.775955953794667 
ers 	 8720.30332575406 0.775955953794667 
wf2v 	 10681.326261026636 0.775955953794667 
safb 	 10681.326261026636 0.775955953794667 
army 	 2542.234542796551 1.1181098932552633 
nvl 	 10681.326261026636 0.775955953794667 
fyatzeck 	 10681.326261026636 0.775955953794667 
ssdc 	 10681.326261026636 0.775955953794667 
n23_102 	 10681.326261026636 0.775955953794667 
navy 	 6969.5231091281275 0.775955953794667 
chinalake 	 10681.326261026636 0.775955953794667 
steve_meyer 	 10681.326261026636 0.775955953794667 
nosc 	 10681.326261026636 0.775955953794667 
nrad 	 10681.326261026636 0.775955953794667 
slip15 	 10681.326261026636 0.775955953794667 
stacks 	 9444.058543727133 0.775955953794667 
bugh 	 10681.326261026636 0.775955953794667 
pm1ip26 	 10681.326261026636 0.775955953794667 
albny 	 10681.326261026636 0.775955953794667 
alter 	 3603.9383224814505 1.1181098932552633 
dynip 	 5340.663130513318 1.1181098932552633 
york 	 2950.967248615534 0.775955953794667 
max53 	 10681.326261026636 0.775955953794667 
pool054 	 10681.326261026636 0.775955953794667 
dallas 	 8206.79082642763 0.775955953794667 
max1 	 5340.663130513318 1.1181098932552633 
pool010 	 10681.326261026636 0.775955953794667 
att 	 1780.2210435044392 1.5836428933395026 
access 	 641.2002280489334 1.5836428933395026 
phoenix 	 8206.79082642763 0.775955953794667 
los 	 5522.012673181981 0.775955953794667 
angeles 	 5847.45665205919 0.775955953794667 
denver 	 8206.79082642763 0.775955953794667 
minneapolis 	 9444.058543727133 0.775955953794667 
middletown 	 4722.0292718635665 1.1181098932552633 
bluegrass 	 8720.30332575406 0.775955953794667 
noc 	 10681.326261026636 0.775955953794667 
cinti 	 5340.663130513318 1.1181098932552633 
ppp33 	 10681.326261026636 0.775955953794667 
clark 	 6571.2118700322635 0.775955953794667 
witsend 	 10681.326261026636 0.775955953794667 
concentric 	 5340.663130513318 1.1181098932552633 
cnc043045 	 10681.326261026636 0.775955953794667 
cnc059052 	 10681.326261026636 0.775955953794667 
cyberhighway 	 10681.326261026636 0.775955953794667 
phxtech1 	 10681.326261026636 0.775955953794667 
earthlink 	 5340.663130513318 1.1181098932552633 
max3 	 10681.326261026636 0.775955953794667 
eon 	 10681.326261026636 0.775955953794667 
planet 	 3122.8839455775274 1.1181098932552633 
ts7_port30 	 10681.326261026636 0.775955953794667 
flash 	 3560.4420870088784 1.3107689165432674 
tpm1 	 10681.326261026636 0.775955953794667 
mark618 	 10681.326261026636 0.775955953794667 
fuse 	 9444.058543727133 0.775955953794667 
riogrande 	 10681.326261026636 0.775955953794667 
iadfw 	 10681.326261026636 0.775955953794667 
fw5 	 10681.326261026636 0.775955953794667 
slip202 	 10681.326261026636 0.775955953794667 
infi 	 9444.058543727133 0.775955953794667 
orf 	 10681.326261026636 0.775955953794667 
pa1dsp10 	 10681.326261026636 0.775955953794667 
infini 	 10681.326261026636 0.775955953794667 
s21 	 10681.326261026636 0.775955953794667 
infoave 	 10681.326261026636 0.775955953794667 
tnwabg 	 10681.326261026636 0.775955953794667 
netport 	 10681.326261026636 0.775955953794667 
iwl 	 10681.326261026636 0.775955953794667 
p173 	 10681.326261026636 0.775955953794667 
lancite 	 10681.326261026636 0.775955953794667 
modem89 	 10681.326261026636 0.775955953794667 
lightspeed 	 10681.326261026636 0.775955953794667 
teh 	 10681.326261026636 0.775955953794667 
ppp5 	 10681.326261026636 0.775955953794667 
mci 	 4722.0292718635665 1.1181098932552633 
campus 	 3051.445828978896 1.1181098932552633 
uinet 	 10681.326261026636 0.775955953794667 
s03 	 10681.326261026636 0.775955953794667 
pm01 	 10681.326261026636 0.775955953794667 
chicago 	 4440.060263808968 0.775955953794667 
infolink 	 10681.326261026636 0.775955953794667 
mcn 	 10681.326261026636 0.775955953794667 
cspm01 	 10681.326261026636 0.775955953794667 
metrolink 	 10681.326261026636 0.775955953794667 
pc1082 	 10681.326261026636 0.775955953794667 
mich 	 5340.663130513318 1.1181098932552633 
dialip 	 5340.663130513318 1.1181098932552633 
pm101 	 10681.326261026636 0.775955953794667 
pm104 	 10681.326261026636 0.775955953794667 
micron 	 10681.326261026636 0.775955953794667 
ont 	 7483.0356084545565 0.775955953794667 
cont01p05 	 10681.326261026636 0.775955953794667 
mts 	 10681.326261026636 0.775955953794667 
as2c 	 10681.326261026636 0.775955953794667 
p15 	 10681.326261026636 0.775955953794667 
nantucket 	 10681.326261026636 0.775955953794667 
ppp8 	 10681.326261026636 0.775955953794667 
utrecht 	 10681.326261026636 0.775955953794667 
utr99 	 10681.326261026636 0.775955953794667 
nome 	 5340.663130513318 1.1181098932552633 
p04 	 10681.326261026636 0.775955953794667 
odyssee 	 9444.058543727133 0.775955953794667 
pool10_12 	 10681.326261026636 0.775955953794667 
olympus 	 10681.326261026636 0.775955953794667 
papm057 	 10681.326261026636 0.775955953794667 
ozemail 	 10681.326261026636 0.775955953794667 
proxy1we0 	 10681.326261026636 0.775955953794667 
amf81 	 10681.326261026636 0.775955953794667 
denv14 	 10681.326261026636 0.775955953794667 
planete 	 10681.326261026636 0.775955953794667 
mon3 	 10681.326261026636 0.775955953794667 
ricochet 	 10681.326261026636 0.775955953794667 
mg128 	 10681.326261026636 0.775955953794667 
sat 	 7808.479587331766 0.775955953794667 
brn2 	 10681.326261026636 0.775955953794667 
sunvalley 	 10681.326261026636 0.775955953794667 
sundialin_02 	 10681.326261026636 0.775955953794667 
tgn 	 10681.326261026636 0.775955953794667 
dial38 	 10681.326261026636 0.775955953794667 
theramp 	 10681.326261026636 0.775955953794667 
kato 	 10681.326261026636 0.775955953794667 
tvs 	 10681.326261026636 0.775955953794667 
chk0111 	 10681.326261026636 0.775955953794667 
ultra 	 9444.058543727133 0.775955953794667 
cinna 	 10681.326261026636 0.775955953794667 
usit 	 10681.326261026636 0.775955953794667 
dynamic 	 6245.767891155055 0.775955953794667 
jackson 	 5970.608927663398 0.775955953794667 
slip16 	 10681.326261026636 0.775955953794667 
seattle 	 8720.30332575406 0.775955953794667 
max2 	 10681.326261026636 0.775955953794667 
cust2 	 10681.326261026636 0.775955953794667 
videotron 	 10681.326261026636 0.775955953794667 
poste209 	 10681.326261026636 0.775955953794667 
voyager 	 5340.663130513318 1.1181098932552633 
flnt49 	 10681.326261026636 0.775955953794667 
dal 	 8720.30332575406 0.775955953794667 
ann1 	 10681.326261026636 0.775955953794667 
xs4all 	 5340.663130513318 1.1181098932552633 
ztm02 	 10681.326261026636 0.775955953794667 
ztm05 	 10681.326261026636 0.775955953794667 
asterisk 	 9444.058543727133 0.775955953794667 
massey 	 10681.326261026636 0.775955953794667 
www1 	 10681.326261026636 0.775955953794667 
vuw 	 10681.326261026636 0.775955953794667 
totara 	 10681.326261026636 0.775955953794667 
waikato 	 10681.326261026636 0.775955953794667 
isis 	 10681.326261026636 0.775955953794667 
org 	 650.2370144315212 1.6321836992361003 
cbn 	 10681.326261026636 0.775955953794667 
sampson 	 8720.30332575406 0.775955953794667 
fortnet 	 10681.326261026636 0.775955953794667 
dynip69 	 10681.326261026636 0.775955953794667 
hall 	 5246.853709690325 0.775955953794667 
town 	 4935.632913636897 0.775955953794667 
ngs 	 10681.326261026636 0.775955953794667 
mouth 	 8720.30332575406 0.775955953794667 
term1 	 10681.326261026636 0.775955953794667 
s19 	 10681.326261026636 0.775955953794667 
shodor 	 10681.326261026636 0.775955953794667 
wash 	 7483.0356084545565 0.775955953794667 
worldbank 	 9444.058543727133 0.775955953794667 
envlwc1 	 10681.326261026636 0.775955953794667 
ksu 	 10681.326261026636 0.775955953794667 
phys 	 10681.326261026636 0.775955953794667 
rssi 	 10681.326261026636 0.775955953794667 
sio 	 9444.058543727133 0.775955953794667 
manta 	 10681.326261026636 0.775955953794667 
ffa 	 10681.326261026636 0.775955953794667 
eagle 	 9444.058543727133 0.775955953794667 
space 	 3734.4270288991665 0.775955953794667 
malin 	 9444.058543727133 0.775955953794667 
anst 	 10681.326261026636 0.775955953794667 
stiglqst 	 10681.326261026636 0.775955953794667 
hvi 	 5340.663130513318 1.1181098932552633 
dan 	 5732.255391828626 0.775955953794667 
hspforsk 	 10681.326261026636 0.775955953794667 
wineasy 	 10681.326261026636 0.775955953794667 
ras 	 9444.058543727133 0.775955953794667 
singnet 	 10681.326261026636 0.775955953794667 
ts900 	 10681.326261026636 0.775955953794667 
jtc 	 10681.326261026636 0.775955953794667 
aster 	 10681.326261026636 0.775955953794667 
bellis 	 10681.326261026636 0.775955953794667 
savba 	 10681.326261026636 0.775955953794667 
cyril 	 10681.326261026636 0.775955953794667 
ccu 	 10681.326261026636 0.775955953794667 
dorm 	 9444.058543727133 0.775955953794667 
g4116a 	 10681.326261026636 0.775955953794667 
aber 	 10681.326261026636 0.775955953794667 
dph 	 10681.326261026636 0.775955953794667 
physaa 	 10681.326261026636 0.775955953794667 
lancs 	 10681.326261026636 0.775955953794667 
etna 	 10681.326261026636 0.775955953794667 
leeds 	 9444.058543727133 0.775955953794667 
webserv1 	 10681.326261026636 0.775955953794667 
lgu 	 10681.326261026636 0.775955953794667 
pcthcs021 	 10681.326261026636 0.775955953794667 
meehpe 	 10681.326261026636 0.775955953794667 
nerc 	 10681.326261026636 0.775955953794667 
jupiter 	 9444.058543727133 0.775955953794667 
pcswmb 	 10681.326261026636 0.775955953794667 
strath 	 10681.326261026636 0.775955953794667 
dpp 	 10681.326261026636 0.775955953794667 
ppr620pc1 	 10681.326261026636 0.775955953794667 
bull 	 8206.79082642763 0.775955953794667 
uk29 	 10681.326261026636 0.775955953794667 
d_8de3 	 10681.326261026636 0.775955953794667 
cims 	 9444.058543727133 0.775955953794667 
ppp17 	 10681.326261026636 0.775955953794667 
dircon 	 10681.326261026636 0.775955953794667 
gw1 	 10681.326261026636 0.775955953794667 
maires 	 10681.326261026636 0.775955953794667 
cmr_nickm 	 10681.326261026636 0.775955953794667 
govt 	 8720.30332575406 0.775955953794667 
meto 	 9444.058543727133 0.775955953794667 
cpa 	 9444.058543727133 0.775955953794667 
ycal467 	 10681.326261026636 0.775955953794667 
lib 	 8206.79082642763 0.775955953794667 
kitsap 	 10681.326261026636 0.775955953794667 
linknet 	 10681.326261026636 0.775955953794667 
uct 	 9444.058543727133 0.775955953794667 
egs 	 10681.326261026636 0.775955953794667 
hickory 	 9444.058543727133 0.775955953794667 
telkom 	 8720.30332575406 0.775955953794667 
qsom 	 10681.326261026636 0.775955953794667 
vdoornj 	 10681.326261026636 0.775955953794667 
archive 	 4103.395413213815 1.1181098932552633 
section 	 2275.829550510324 1.1181098932552633 
byte 	 9444.058543727133 0.775955953794667 
bytes 	 9444.058543727133 0.775955953794667 
sent 	 5084.469085593102 0.775955953794667 
atmoonly 	 10681.326261026636 0.775955953794667 
home 	 199.29614859963678 1.434343152143329 
html 	 18.95714867066907 1.918218273292997 
application 	 3072.442680507887 0.775955953794667 
batsmain 	 10681.326261026636 0.775955953794667 
batsreadme 	 10681.326261026636 0.775955953794667 
betterton 	 10681.326261026636 0.775955953794667 
bruintjes 	 9444.058543727133 0.775955953794667 
campusmap 	 10681.326261026636 0.775955953794667 
chaos 	 7207.876644962901 0.775955953794667 
chemlab 	 10681.326261026636 0.775955953794667 
codedir 	 10681.326261026636 0.775955953794667 
course 	 4235.837786956694 0.775955953794667 
davies 	 10681.326261026636 0.775955953794667 
dept 	 6759.280390481484 0.775955953794667 
shtml 	 831.4484009393952 1.701730848756712 
dickinson 	 8206.79082642763 0.775955953794667 
directory 	 6759.280390481484 0.775955953794667 
docdir 	 10681.326261026636 0.775955953794667 
faculty 	 5970.608927663398 0.775955953794667 
herman 	 3741.5178042272782 1.1181098932552633 
gps 	 8206.79082642763 0.775955953794667 
krider 	 10681.326261026636 0.775955953794667 
lemmon 	 10681.326261026636 0.775955953794667 
mullen 	 10681.326261026636 0.775955953794667 
program 	 2106.148696177772 0.775955953794667 
publication 	 5732.255391828626 0.775955953794667 
renno 	 10681.326261026636 0.775955953794667 
research 	 2048.5630571182464 0.775955953794667 
research1 	 10681.326261026636 0.775955953794667 
research2 	 10681.326261026636 0.775955953794667 
research3 	 10681.326261026636 0.775955953794667 
research4 	 10681.326261026636 0.775955953794667 
research5 	 10681.326261026636 0.775955953794667 
research6 	 10681.326261026636 0.775955953794667 
schotland 	 10681.326261026636 0.775955953794667 
sellers 	 7808.479587331766 0.775955953794667 
seminar 	 8206.79082642763 0.775955953794667 
stats 	 5340.663130513318 1.1181098932552633 
statsjul95 	 10681.326261026636 0.775955953794667 
statsnow 	 10681.326261026636 0.775955953794667 
weidman 	 10681.326261026636 0.775955953794667 
zehnder 	 10681.326261026636 0.775955953794667 
zeng 	 9444.058543727133 0.775955953794667 
gifs 	 3484.7615545640638 1.1181098932552633 
iconhome 	 7808.479587331766 0.775955953794667 
gif 	 308.43158813294934 1.1181098932552633 
iconup 	 8206.79082642763 0.775955953794667 
