term 	 tf-idf weight 	 BM25 ranking 
 national 	 351.04275182240855 1.5720919815365018 
arbor 	 449.1151658073173 1.8336342473227272 
day 	 142.58515353673366 1.8336342473227272 
foundation 	 785.3843154702296 1.5720919815365018 
images 	 97.86180695478218 1.9132072900311463 
weblogo_small 	 1347.345497421952 1.5720919815365018 
gif 	 17.739856049476828 1.9132072900311463 
posters 	 472.0245704089095 1.8336342473227272 
grow 	 504.48645625608697 1.7604160135431688 
trees 	 67.26486083414493 1.9643547927726601 
poster_example 	 1843.0523744516547 1.5720919815365018 
world 	 113.83053296856667 1.8336342473227272 
difference 	 827.9346197223213 1.5720919815365018 
poster 	 118.00614260222737 1.9556411385668442 
demonstrates 	 1077.7011263169506 1.5720919815365018 
role 	 403.82109343738756 1.5720919815365018 
local 	 482.0494672503025 1.5720919815365018 
global 	 246.44284713572426 1.8336342473227272 
climates 	 1629.5630428391917 1.5720919815365018 
illustrating 	 1504.679789541877 1.5720919815365018 
brightly 	 263.29319635023637 1.925142169025794 
colored 	 232.7947204055988 1.925142169025794 
heavy 	 179.61685438615845 1.9132072900311463 
paper 	 58.912924518433236 1.9132072900311463 
shipped 	 250.77996492364616 1.9132072900311463 
folded 	 307.17539574194245 1.9132072900311463 
item 	 200.43072993571087 1.9132072900311463 
secure 	 79.401489418303 1.9556411385668442 
electronic 	 144.03529911741458 1.9132072900311463 
form 	 39.55964895438644 1.9556411385668442 
https 	 250.77996492364616 1.9132072900311463 
www 	 22.322823383987828 1.9132072900311463 
inacomlnk 	 250.77996492364616 1.9132072900311463 
com 	 24.777474267313117 1.9132072900311463 
clients 	 137.98910328705355 1.9132072900311463 
arborday 	 250.77996492364616 1.9132072900311463 
ed_order_electronic 	 271.5938404731986 1.9132072900311463 
html 	 8.068558963620719 1.9643547927726601 
print 	 150.8899106054734 1.9132072900311463 
ed_order_print 	 271.5938404731986 1.9132072900311463 
planting 	 673.672748710976 1.7604160135431688 
conservation 	 1077.7011263169506 1.5720919815365018 
fights 	 1629.5630428391917 1.5720919815365018 
warning 	 1166.3072046320992 1.5720919815365018 
graphically 	 1843.0523744516547 1.5720919815365018 
explains 	 460.18341709851273 1.7604160135431688 
warming 	 1347.345497421952 1.5720919815365018 
caused 	 851.6386203922489 1.5720919815365018 
greenhouse 	 1202.5843796142651 1.5720919815365018 
effect 	 485.78284629426474 1.5720919815365018 
threatening 	 1166.3072046320992 1.5720919815365018 
earth 	 425.81931019612443 1.7604160135431688 
restore 	 1166.3072046320992 1.5720919815365018 
nature's 	 1504.679789541877 1.5720919815365018 
balance 	 775.6057163893388 1.5720919815365018 
packages 	 601.2921898071326 1.7604160135431688 
hillside 	 1843.0523744516547 1.5720919815365018 
visually 	 1504.679789541877 1.5720919815365018 
benefits 	 325.36123154601216 1.7604160135431688 
slope 	 1843.0523744516547 1.5720919815365018 
landowner 	 1629.5630428391917 1.5720919815365018 
land 	 699.2721779067278 1.5720919815365018 
environmental 	 345.92506601018863 1.7604160135431688 
values 	 691.8501320203773 1.5720919815365018 
celebration 	 1291.1904579294137 1.5720919815365018 
stewardship 	 543.1876809463972 1.8336342473227272 
meaning 	 748.0051715129152 1.5720919815365018 
sterling 	 1504.679789541877 1.5720919815365018 
morton 	 1416.0737112267284 1.5720919815365018 
helped 	 1053.0479723535013 1.5720919815365018 
start 	 332.22774269261834 1.5720919815365018 
holiday 	 1202.5843796142651 1.5720919815365018 
promote 	 905.3394636328403 1.5720919815365018 
illustrates 	 708.0368556133642 1.7604160135431688 
living 	 338.7609836024151 1.7604160135431688 
connected 	 1008.9729125121739 1.5720919815365018 
intricate 	 1629.5630428391917 1.5720919815365018 
web 	 632.0500795725623 1.5720919815365018 
life 	 381.6132789157736 1.5720919815365018 
special 	 509.1865056434647 1.5720919815365018 
unique 	 766.1280455199787 1.5720919815365018 
characteristics 	 739.3285414071728 1.5720919815365018 
including 	 135.21058424513794 1.7604160135431688 
leaves 	 989.0950480018021 1.5720919815365018 
look 	 493.38817097209915 1.5720919815365018 
green 	 827.9346197223213 1.5720919815365018 
provide 	 521.5908665779502 1.5720919815365018 
oxygen 	 1629.5630428391917 1.5720919815365018 
roots 	 392.6921577351148 1.7604160135431688 
bark 	 1843.0523744516547 1.5720919815365018 
transport 	 1008.9729125121739 1.5720919815365018 
food 	 663.8308243330133 1.5720919815365018 
water 	 714.6753874437236 1.5720919815365018 
help 	 265.07348616146476 1.7604160135431688 
hold 	 785.3843154702296 1.5720919815365018 
soil 	 1243.7120485426183 1.5720919815365018 
includes 	 421.5952552645467 1.5720919815365018 
species 	 1416.0737112267284 1.5720919815365018 
biggest 	 1008.9729125121739 1.5720919815365018 
tallest 	 1843.0523744516547 1.5720919815365018 
tree 	 359.2337087723169 1.8336342473227272 
magic 	 566.9280829047443 1.7604160135431688 
highlights 	 1416.0737112267284 1.5720919815365018 
seed 	 1504.679789541877 1.5720919815365018 
seedling 	 1843.0523744516547 1.5720919815365018 
tall 	 1629.5630428391917 1.5720919815365018 
person's 	 1008.9729125121739 1.5720919815365018 
lifetime 	 1504.679789541877 1.5720919815365018 
multiply 	 1629.5630428391917 1.5720919815365018 
hundreds 	 905.3394636328403 1.5720919815365018 
free 	 389.7547220927655 1.5720919815365018 
free_trees_button 	 1347.345497421952 1.5720919815365018 
join 	 402.96262940791036 1.7604160135431688 
free_trees 	 1347.345497421952 1.5720919815365018 
return 	 467.55267390604286 1.5720919815365018 
homepage 	 920.3668341970255 1.5720919815365018 
homepage_button 	 1347.345497421952 1.5720919815365018 
index 	 133.93694030392697 1.5720919815365018 
rescue 	 1133.8561658094886 1.5720919815365018 
rainforest 	 673.672748710976 1.7604160135431688 
rainforest_button 	 1416.0737112267284 1.5720919815365018 
