term 	 tf-idf weight 	 BM25 ranking 
incinerate 	 2435.4620662396865 1.4709344492304468 
wastes 	 410.8691588935435 1.8349971074787377 
stations 	 1541.1916632638452 1.4709344492304468 
trained 	 1459.5186902107498 1.4709344492304468 
delivery 	 680.6828665431382 1.6951451786207865 
inspect 	 1871.2402612638912 1.4709344492304468 
incoming 	 2153.351163751789 1.4709344492304468 
watch 	 1643.476635574174 1.4709344492304468 
dumped 	 2153.351163751789 1.4709344492304468 
transfer 	 518.914637007116 1.6951451786207865 
station 	 562.6898027591644 1.6951451786207865 
resource 	 562.6898027591644 1.6951451786207865 
recovery 	 666.6428171955434 1.6951451786207865 
frey 	 935.6201306319456 1.6951451786207865 
farm 	 608.0995154516061 1.6951451786207865 
removing 	 1706.215962263868 1.4709344492304468 
items 	 1333.285634391087 1.4709344492304468 
hand 	 988.4354052134952 1.4709344492304468 
equipment 	 1012.383488722829 1.4709344492304468 
violation 	 1282.3442352088064 1.4709344492304468 
occur 	 1177.407787722852 1.4709344492304468 
returned 	 1333.285634391087 1.4709344492304468 
disposed 	 2153.351163751789 1.4709344492304468 
appropriate 	 488.4849291440249 1.6951451786207865 
written 	 448.16168374703363 1.4709344492304468 
warning 	 1541.1916632638452 1.4709344492304468 
fine 	 1237.0754017189452 1.4709344492304468 
repeated 	 1424.1050597759704 1.4709344492304468 
violations 	 1237.0754017189452 1.4709344492304468 
lose 	 1541.1916632638452 1.4709344492304468 
disposal 	 1459.5186902107498 1.4709344492304468 
privileges 	 1459.5186902107498 1.4709344492304468 
charges 	 1037.829274014232 1.4709344492304468 
filed 	 1282.3442352088064 1.4709344492304468 
court 	 749.2062325983327 1.4709344492304468 
addition 	 904.6536191524066 1.4709344492304468 
inspecting 	 2435.4620662396865 1.4709344492304468 
observe 	 1988.326864751766 1.4709344492304468 
permits 	 1706.215962263868 1.4709344492304468 
delivered 	 529.7097862586644 1.7858844248440802 
entering 	 1216.1990309032121 1.4709344492304468 
tracked 	 2435.4620662396865 1.4709344492304468 
special 	 672.8535967431498 1.4709344492304468 
computer 	 314.7974920883068 1.7858844248440802 
recording 	 1589.1293587759933 1.4709344492304468 
requires 	 1037.829274014232 1.4709344492304468 
complete 	 904.6536191524066 1.4709344492304468 
manifest 	 853.107981131934 1.6951451786207865 
forms 	 736.4864473921622 1.4709344492304468 
load 	 1589.1293587759933 1.4709344492304468 
origin 	 1196.3414340862532 1.4709344492304468 
municipality 	 2153.351163751789 1.4709344492304468 
generator 	 2153.351163751789 1.4709344492304468 
residential 	 1871.2402612638912 1.4709344492304468 
industrial 	 804.4774598500708 1.4709344492304468 
institutional 	 1424.1050597759704 1.4709344492304468 
