term 	 tf-idf weight 	 BM25 ranking 
 http 	 61.86499590527554 1.778399745054997 
www 	 61.315287606667866 1.778399745054997 
ilstu 	 550.533758200037 1.778399745054997 
edu 	 154.19578849762655 1.778399745054997 
intlstudies 	 843.7350155768939 1.778399745054997 
jpg 	 186.94708982109506 1.8827015298023861 
eastbourne 	 281.245005192298 1.9202417667438219 
england 	 92.23657588720026 1.9395789404375958 
picture 	 421.3367650057811 1.778399745054997 
grfx 	 688.8306828746904 1.778399745054997 
program 	 55.45601608983489 1.9202417667438219 
highlights 	 324.13375532949465 1.8827015298023861 
students 	 175.36372470506006 1.8827015298023861 
study 	 85.53424176361756 1.8827015298023861 
curriculum 	 461.8999372214822 1.778399745054997 
instruction 	 482.07715617481716 1.778399745054997 
master's 	 308.4021349618429 1.8827015298023861 
teaching 	 384.3434037158649 1.778399745054997 
methods 	 234.96919156827408 1.778399745054997 
range 	 320.12135417158646 1.778399745054997 
core 	 436.1925977135346 1.778399745054997 
classes 	 407.89802965337134 1.778399745054997 
electives 	 843.7350155768939 1.778399745054997 
tutor 	 843.7350155768939 1.778399745054997 
directed 	 421.3367650057811 1.778399745054997 
independent 	 266.4324323035776 1.778399745054997 
able 	 289.3476013627639 1.778399745054997 
visit 	 359.5428197444882 1.778399745054997 
schools 	 379.0220174702834 1.778399745054997 
participate 	 414.4573518578912 1.778399745054997 
field 	 294.9883535432955 1.778399745054997 
trips 	 616.8042699236858 1.778399745054997 
sites 	 384.3434037158649 1.778399745054997 
london 	 226.40000287054235 1.8827015298023861 
oxford 	 688.8306828746904 1.778399745054997 
stratford 	 843.7350155768939 1.778399745054997 
avon 	 688.8306828746904 1.778399745054997 
west 	 250.87335624276764 1.778399745054997 
east 	 278.7010364591154 1.778399745054997 
sussex 	 746.0012631179416 1.778399745054997 
rye 	 746.0012631179416 1.778399745054997 
bodiam 	 843.7350155768939 1.778399745054997 
castle 	 344.4153414373452 1.8827015298023861 
warwick 	 746.0012631179416 1.778399745054997 
paris 	 493.3631779567858 1.778399745054997 
university 	 169.22942262729117 1.8827015298023861 
college 	 355.0662532821324 1.778399745054997 
campuses 	 648.2675106589893 1.778399745054997 
belonging 	 550.533758200037 1.778399745054997 
brighton 	 843.7350155768939 1.778399745054997 
pleasant 	 843.7350155768939 1.778399745054997 
seaside 	 843.7350155768939 1.778399745054997 
resort 	 616.8042699236858 1.778399745054997 
situated 	 591.096930415738 1.778399745054997 
english 	 313.4057992641015 1.778399745054997 
channel 	 493.3631779567858 1.778399745054997 
close 	 330.83536705547345 1.778399745054997 
chalk 	 843.7350155768939 1.778399745054997 
cliffs 	 746.0012631179416 1.778399745054997 
beachy 	 843.7350155768939 1.778399745054997 
head 	 313.4057992641015 1.778399745054997 
eastborne 	 843.7350155768939 1.778399745054997 
hour 	 428.5691195144258 1.778399745054997 
duration 	 533.926350172487 1.778399745054997 
weeks 	 384.3434037158649 1.778399745054997 
approximately 	 389.87352427047756 1.778399745054997 
july 	 327.1728234726137 1.778399745054997 
august 	 327.1728234726137 1.778399745054997 
housing 	 421.3367650057811 1.778399745054997 
campus 	 482.07715617481716 1.778399745054997 
residence 	 414.4573518578912 1.778399745054997 
halls 	 688.8306828746904 1.778399745054997 
cost 	 143.3048256284563 1.8827015298023861 
estimated 	 379.0220174702834 1.778399745054997 
estimate 	 533.926350172487 1.778399745054997 
includes 	 193.00302270227624 1.778399745054997 
accommodation 	 616.8042699236858 1.778399745054997 
meals 	 746.0012631179416 1.778399745054997 
airfare 	 648.2675106589893 1.778399745054997 
administration 	 240.72509279563008 1.778399745054997 
fee 	 452.8000057410847 1.778399745054997 
reduced 	 428.5691195144258 1.778399745054997 
tuition 	 266.9631750862435 1.8827015298023861 
international 	 190.2382282365152 1.778399745054997 
student 	 330.83536705547345 1.778399745054997 
card 	 452.8000057410847 1.778399745054997 
abroad 	 401.63033113088375 1.778399745054997 
local 	 220.67848987757355 1.778399745054997 
transportation 	 364.1661847625299 1.778399745054997 
books 	 330.83536705547345 1.778399745054997 
supplies 	 569.3616845600947 1.778399745054997 
financial 	 236.86183743510594 1.778399745054997 
aid 	 316.723599398939 1.778399745054997 
available 	 220.67848987757355 1.778399745054997 
qualify 	 493.3631779567858 1.778399745054997 
apply 	 373.8941796421901 1.778399745054997 
contact 	 113.82143418952191 1.8827015298023861 
larry 	 505.6317821123236 1.778399745054997 
kennedy 	 421.3367650057811 1.778399745054997 
department 	 271.2125510898487 1.778399745054997 
advisor 	 533.926350172487 1.778399745054997 
oisp 	 648.2675106589893 1.778399745054997 
fell 	 519.0705174647334 1.778399745054997 
hall 	 414.4573518578912 1.778399745054997 
application 	 242.6971529140684 1.778399745054997 
deadline 	 591.096930415738 1.778399745054997 
march 	 306.99560451927874 1.778399745054997 
eligibility 	 550.533758200037 1.778399745054997 
isu 	 591.096930415738 1.778399745054997 
cum 	 616.8042699236858 1.778399745054997 
gpa 	 616.8042699236858 1.778399745054997 
enrolled 	 591.096930415738 1.778399745054997 
degree 	 373.8941796421901 1.778399745054997 
academic 	 384.3434037158649 1.778399745054997 
programs 	 229.4390710136614 1.778399745054997 
earn 	 616.8042699236858 1.778399745054997 
hours 	 368.94630354880104 1.778399745054997 
graduate 	 533.926350172487 1.778399745054997 
credit 	 338.45884525458234 1.778399745054997 
original 	 346.5181816060151 1.778399745054997 
design 	 264.10180072845696 1.778399745054997 
produced 	 373.8941796421901 1.778399745054997 
graphics 	 428.5691195144258 1.778399745054997 
