term 	 tf-idf weight 	 BM25 ranking 
 button 	 112.46578656308355 1.8466009520129565 
jpg 	 49.852557285625345 1.9673146284511105 
direct 	 208.937199509401 1.8466009520129565 
htm 	 10.27827508639588 1.972687797919858 
money 	 25.37451736224549 1.9765437810032158 
urrey 	 562.490010384596 1.8466009520129565 
metro 	 109.63626176817463 1.946111502605039 
savings 	 90.64400658963807 1.946111502605039 
offers 	 194.75984787435016 1.8466009520129565 
canadian 	 138.15245061929707 1.9202417667438216 
funds 	 236.7108355214216 1.8466009520129565 
acceptable 	 301.86667049405645 1.8466009520129565 
canada 	 81.98806745528911 1.946111502605039 
prepaid 	 394.0646202771587 1.8466009520129565 
time 	 89.62884577370697 1.8466009520129565 
purchase 	 142.85637317147524 1.9202417667438216 
cashable 	 497.33417541196104 1.8466009520129565 
receipt 	 379.57445637339646 1.8466009520129565 
purchaser 	 432.1783404393262 1.8466009520129565 
responsible 	 208.937199509401 1.8466009520129565 
delivering 	 394.0646202771587 1.8466009520129565 
recipient 	 355.95090011499127 1.8466009520129565 
service 	 71.34732361553252 1.9202417667438216 
charge 	 259.915682846985 1.8466009520129565 
buy 	 296.16795604331156 1.8466009520129565 
waived 	 367.0225054666913 1.8466009520129565 
surrey 	 177.97545005749564 1.9202417667438216 
prestige 	 177.97545005749564 1.9202417667438216 
chequing 	 459.2204552497936 1.8466009520129565 
mcheq 	 459.2204552497936 1.8466009520129565 
account 	 180.8083673932325 1.8466009520129565 
holders 	 432.1783404393262 1.8466009520129565 
onsider 	 394.0646202771587 1.8466009520129565 
pay 	 204.66373634618586 1.8466009520129565 
dealer 	 432.1783404393262 1.8466009520129565 
accept 	 249.26278642812673 1.8466009520129565 
standard 	 200.5761358238504 1.8466009520129565 
bank 	 189.28257051069647 1.8466009520129565 
cheque 	 459.2204552497936 1.8466009520129565 
cash 	 153.96664574049407 1.9202417667438216 
send 	 99.32816397981865 1.8466009520129565 
gift 	 346.0470116431556 1.8466009520129565 
friend 	 290.7950651423564 1.8466009520129565 
relative 	 228.28729260459102 1.8466009520129565 
worried 	 459.2204552497936 1.8466009520129565 
sending 	 314.4186214007616 1.8466009520129565 
travelers 	 459.2204552497936 1.8466009520129565 
cheques 	 459.2204552497936 1.8466009520129565 
traveler 	 216.0891702196631 1.9202417667438216 
foreign 	 71.34732361553252 1.9202417667438216 
currency 	 168.54392737077455 1.9202417667438216 
drafts 	 459.2204552497936 1.8466009520129565 
mdraft 	 562.490010384596 1.8466009520129565 
m_draft 	 562.490010384596 1.8466009520129565 
forn_cur 	 497.33417541196104 1.8466009520129565 
f_curr 	 497.33417541196104 1.8466009520129565 
accounts 	 285.7127463429505 1.8466009520129565 
services 	 132.4671784052779 1.8466009520129565 
as1 	 394.0646202771587 1.8466009520129565 
tels2 	 411.20284661579046 1.8466009520129565 
c_wyat 	 562.490010384596 1.8466009520129565 
tollfree 	 411.20284661579046 1.8466009520129565 
copyright 	 73.31338179937713 1.8466009520129565 
setember 	 562.490010384596 1.8466009520129565 
