term 	 tf-idf weight 	 BM25 ranking 
 shared 	 405.95189293136536 1.7533239506323177 
vision 	 644.38540749381 1.620109851403677 
line 	 1295.2730533820884 1.1740861060945427 
july 	 615.6727363692683 1.620109851403677 
recipes 	 1944.3589488235941 1.4795894841544308 
earthsave 	 777.7435795294376 1.7533239506323177 
refreshing 	 1403.822707900429 1.620109851403677 
nutritious 	 2381.606639713502 1.4795894841544308 
summer 	 2721.51359088762 1.1740861060945427 
day 	 1105.49787871987 1.1740861060945427 
fresh 	 621.5955624499708 1.7533239506323177 
fruit 	 277.7655641176563 1.9043146402730442 
source 	 978.1151509162696 1.4795894841544308 
soluble 	 2381.606639713502 1.4795894841544308 
fibre 	 382.86073851829883 1.879787170506674 
vitamin 	 648.1196496078646 1.7901223088857248 
phytochemicals 	 2381.606639713502 1.4795894841544308 
protective 	 1507.1112579336866 1.4795894841544308 
chemicals 	 3336.972741921472 1.1740861060945427 
plants 	 2785.2275861957555 1.1740861060945427 
month 	 1933.1562224814304 1.1740861060945427 
tasty 	 2381.606639713502 1.4795894841544308 
drinks 	 1587.737759809001 1.620109851403677 
ideas 	 1618.0232794361875 1.1740861060945427 
adding 	 779.9244729997196 1.620109851403677 
diet 	 3214.2688007789743 1.1740861060945427 
quick 	 2556.232656524138 1.1740861060945427 
easy 	 2200.988122831916 1.1740861060945427 
lemon 	 388.8717897647188 1.86855595061219 
aid 	 1788.0282632734427 1.1740861060945427 
apples 	 2105.7340618506437 1.4795894841544308 
vegetable 	 3888.7178976471882 1.1740861060945427 
peeler 	 4211.468123701287 1.1740861060945427 
remove 	 1331.261822526629 1.4795894841544308 
yellow 	 2302.7434865537844 1.1740861060945427 
layer 	 1607.1344003894872 1.4795894841544308 
keeping 	 2662.523645053258 1.1740861060945427 
white 	 840.8686373721613 1.4795894841544308 
pulp 	 914.9307419938926 1.7008782109410054 
juice 	 323.9590864385606 1.897332067143578 
stir 	 1944.3589488235941 1.4795894841544308 
serve 	 405.95189293136536 1.7533239506323177 
ice 	 665.6309112633145 1.7008782109410054 
nutri 	 952.6426558854007 1.7533239506323177 
options 	 475.72207793560534 1.7533239506323177 
add 	 345.634264572931 1.817366935770506 
tsp 	 601.6383033858981 1.817366935770506 
flax 	 2105.7340618506437 1.4795894841544308 
seed 	 3888.7178976471882 1.1740861060945427 
oil 	 1979.9932604996852 1.1740861060945427 
