term 	 tf-idf weight 	 BM25 ranking 
 college 	 14.50784098305315 1.9898688507986273 
university 	 13.23658705858853 1.9903009372790104 
credit 	 308.8536980337323 1.7958042069860594 
sea 	 115.82013676264962 1.918207287697467 
semester 	 562.8521233818975 1.7958042069860594 
affiliates 	 2042.2445926491166 1.4912892217397655 
colleges 	 562.8521233818975 1.7958042069860594 
universities 	 591.5632603176592 1.7958042069860594 
entered 	 1461.670717493475 1.4912892217397655 
formal 	 1194.115905797336 1.4912892217397655 
affiliation 	 1774.6897809529778 1.4912892217397655 
agreement 	 799.7585242499911 1.4912892217397655 
education 	 419.2332415642037 1.4912892217397655 
association 	 749.1816149611192 1.4912892217397655 
list 	 885.8919350572761 1.4912892217397655 
summer 	 659.8644761825511 1.7085828495144064 
session 	 597.057952898668 1.7085828495144064 
courses 	 1350.6254375270876 1.4912892217397655 
academic 	 1052.1741406689634 1.4912892217397655 
curricula 	 1558.6780868099047 1.4912892217397655 
grant 	 1319.7289523651023 1.4912892217397655 
directly 	 926.561094101197 1.4912892217397655 
students 	 480.07374280959704 1.7085828495144064 
boston 	 355.25038961238846 1.8428417741705563 
colgate 	 2309.7994043452554 1.4912892217397655 
charleston 	 2309.7994043452554 1.4912892217397655 
cornell 	 1774.6897809529778 1.4912892217397655 
drexel 	 2042.2445926491166 1.4912892217397655 
eckerd 	 2309.7994043452554 1.4912892217397655 
franklin 	 659.8644761825511 1.7085828495144064 
marshall 	 1384.2118290450846 1.4912892217397655 
northeastern 	 942.8675304596826 1.7085828495144064 
pennsylvania 	 384.48224891780495 1.7958042069860594 
rice 	 1558.6780868099047 1.4912892217397655 
reported 	 792.1147101136658 1.4912892217397655 
following 	 568.6076348297514 1.4912892217397655 
accepted 	 1239.5801575607 1.4912892217397655 
transfer 	 492.1401717069945 1.7085828495144064 
credits 	 1023.5684634176268 1.4912892217397655 
questions 	 623.1925332929852 1.4912892217397655 
please 	 686.7880532603426 1.4912892217397655 
call 	 729.3824033275246 1.4912892217397655 
sea's 	 2309.7994043452554 1.4912892217397655 
admission 	 1461.670717493475 1.4912892217397655 
office 	 633.0905115097335 1.4912892217397655 
albion 	 2309.7994043452554 1.4912892217397655 
alfred 	 1291.1232751137657 1.4912892217397655 
amherst 	 1154.8997021726277 1.7085828495144064 
baldwin 	 1774.6897809529778 1.4912892217397655 
wallace 	 1688.5563701456929 1.4912892217397655 
bard 	 2042.2445926491166 1.4912892217397655 
barnard 	 2309.7994043452554 1.4912892217397655 
bates 	 2309.7994043452554 1.4912892217397655 
bowdoin 	 2309.7994043452554 1.4912892217397655 
brandeis 	 2042.2445926491166 1.4912892217397655 
brown 	 1153.446746753415 1.4912892217397655 
california 	 249.23430375591587 1.8428417741705563 
institute 	 264.03823670455523 1.7958042069860594 
technology 	 241.00069759145242 1.7958042069860594 
cape 	 1774.6897809529778 1.4912892217397655 
cod 	 2309.7994043452554 1.4912892217397655 
community 	 594.9360193399934 1.4912892217397655 
carleton 	 2042.2445926491166 1.4912892217397655 
clark 	 710.5007792247769 1.7085828495144064 
colby 	 2309.7994043452554 1.4912892217397655 
holy 	 1461.670717493475 1.4912892217397655 
cross 	 1052.1741406689634 1.4912892217397655 
william 	 905.6911466908706 1.4912892217397655 
mary 	 730.8353587467375 1.7085828495144064 
wooster 	 2309.7994043452554 1.4912892217397655 
colorado 	 487.22357249782493 1.7958042069860594 
connecticut 	 1558.6780868099047 1.4912892217397655 
dalhousie 	 2309.7994043452554 1.4912892217397655 
dartmouth 	 2309.7994043452554 1.4912892217397655 
denison 	 2309.7994043452554 1.4912892217397655 
pauw 	 2309.7994043452554 1.4912892217397655 
dickinson 	 1774.6897809529778 1.4912892217397655 
drew 	 1461.670717493475 1.4912892217397655 
earlham 	 2309.7994043452554 1.4912892217397655 
emory 	 2042.2445926491166 1.4912892217397655 
evangel 	 2309.7994043452554 1.4912892217397655 
florida 	 1507.1349692568388 1.4912892217397655 
pierce 	 2042.2445926491166 1.4912892217397655 
georgetown 	 2042.2445926491166 1.4912892217397655 
george 	 1052.1741406689634 1.4912892217397655 
washington 	 203.8789535337024 1.8428417741705563 
gettysburg 	 2042.2445926491166 1.4912892217397655 
grinnell 	 2309.7994043452554 1.4912892217397655 
guilford 	 1885.7350609193652 1.4912892217397655 
hamilton 	 1688.5563701456929 1.4912892217397655 
hampden 	 2309.7994043452554 1.4912892217397655 
sydney 	 1885.7350609193652 1.4912892217397655 
hampshire 	 1021.1222963245583 1.7085828495144064 
harvard 	 1774.6897809529778 1.4912892217397655 
hobart 	 2042.2445926491166 1.4912892217397655 
hofstra 	 2309.7994043452554 1.4912892217397655 
hope 	 1023.5684634176268 1.4912892217397655 
humboldt 	 2309.7994043452554 1.4912892217397655 
illinois 	 474.31212092170864 1.7085828495144064 
indiana 	 1688.5563701456929 1.4912892217397655 
johns 	 1885.7350609193652 1.4912892217397655 
hopkins 	 1688.5563701456929 1.4912892217397655 
kansas 	 1688.5563701456929 1.4912892217397655 
kenyon 	 2309.7994043452554 1.4912892217397655 
lafayette 	 2042.2445926491166 1.4912892217397655 
lake 	 1099.4986369966036 1.4912892217397655 
forest 	 1264.4920267198024 1.4912892217397655 
lawrence 	 413.1933858535666 1.7958042069860594 
lewis 	 1264.4920267198024 1.4912892217397655 
macalester 	 2309.7994043452554 1.4912892217397655 
marquette 	 2309.7994043452554 1.4912892217397655 
miami 	 942.8675304596826 1.7085828495144064 
ohio 	 779.3390434049523 1.7085828495144064 
middlebury 	 2309.7994043452554 1.4912892217397655 
mount 	 1885.7350609193652 1.4912892217397655 
holyoke 	 2309.7994043452554 1.4912892217397655 
muhlenberg 	 2042.2445926491166 1.4912892217397655 
nebraska 	 2042.2445926491166 1.4912892217397655 
wesleyan 	 769.9331347817518 1.7958042069860594 
england 	 1010.0232139704766 1.4912892217397655 
northwestern 	 1885.7350609193652 1.4912892217397655 
oberlin 	 2309.7994043452554 1.4912892217397655 
pitzer 	 2309.7994043452554 1.4912892217397655 
plymouth 	 1688.5563701456929 1.4912892217397655 
pomona 	 2309.7994043452554 1.4912892217397655 
princeton 	 1774.6897809529778 1.4912892217397655 
principia 	 2042.2445926491166 1.4912892217397655 
purdue 	 1885.7350609193652 1.4912892217397655 
queens 	 2309.7994043452554 1.4912892217397655 
randolph 	 1216.179053539556 1.4912892217397655 
macon 	 1885.7350609193652 1.4912892217397655 
women's 	 491.9207466386945 1.4912892217397655 
rochester 	 2042.2445926491166 1.4912892217397655 
rutgers 	 2042.2445926491166 1.4912892217397655 
sarah 	 1885.7350609193652 1.4912892217397655 
simmons 	 2309.7994043452554 1.4912892217397655 
skidmore 	 2309.7994043452554 1.4912892217397655 
smith 	 1116.6570173489456 1.4912892217397655 
stanford 	 1507.1349692568388 1.4912892217397655 
suny 	 2309.7994043452554 1.4912892217397655 
binghamton 	 2309.7994043452554 1.4912892217397655 
swarthmore 	 2309.7994043452554 1.4912892217397655 
sweet 	 2042.2445926491166 1.4912892217397655 
briar 	 2309.7994043452554 1.4912892217397655 
trinity 	 1774.6897809529778 1.4912892217397655 
tufts 	 2042.2445926491166 1.4912892217397655 
tulsa 	 2309.7994043452554 1.4912892217397655 
union 	 723.0020927743574 1.4912892217397655 
arizona 	 1319.7289523651023 1.4912892217397655 
berkeley 	 1618.1802492232262 1.4912892217397655 
santa 	 1384.2118290450846 1.4912892217397655 
cruz 	 1774.6897809529778 1.4912892217397655 
chicago 	 960.1474856191941 1.4912892217397655 
boulder 	 1885.7350609193652 1.4912892217397655 
delaware 	 1885.7350609193652 1.4912892217397655 
denver 	 1774.6897809529778 1.4912892217397655 
maine 	 1688.5563701456929 1.4912892217397655 
orono 	 2309.7994043452554 1.4912892217397655 
massachusetts 	 710.5007792247769 1.7085828495144064 
northern 	 1153.446746753415 1.4912892217397655 
notre 	 2042.2445926491166 1.4912892217397655 
dame 	 1688.5563701456929 1.4912892217397655 
rhode 	 1618.1802492232262 1.4912892217397655 
island 	 1134.6137433840142 1.4912892217397655 
richmond 	 1885.7350609193652 1.4912892217397655 
scranton 	 2309.7994043452554 1.4912892217397655 
south 	 343.3940266301713 1.7085828495144064 
carolina 	 1688.5563701456929 1.4912892217397655 
texas 	 1319.7289523651023 1.4912892217397655 
austin 	 1507.1349692568388 1.4912892217397655 
vermont 	 2042.2445926491166 1.4912892217397655 
virginia 	 1291.1232751137657 1.4912892217397655 
wisconsin 	 1688.5563701456929 1.4912892217397655 
madison 	 1421.0015584495538 1.4912892217397655 
ursinus 	 2309.7994043452554 1.4912892217397655 
vassar 	 2309.7994043452554 1.4912892217397655 
villanova 	 2309.7994043452554 1.4912892217397655 
wellesley 	 2309.7994043452554 1.4912892217397655 
western 	 681.0694301472782 1.4912892217397655 
whitman 	 1774.6897809529778 1.4912892217397655 
williams 	 1319.7289523651023 1.4912892217397655 
wittenberg 	 2309.7994043452554 1.4912892217397655 
yale 	 1618.1802492232262 1.4912892217397655 
return 	 292.9794352722931 1.7085828495144064 
top 	 360.5549855469342 1.4912892217397655 
document 	 1023.5684634176268 1.4912892217397655 
home 	 172.38837727610039 1.4912892217397655 
page 	 189.4776872158038 1.4912892217397655 
bilboard 	 1885.7350609193652 1.4912892217397655 
index 	 167.85603557570067 1.4912892217397655 
htm 	 126.61960159623861 1.7085828495144064 
seen 	 729.3824033275246 1.4912892217397655 
shared 	 492.1401717069945 1.7085828495144064 
signmeup 	 2309.7994043452554 1.4912892217397655 
gif 	 133.39450198242963 1.4912892217397655 
sievform 	 2309.7994043452554 1.4912892217397655 
click 	 474.91359057819875 1.4912892217397655 
