term 	 tf-idf weight 	 BM25 ranking 
 button 	 161.52001261719448 1.7868244419032464 
jpg 	 59.663964836519696 1.961007284533326 
direct 	 150.03469113706987 1.8874119667456188 
htm 	 14.761352517696212 1.961007284533326 
status 	 74.39413231803867 1.9235059249189137 
ustomers 	 807.8313978927707 1.7868244419032464 
age 	 131.0097383675532 1.8874119667456188 
spouse 	 484.1155360649907 1.7868244419032464 
joint 	 169.97852550740382 1.8874119667456188 
accounts 	 205.16606785265063 1.8874119667456188 
enjoy 	 451.5586583947108 1.7868244419032464 
complimentary 	 807.8313978927707 1.7868244419032464 
metrochequing 	 269.2771326309236 1.9235059249189137 
classic 	 221.12231037198617 1.8874119667456188 
mcheq 	 329.759369461288 1.8874119667456188 
package 	 221.12231037198617 1.8874119667456188 
plus 	 433.5319203904002 1.7868244419032464 
host 	 272.5667638851517 1.8874119667456188 
financial 	 226.78261031020782 1.7868244419032464 
bonuses 	 714.2565285171781 1.7868244419032464 
discounts 	 496.98241033857454 1.7868244419032464 
includes 	 184.79012811920066 1.7868244419032464 
bonus 	 807.8313978927707 1.7868244419032464 
term 	 264.40891964352556 1.7868244419032464 
deposits 	 565.9438695469833 1.7868244419032464 
commission 	 303.245999424516 1.7868244419032464 
free 	 21.35425628349162 1.970612224755205 
american 	 74.83987963030762 1.8874119667456188 
express 	 230.78161731773162 1.8874119667456188 
travelers 	 329.759369461288 1.8874119667456188 
cheques 	 219.83957964085863 1.9235059249189137 
traveler 	 310.3408295707927 1.8874119667456188 
personalized 	 620.6816591415854 1.7868244419032464 
bill 	 303.245999424516 1.7868244419032464 
payments 	 373.28316153556364 1.7868244419032464 
money 	 255.0948819927871 1.7868244419032464 
gry 	 807.8313978927707 1.7868244419032464 
popular 	 306.49916888768917 1.7868244419032464 
banking 	 208.81560528839424 1.8874119667456188 
services 	 95.12270789740701 1.8874119667456188 
offer 	 327.8594095916999 1.7868244419032464 
prestige 	 170.40202665079372 1.9235059249189137 
account 	 51.93431829380082 1.9533904845972052 
half 	 344.2431252872759 1.7868244419032464 
price 	 154.93334045432115 1.7868244419032464 
customers 	 461.56323463546323 1.7868244419032464 
waive 	 620.6816591415854 1.7868244419032464 
metrosavings 	 807.8313978927707 1.7868244419032464 
dollar 	 324.05634120119583 1.7868244419032464 
transaction 	 565.9438695469833 1.7868244419032464 
charges 	 344.2431252872759 1.7868244419032464 
benefits 	 285.21926142020544 1.7868244419032464 
include 	 230.48147182560325 1.7868244419032464 
cancelled 	 620.6816591415854 1.7868244419032464 
cheque 	 659.518738922576 1.7868244419032464 
return 	 204.9338018744019 1.7868244419032464 
preferential 	 659.518738922576 1.7868244419032464 
rate 	 290.9648093667429 1.7868244419032464 
exchange 	 320.3574796858004 1.7868244419032464 
drawn 	 451.5586583947108 1.7868244419032464 
funds 	 339.95705101480763 1.7868244419032464 
interac 	 807.8313978927707 1.7868244419032464 
abm 	 714.2565285171781 1.7868244419032464 
payment 	 442.24462074397235 1.7868244419032464 
networks 	 472.3690001713907 1.7868244419032464 
canadian 	 396.8208688001086 1.7868244419032464 
drafts 	 659.518738922576 1.7868244419032464 
mortgage 	 620.6816591415854 1.7868244419032464 
renewal 	 659.518738922576 1.7868244419032464 
mmort 	 807.8313978927707 1.7868244419032464 
mort_adv 	 714.2565285171781 1.7868244419032464 
safety 	 306.49916888768917 1.7868244419032464 
deposit 	 590.5572797141672 1.7868244419032464 
box 	 348.6697513683797 1.7868244419032464 
onsider 	 565.9438695469833 1.7868244419032464 
holder 	 620.6816591415854 1.7868244419032464 
choose 	 410.33213570530125 1.7868244419032464 
chequing 	 659.518738922576 1.7868244419032464 
packages 	 527.1067897659929 1.7868244419032464 
depending 	 390.5406666893981 1.7868244419032464 
level 	 200.35709239818493 1.7868244419032464 
transactions 	 472.3690001713907 1.7868244419032464 
as1 	 565.9438695469833 1.7868244419032464 
hagan 	 807.8313978927707 1.7868244419032464 
tels2 	 590.5572797141672 1.7868244419032464 
mary_dms 	 807.8313978927707 1.7868244419032464 
tollfree 	 590.5572797141672 1.7868244419032464 
copyright 	 105.29049513740331 1.7868244419032464 
surrey 	 511.2060799523811 1.7868244419032464 
metro 	 472.3690001713907 1.7868244419032464 
savings 	 390.5406666893981 1.7868244419032464 
september 	 320.3574796858004 1.7868244419032464 
