term 	 tf-idf weight 	 BM25 ranking 
 dangerous 	 510.43814626051926 1.7454806842355775 
assignments 	 1517.221833457209 1.5484282365917552 
quarterly 	 1443.5844615235198 1.5484282365917552 
pictures 	 1059.744694287645 1.5484282365917552 
newsletter 	 1214.8458919387379 1.5484282365917552 
gif 	 114.04193174663675 1.5484282365917552 
summer 	 1128.2656846644657 1.5484282365917552 
internet 	 341.6082088019773 1.5484282365917552 
edition 	 1154.6797781967327 1.5484282365917552 
yeltsin 	 175.0142968537911 1.8897760352689765 
fails 	 1081.0424062630434 1.5484282365917552 
punish 	 1214.8458919387379 1.5484282365917552 
journalists 	 81.77519227997126 1.9483454048662012 
murderers 	 1745.960403041991 1.5484282365917552 
catherine 	 1443.5844615235198 1.5484282365917552 
fitzpatrick 	 1745.960403041991 1.5484282365917552 
boris 	 954.6549630185286 1.5484282365917552 
won 	 1020.8762925210385 1.5484282365917552 
russian 	 135.43930276554906 1.8897760352689765 
presidential 	 718.5003510025673 1.5484282365917552 
elections 	 875.0714842689556 1.5484282365917552 
media 	 142.88050726462183 1.7454806842355775 
russ96 	 1974.698972626773 1.5484282365917552 
index 	 71.75193230567515 1.7454806842355775 
html 	 43.2244230193967 1.8228038141610874 
opted 	 1612.1569173662967 1.5484282365917552 
unabashedly 	 1974.698972626773 1.5484282365917552 
president 	 186.28245234926794 1.8228038141610874 
lost 	 863.4913487312365 1.5484282365917552 
paradoxically 	 1745.960403041991 1.5484282365917552 
independent 	 623.5652670934796 1.5484282365917552 
thrived 	 1974.698972626773 1.5484282365917552 
lionizing 	 1974.698972626773 1.5484282365917552 
considered 	 683.7313808354846 1.5484282365917552 
free 	 139.19811503313056 1.8228038141610874 
editorial 	 1249.6148621058205 1.5484282365917552 
decision 	 587.150408227754 1.5484282365917552 
press 	 268.4925299096038 1.7454806842355775 
suffered 	 1128.2656846644657 1.5484282365917552 
violent 	 551.9050269268688 1.7454806842355775 
attacks 	 551.9050269268688 1.7454806842355775 
decades 	 1128.2656846644657 1.5484282365917552 
cpj 	 376.08856155482187 1.8228038141610874 
confirmed 	 1183.3935326033106 1.5484282365917552 
assassinated 	 806.0784586831484 1.7454806842355775 
missing 	 1249.6148621058205 1.5484282365917552 
presumed 	 1332.5486234385196 1.5484282365917552 
dead 	 1103.8100538537376 1.5484282365917552 
russia 	 219.44474575352075 1.8228038141610874 
countries 	 587.150408227754 1.5484282365917552 
world 	 365.88385597039286 1.5484282365917552 
government 	 194.68601393239908 1.7454806842355775 
failure 	 362.9581967168733 1.7454806842355775 
fully 	 852.3038366782615 1.5484282365917552 
investigate 	 1020.8762925210385 1.5484282365917552 
prosecute 	 1383.4183477815147 1.5484282365917552 
signaled 	 1974.698972626773 1.5484282365917552 
reporters 	 384.89325939891097 1.8228038141610874 
killed 	 318.2183210061762 1.8228038141610874 
impunity 	 806.0784586831484 1.7454806842355775 
necessarily 	 1214.8458919387379 1.5484282365917552 
emanate 	 1974.698972626773 1.5484282365917552 
office 	 541.2431834150572 1.5484282365917552 
stem 	 1745.960403041991 1.5484282365917552 
historical 	 549.9278951597904 1.5484282365917552 
lack 	 718.5003510025673 1.5484282365917552 
control 	 232.52217486032822 1.7454806842355775 
power 	 237.70584723883582 1.7454806842355775 
ministries 	 384.89325939891097 1.8228038141610874 
army 	 234.99647034253834 1.864092575975269 
police 	 810.9999995034397 1.5484282365917552 
security 	 114.53910855009687 1.8897760352689765 
society 	 250.47464673538008 1.7454806842355775 
ballyhooed 	 1974.698972626773 1.5484282365917552 
clean 	 1103.8100538537376 1.5484282365917552 
sweep 	 1517.221833457209 1.5484282365917552 
corrupt 	 1332.5486234385196 1.5484282365917552 
chief 	 718.5003510025673 1.5484282365917552 
gen 	 394.82669750869763 1.5484282365917552 
alexander 	 1103.8100538537376 1.5484282365917552 
lebed 	 519.8692845441108 1.7454806842355775 
substitute 	 1612.1569173662967 1.5484282365917552 
institutionalized 	 1612.1569173662967 1.5484282365917552 
watchdog 	 1612.1569173662967 1.5484282365917552 
function 	 704.1502640624535 1.5484282365917552 
address 	 704.1502640624535 1.5484282365917552 
dangers 	 1128.2656846644657 1.5484282365917552 
faced 	 1214.8458919387379 1.5484282365917552 
probe 	 1517.221833457209 1.5484282365917552 
topics 	 493.0536611769779 1.7454806842355775 
corruption 	 323.3355227260144 1.8228038141610874 
business 	 299.89161359960997 1.5484282365917552 
gunned 	 1974.698972626773 1.5484282365917552 
near 	 801.4341123352664 1.5484282365917552 
homes 	 1039.7385690882215 1.5484282365917552 
chechnya 	 519.8692845441108 1.7454806842355775 
brutally 	 1974.698972626773 1.5484282365917552 
beaten 	 1332.5486234385196 1.5484282365917552 
narrowly 	 1517.221833457209 1.5484282365917552 
escaped 	 1517.221833457209 1.5484282365917552 
assaults 	 1612.1569173662967 1.5484282365917552 
threatened 	 1020.8762925210385 1.5484282365917552 
rufa 	 1517.221833457209 1.5484282365917552 
correspondent 	 607.4229459693689 1.7454806842355775 
natalya 	 1517.221833457209 1.5484282365917552 
alyakina 	 1517.221833457209 1.5484282365917552 
shot 	 1183.3935326033106 1.5484282365917552 
soldier 	 666.2743117192598 1.7454806842355775 
waved 	 1612.1569173662967 1.5484282365917552 
checkpoint 	 1612.1569173662967 1.5484282365917552 
chechen 	 259.9346422720554 1.864092575975269 
hostage 	 1249.6148621058205 1.5484282365917552 
crisis 	 332.2513205772863 1.7454806842355775 
following 	 243.05766773810615 1.7454806842355775 
bungled 	 1974.698972626773 1.5484282365917552 
investigation 	 670.7885454949019 1.5484282365917552 
received 	 332.2513205772863 1.7454806842355775 
suspended 	 1383.4183477815147 1.5484282365917552 
jail 	 1039.7385690882215 1.5484282365917552 
sentence 	 1332.5486234385196 1.5484282365917552 
involuntary 	 1517.221833457209 1.5484282365917552 
manslaughter 	 1517.221833457209 1.5484282365917552 
negligent 	 1612.1569173662967 1.5484282365917552 
weapon 	 1214.8458919387379 1.5484282365917552 
officials 	 387.14776995853276 1.7454806842355775 
failed 	 863.4913487312365 1.5484282365917552 
highly 	 831.0061247028631 1.5484282365917552 
publicized 	 1443.5844615235198 1.5484282365917552 
promises 	 1128.2656846644657 1.5484282365917552 
justice 	 704.1502640624535 1.5484282365917552 
chaikova 	 806.0784586831484 1.7454806842355775 
urgent 	 644.2416319362135 1.7454806842355775 
ur0000003 	 987.3494863133865 1.7454806842355775 
chaik 	 1974.698972626773 1.5484282365917552 
jpeg 	 1249.6148621058205 1.5484282365917552 
march 	 718.5003510025673 1.5484282365917552 
nadezhda 	 1612.1569173662967 1.5484282365917552 
background 	 697.2026390271689 1.5484282365917552 
prominent 	 986.1073223539559 1.5484282365917552 
obshchaya 	 1612.1569173662967 1.5484282365917552 
gazeta 	 1249.6148621058205 1.5484282365917552 
war 	 545.5569703322836 1.5484282365917552 
known 	 602.2675551180811 1.5484282365917552 
exposes 	 1383.4183477815147 1.5484282365917552 
military 	 149.28779339030314 1.864092575975269 
atrocities 	 1517.221833457209 1.5484282365917552 
close 	 774.2955399170655 1.5484282365917552 
contacts 	 1214.8458919387379 1.5484282365917552 
resistance 	 1249.6148621058205 1.5484282365917552 
found 	 618.1105974495802 1.5484282365917552 
murdered 	 1183.3935326033106 1.5484282365917552 
execution 	 1214.8458919387379 1.5484282365917552 
style 	 810.9999995034397 1.5484282365917552 
village 	 820.8514773428343 1.5484282365917552 
federal 	 293.575204113877 1.7454806842355775 
troops 	 954.6549630185286 1.5484282365917552 
suspects 	 1517.221833457209 1.5484282365917552 
leaders 	 683.7313808354846 1.5484282365917552 
death 	 597.1511735612125 1.5484282365917552 
believing 	 1332.5486234385196 1.5484282365917552 
spy 	 1443.5844615235198 1.5484282365917552 
acting 	 1081.0424062630434 1.5484282365917552 
rumors 	 1332.5486234385196 1.5484282365917552 
spread 	 1081.0424062630434 1.5484282365917552 
kgb 	 1059.744694287645 1.5484282365917552 
successor 	 1383.4183477815147 1.5484282365917552 
service 	 500.94929347076015 1.5484282365917552 
fsb 	 461.1394492605049 1.8228038141610874 
