term 	 tf-idf weight 	 BM25 ranking 
 ashlog1 	 415.25253932162184 1.8602619183187534 
gif 	 29.374436965042797 1.8602619183187534 
profiles 	 118.77834299134216 1.9511450050129033 
kimberly 	 224.85853675540793 1.9276017614151395 
kim1 	 508.6345838584112 1.8602619183187534 
jpg 	 225.39720049351885 1.8602619183187534 
kim 	 171.61611059435478 1.9276017614151395 
aascpa 	 103.81313483040546 1.9631336153802035 
com 	 10.256908990527347 1.9631336153802035 
mailto 	 30.87373861802488 1.9276017614151395 
htm 	 9.294184918549465 1.9752704621444603 
melvin 	 254.3172919292056 1.9276017614151395 
ashland 	 138.41751310720727 1.9511450050129033 
arthur 	 160.93524739241627 1.9276017614151395 
allison 	 508.6345838584112 1.8602619183187534 
donna 	 254.3172919292056 1.9276017614151395 
glass 	 321.87049478483254 1.8602619183187534 
tobin 	 254.3172919292056 1.9276017614151395 
cochran 	 371.83236130151266 1.8602619183187534 
home 	 37.96117116183558 1.8602619183187534 
index 	 36.96311664231751 1.8602619183187534 
industry 	 134.0634478409497 1.8602619183187534 
knowledge 	 185.06827222793402 1.8602619183187534 
key 	 148.73553096764414 1.8602619183187534 
composite 	 171.61611059435478 1.9276017614151395 
construction 	 102.01773704482092 1.9276017614151395 
evaluation 	 179.58249793124045 1.8602619183187534 
cash_ 	 508.6345838584112 1.8602619183187534 
senior 	 228.4884502480432 1.8602619183187534 
accountant 	 390.7995631632205 1.8602619183187534 
serves 	 253.99734060632196 1.8602619183187534 
lead 	 208.89393926603748 1.8602619183187534 
assistant 	 297.41751862643116 1.8602619183187534 
performance 	 190.9326663043249 1.8602619183187534 
verification 	 331.8820528156251 1.8602619183187534 
consultation 	 390.7995631632205 1.8602619183187534 
experienced 	 103.12639077882967 1.8602619183187534 
detail 	 258.3572706292638 1.8602619183187534 
analysis 	 104.5794176143702 1.8602619183187534 
portfolio 	 371.83236130151266 1.8602619183187534 
compilation 	 415.25253932162184 1.8602619183187534 
cpa 	 224.85853675540793 1.9276017614151395 
completion 	 321.87049478483254 1.8602619183187534 
requisite 	 508.6345838584112 1.8602619183187534 
auditing 	 415.25253932162184 1.8602619183187534 
experience 	 152.51393078616502 1.8602619183187534 
passed 	 228.4884502480432 1.8602619183187534 
exam 	 371.83236130151266 1.8602619183187534 
cash 	 278.4503167647233 1.8602619183187534 
responsible 	 188.93257402445838 1.8602619183187534 
production 	 186.97846497535897 1.8602619183187534 
accounting's 	 508.6345838584112 1.8602619183187534 
marketing 	 199.43976028166838 1.8602619183187534 
communication 	 208.89393926603748 1.8602619183187534 
materials 	 201.7065612836521 1.8602619183187534 
copyright 	 66.29401545688357 1.8602619183187534 
accounting 	 253.99734060632196 1.8602619183187534 
services 	 119.78415068562363 1.8602619183187534 
info 	 88.05631419850938 1.9276017614151395 
