term 	 tf-idf weight 	 BM25 ranking 
 pictures 	 1043.687956495408 1.5537435906304313 
newsalert 	 1421.7119696822542 1.5537435906304313 
gif 	 112.31402368986952 1.5537435906304313 
index 	 17.666195454048808 1.930685104079788 
html 	 21.284753759551407 1.9086356241403057 
news 	 197.71409637714783 1.8252540266740704 
alert 	 582.7316637819332 1.74885278130581 
cpj 	 74.0780500032225 1.9624243262625638 
website 	 493.91831149712186 1.74885278130581 
http 	 71.29831088373955 1.74885278130581 
www 	 70.66478181619523 1.74885278130581 
org 	 207.18336244141608 1.8660138269784443 
immediate 	 955.3094989632243 1.5537435906304313 
release 	 818.4151228134257 1.5537435906304313 
october 	 350.23541868219047 1.74885278130581 
contact 	 524.708739171555 1.5537435906304313 
kakuna 	 859.7532287706774 1.74885278130581 
kerina 	 573.1688191804516 1.8252540266740704 
mailto 	 118.04664765715395 1.74885278130581 
africa 	 295.29930545545176 1.8252540266740704 
x103 	 1719.5064575413548 1.5537435906304313 
department 	 312.56765639787534 1.74885278130581 
institutes 	 1587.7302974062013 1.5537435906304313 
policy 	 172.1944386515981 1.8252540266740704 
change 	 173.54021165144178 1.8252540266740704 
ethiopian 	 284.3423939364509 1.891355373814561 
press 	 48.077174777201776 1.949108135105526 
christopher 	 284.2961575105592 1.8660138269784443 
visit 	 828.7334497656643 1.5537435906304313 
addis 	 343.90129150827096 1.891355373814561 
ababa 	 972.3896456116685 1.74885278130581 
enacted 	 656.1792463901801 1.74885278130581 
review 	 438.49237004870525 1.5537435906304313 
report 	 73.22793369463638 1.9211732523631988 
revealing 	 1587.7302974062013 1.5537435906304313 
journalists 	 80.53617421512321 1.949108135105526 
imprisoned 	 1230.6813035890657 1.5537435906304313 
ethiopia 	 136.2457463724219 1.944161036066496 
past 	 279.7041655924547 1.74885278130581 
african 	 955.3094989632243 1.5537435906304313 
country 	 528.8489225492195 1.5537435906304313 
york 	 179.0969852100931 1.8252540266740704 
secretary 	 266.23737357436147 1.8252540266740704 
warren 	 1137.184630042237 1.5537435906304313 
declined 	 1494.2336238593725 1.5537435906304313 
government 	 47.93405646062856 1.930685104079788 
invitation 	 1719.5064575413548 1.5537435906304313 
hold 	 828.7334497656643 1.5537435906304313 
joint 	 818.4151228134257 1.5537435906304313 
conference 	 730.0366652812422 1.5537435906304313 
