term 	 tf-idf weight 	 BM25 ranking 
 law 	 93.7860372593428 1.8196893175076438 
leading 	 1382.532666704596 1.1156295671760588 
attorneys 	 2555.0525320879624 1.1156295671760588 
web 	 3681.486502445379 0.7735688554287408 
header 	 4960.518457739267 0.7735688554287408 
gif 	 154.99335269201993 1.4323006546471337 
webhead 	 5360.8379887969595 0.7735688554287408 
illinois 	 275.55568164946413 1.8196893175076438 
personal 	 135.02771284323416 1.8459667537091835 
injury 	 167.91256076501298 1.9133305279840889 
concepts 	 2204.445453195713 1.1156295671760588 
tort 	 511.13854502223523 1.766599846828876 
degree 	 1189.301699074626 1.4323006546471337 
fault 	 752.0765199757689 1.7263077964184195 
recover 	 849.1700994764553 1.66920185468937 
negligence 	 482.9479253431725 1.8088176791664856 
intentional 	 752.0765199757689 1.7263077964184195 
misconduct 	 916.4632893004151 1.7004522123581158 
strict 	 489.74496889795455 1.766599846828876 
liability 	 202.81955516449995 1.885053805628348 
comparative 	 1143.6521606766169 1.4323006546471337 
vicarious 	 2683.795421888205 1.4323006546471337 
burden 	 1533.4156350667056 1.4323006546471337 
proof 	 1698.3401989529107 1.4323006546471337 
defenses 	 3622.109440073794 1.1156295671760588 
damages 	 377.40893310064683 1.838102064044223 
suing 	 4382.135620841115 1.1156295671760588 
government 	 235.19643703348413 1.7004522123581158 
practice 	 1102.2227265978565 1.4323006546471337 
product 	 144.79479952659102 1.9055888228050917 
negligent 	 1095.5339052102788 1.66920185468937 
design 	 1680.1369876129497 1.1156295671760588 
manufacture 	 3502.331780889597 1.1156295671760588 
breach 	 1034.8884114496555 1.6306716296396935 
warranty 	 1374.6949339506227 1.5819823817246048 
accidents 	 1034.8884114496555 1.6306716296396935 
injuries 	 287.1453926400653 1.8710276637039875 
assault 	 587.6939626775455 1.7263077964184195 
battery 	 849.1700994764553 1.66920185468937 
illegal 	 1222.5391245855703 1.4323006546471337 
confinement 	 1448.8437760295176 1.518506149336391 
landowner 	 1355.9536636611826 1.6306716296396935 
workers' 	 452.89071972077613 1.8088176791664856 
compensation 	 329.58177714231243 1.8196893175076438 
resources 	 1120.0913250752997 1.3084953308594365 
name 	 3513.700754373962 0.7735688554287408 
implies 	 8764.27124168223 0.7735688554287408 
individual 	 3013.688910344539 0.7735688554287408 
person 	 95.85408129534844 1.9156364613268337 
crimes 	 1129.4128694825274 1.4323006546471337 
wrongful 	 2615.950024215348 1.3084953308594365 
acts 	 730.0150091679892 1.6306716296396935 
society 	 2723.342522686496 0.7735688554287408 
punishes 	 9491.675645628278 0.7735688554287408 
commit 	 2201.4480102405005 1.3084953308594365 
criminal 	 629.8415580559181 1.6306716296396935 
penalties 	 3216.6787840762718 1.1156295671760588 
punish 	 3302.1720153607507 1.1156295671760588 
wrongdoer 	 3163.8918818760926 1.3084953308594365 
victim 	 864.9752543713336 1.5819823817246048 
pursue 	 6433.3575681525435 0.7735688554287408 
private 	 3450.7469266325434 0.7735688554287408 
civil 	 1020.9475566793388 1.3084953308594365 
lawsuit 	 875.5829452223993 1.66920185468937 
called 	 1046.3982061017787 1.3084953308594365 
action 	 903.1194986600783 1.4323006546471337 
torts 	 1581.9459409380463 1.5819823817246048 
subject 	 528.6737720120692 1.3084953308594365 
remedies 	 6604.344030721501 0.7735688554287408 
chapter 	 926.6867169701825 1.518506149336391 
outlines 	 6000.712838223046 0.7735688554287408 
actions 	 322.21658518761524 1.766599846828876 
lead 	 2204.445453195713 1.1156295671760588 
lawsuits 	 724.4218880147588 1.7263077964184195 
including 	 787.5577536875891 1.1156295671760588 
defective 	 824.8169603703736 1.7263077964184195 
products 	 671.6337320587429 1.5819823817246048 
occurring 	 3216.6787840762718 1.1156295671760588 
workers 	 1435.4495706541861 1.3084953308594365 
job 	 1487.4823740939846 1.3084953308594365 
transportation 	 2316.7167924254563 1.1156295671760588 
c20 	 9491.675645628278 0.7735688554287408 
html 	 140.99020890326852 1.518506149336391 
deals 	 3906.029180904866 0.7735688554287408 
result 	 804.7352700893531 1.4323006546471337 
related 	 712.884976017616 1.4323006546471337 
medical 	 570.0132521976599 1.5819823817246048 
professional 	 3612.477994640313 0.7735688554287408 
malpractice 	 7520.765199757689 0.7735688554287408 
c19 	 10735.18168755282 0.7735688554287408 
discusses 	 2420.477882668853 0.7735688554287408 
legal 	 1531.4213350190082 1.1156295671760588 
laws 	 1773.0129766228833 1.1156295671760588 
based 	 2207.2408847080014 0.7735688554287408 
premise 	 7520.765199757689 0.7735688554287408 
harm 	 2334.887853926398 1.3084953308594365 
physically 	 5876.939626775455 0.7735688554287408 
mentally 	 6277.259157833148 0.7735688554287408 
financially 	 7847.850072646044 0.7735688554287408 
harmed 	 9491.675645628278 0.7735688554287408 
ought 	 8248.169603703736 0.7735688554287408 
compensated 	 4382.135620841115 1.1156295671760588 
loss 	 1419.0649840896936 1.3084953308594365 
governed 	 6433.3575681525435 0.7735688554287408 
set 	 2662.5231389803243 0.7735688554287408 
rules 	 1040.6880235990584 1.4323006546471337 
govern 	 3502.331780889597 1.1156295671760588 
kinds 	 7244.218880147588 0.7735688554287408 
requires 	 2287.3043213532337 1.1156295671760588 
plaintiff 	 653.987506053837 1.766599846828876 
defendant 	 1751.1658904447986 1.4323006546471337 
fails 	 1469.2349066938636 1.4323006546471337 
act 	 818.536359001392 1.4323006546471337 
reasonable 	 504.5322503533728 1.748054564865643 
similar 	 1182.0086510819222 1.3084953308594365 
situation 	 3481.9477130576365 0.7735688554287408 
examples 	 2178.443632620406 1.1156295671760588 
include 	 1531.4213350190082 1.1156295671760588 
inattentive 	 10735.18168755282 0.7735688554287408 
driving 	 2092.419719277716 1.3084953308594365 
causes 	 986.5863710758648 1.4323006546471337 
automobile 	 3138.629578916574 1.1156295671760588 
accident 	 6000.712838223046 0.7735688554287408 
store 	 2726.429079464113 1.1156295671760588 
owner 	 720.1446899818314 1.66920185468937 
failing 	 1413.0992370789918 1.4323006546471337 
repair 	 3138.629578916574 1.1156295671760588 
escalator 	 5367.59084377641 1.1156295671760588 
fall 	 1858.5062079073628 1.1156295671760588 
driven 	 7004.663561779194 0.7735688554287408 
attentively 	 10735.18168755282 0.7735688554287408 
fixed 	 5549.8547538871 0.7735688554287408 
unsafe 	 4124.084801851868 1.1156295671760588 
drove 	 9491.675645628278 0.7735688554287408 
inattentively 	 10735.18168755282 0.7735688554287408 
failed 	 2347.1264842785426 1.1156295671760588 
repairs 	 8248.169603703736 0.7735688554287408 
found 	 1680.1369876129497 1.1156295671760588 
judge 	 698.5937854774687 1.6306716296396935 
jury 	 839.5628038250649 1.6306716296396935 
behavior 	 1953.014590452433 1.1156295671760588 
occurs 	 3216.6787840762718 1.1156295671760588 
acting 	 5876.939626775455 0.7735688554287408 
deliberately 	 3760.3825998788443 1.1156295671760588 
hurts 	 10735.18168755282 0.7735688554287408 
person's 	 979.4899377959091 1.5819823817246048 
property 	 370.2757636259356 1.748054564865643 
require 	 1630.0521661140938 1.3084953308594365 
intend 	 3502.331780889597 1.1156295671760588 
cause 	 2258.825738965055 1.1156295671760588 
inflicts 	 10735.18168755282 0.7735688554287408 
acted 	 4124.084801851868 1.1156295671760588 
complete 	 1993.7943399992841 1.1156295671760588 
indifference 	 9491.675645628278 0.7735688554287408 
safety 	 814.6066799770583 1.518506149336391 
example 	 243.49114342052954 1.7826021396146152 
driver 	 1034.8884114496555 1.6306716296396935 
scare 	 9491.675645628278 0.7735688554287408 
pedestrian 	 1341.8977109441025 1.66920185468937 
swerving 	 10735.18168755282 0.7735688554287408 
hits 	 8764.27124168223 0.7735688554287408 
commits 	 8248.169603703736 0.7735688554287408 
difficult 	 4462.447122281954 0.7735688554287408 
prove 	 1958.9798755918182 1.3084953308594365 
intentionally 	 7520.765199757689 0.7735688554287408 
situations 	 1677.9177053028684 1.3084953308594365 
received 	 1806.2389973201566 1.1156295671760588 
utmost 	 10735.18168755282 0.7735688554287408 
care 	 394.00288369397407 1.7004522123581158 
strictly 	 2191.0678104205576 1.4323006546471337 
absolutely 	 8248.169603703736 0.7735688554287408 
liable 	 377.40893310064683 1.838102064044223 
resulting 	 1469.6303021304755 1.3084953308594365 
principle 	 5360.8379887969595 0.7735688554287408 
activities 	 1072.9803601191375 1.3084953308594365 
dangerous 	 792.8363934124428 1.6306716296396935 
completely 	 6133.662540266822 0.7735688554287408 
safe 	 1817.6193863094086 1.3084953308594365 
social 	 2302.5199113212248 0.7735688554287408 
policy 	 2851.539904070464 0.7735688554287408 
