term 	 tf-idf weight 	 BM25 ranking 
arcmate 	 2604.8318336293137 1.3936389737851844 
junior 	 5049.84368560429 0.8675751907833051 
arcmatej 	 8838.273886574982 0.8675751907833051 
arcmoh 	 8838.273886574982 0.8675751907833051 
senior 	 3970.322835486586 0.8675751907833051 
arcmates 	 8838.273886574982 0.8675751907833051 
lrmate 	 4419.136943287491 1.2101864928554062 
m400 	 8838.273886574982 0.8675751907833051 
gmfm400 	 8838.273886574982 0.8675751907833051 
gmfp100 	 8838.273886574982 0.8675751907833051 
s10 	 8838.273886574982 0.8675751907833051 
gmfs10 	 8838.273886574982 0.8675751907833051 
a120 	 8838.273886574982 0.8675751907833051 
s420if 	 8838.273886574982 0.8675751907833051 
s420 	 8838.273886574982 0.8675751907833051 
gmfs500 	 8838.273886574982 0.8675751907833051 
a100 	 8838.273886574982 0.8675751907833051 
s700 	 8838.273886574982 0.8675751907833051 
gmfs700 	 8838.273886574982 0.8675751907833051 
s900w 	 4419.136943287491 1.2101864928554062 
feedback 	 4743.160343826823 0.8675751907833051 
esa1010 	 4419.136943287491 1.2101864928554062 
graco 	 8838.273886574982 0.8675751907833051 
edy1 	 4419.136943287491 1.2101864928554062 
hitachi 	 8838.273886574982 0.8675751907833051 
m6100 	 4419.136943287491 1.2101864928554062 
ibm 	 1523.0649333874483 1.3936389737851844 
upgraded 	 3607.811768106091 1.2101864928554062 
sr5428 	 2209.5684716437454 1.507932944766665 
sr5407 	 2209.5684716437454 1.507932944766665 
sr5427 	 2209.5684716437454 1.507932944766665 
igm 	 8838.273886574982 0.8675751907833051 
rt280 	 8838.273886574982 0.8675751907833051 
igmrt280 	 8838.273886574982 0.8675751907833051 
ee1 	 8838.273886574982 0.8675751907833051 
kawee10 	 8838.273886574982 0.8675751907833051 
eh120 	 8838.273886574982 0.8675751907833051 
kaweh120 	 8838.273886574982 0.8675751907833051 
es65 	 8838.273886574982 0.8675751907833051 
kawaes65 	 8838.273886574982 0.8675751907833051 
ex100 	 8838.273886574982 0.8675751907833051 
kawex100 	 8838.273886574982 0.8675751907833051 
ex40 	 8838.273886574982 0.8675751907833051 
kawaex40 	 8838.273886574982 0.8675751907833051 
js10 	 8838.273886574982 0.8675751907833051 
kawajs10 	 8838.273886574982 0.8675751907833051 
js5 	 8838.273886574982 0.8675751907833051 
kawa_js5 	 8838.273886574982 0.8675751907833051 
ux120 	 4419.136943287491 1.2101864928554062 
ux150 	 4419.136943287491 1.2101864928554062 
komatsu 	 3907.2477504439707 1.2101864928554062 
ral10 	 2209.5684716437454 1.507932944766665 
kuk16115 	 8838.273886574982 0.8675751907833051 
ir16160 	 8838.273886574982 0.8675751907833051 
ir16315 	 8838.273886574982 0.8675751907833051 
vertical 	 5766.938729513863 0.8675751907833051 
k36115v 	 8838.273886574982 0.8675751907833051 
kir36150 	 8838.273886574982 0.8675751907833051 
kir36152 	 8838.273886574982 0.8675751907833051 
labman 	 8838.273886574982 0.8675751907833051 
labman35 	 8838.273886574982 0.8675751907833051 
lamberton 	 2946.0912955249933 1.3936389737851844 
robotics 	 1722.6889216127013 1.3936389737851844 
aa1000 	 4419.136943287491 1.2101864928554062 
aa2000 	 4419.136943287491 1.2101864928554062 
aa4000 	 4419.136943287491 1.2101864928554062 
mitsubishi 	 1697.6792788002256 1.507932944766665 
movemaster 	 8838.273886574982 0.8675751907833051 
mmastex 	 8838.273886574982 0.8675751907833051 
rve 	 8838.273886574982 0.8675751907833051 
rve2 	 8838.273886574982 0.8675751907833051 
rvt 	 8838.273886574982 0.8675751907833051 
rvt100a 	 8838.273886574982 0.8675751907833051 
motoman 	 411.28923688883907 1.8714348218031673 
k100rsh 	 4419.136943287491 1.2101864928554062 
k100s 	 4419.136943287491 1.2101864928554062 
k10as 	 8838.273886574982 0.8675751907833051 
motk10as 	 8838.273886574982 0.8675751907833051 
k10msb 	 4419.136943287491 1.2101864928554062 
k120s 	 4419.136943287491 1.2101864928554062 
k30s 	 8838.273886574982 0.8675751907833051 
motok30s 	 8838.273886574982 0.8675751907833051 
k30sh 	 4419.136943287491 1.2101864928554062 
k3s 	 8838.273886574982 0.8675751907833051 
motok3s 	 8838.273886574982 0.8675751907833051 
k506 	 8838.273886574982 0.8675751907833051 
motok506 	 8838.273886574982 0.8675751907833051 
k60csh 	 4419.136943287491 1.2101864928554062 
k60s 	 8838.273886574982 0.8675751907833051 
motok60s 	 8838.273886574982 0.8675751907833051 
k6ms 	 8838.273886574982 0.8675751907833051 
motok6ms 	 8838.273886574982 0.8675751907833051 
k6sb 	 8838.273886574982 0.8675751907833051 
