term 	 tf-idf weight 	 BM25 ranking 
 national 	 312.86115381575047 1.6095477211390408 
arbor 	 240.15996041709465 1.9074559264650965 
day 	 63.53835169778147 1.9222805659694122 
foundation 	 1399.9220428349222 1.3466470218815527 
images 	 104.66129613930276 1.9074559264650965 
weblogo_small 	 2401.5996041709463 1.3466470218815527 
gif 	 18.97243046330411 1.9074559264650965 
hands 	 806.8690998935541 1.6095477211390408 
curriculum 	 163.4964961538322 1.9155136280127292 
kits 	 1452.321607984929 1.6095477211390408 
curriculum_kits 	 3285.1810180972675 1.3466470218815527 
award 	 834.3420092674459 1.6095477211390408 
winning 	 1729.746892210405 1.3466470218815527 
guides 	 3285.1810180972675 1.3466470218815527 
classroom 	 960.4836336818278 1.6095477211390408 
learning 	 291.1601484022161 1.8230974922720358 
trees 	 163.4964961538322 1.9155136280127292 
fun 	 2216.876346265901 1.3466470218815527 
involving 	 1455.8007420110805 1.3466470218815527 
grow 	 599.4871525640514 1.7215802069820514 
curriculum_grow 	 3285.1810180972675 1.3466470218815527 
tree 	 147.76671287412736 1.9280438921264198 
integrated 	 1877.0238208508838 1.3466470218815527 
unit 	 205.21937249067048 1.8703649567309222 
lower 	 616.6001988298492 1.6095477211390408 
elementary 	 576.5822974034683 1.7215802069820514 
classrooms 	 2301.505069491065 1.3466470218815527 
teaches 	 1108.4381731329504 1.6095477211390408 
importance 	 434.26236135186275 1.7215802069820514 
magic 	 1010.5309010217683 1.6095477211390408 
provides 	 325.60159001720905 1.7215802069820514 
opportunity 	 424.6285581240306 1.7215802069820514 
students 	 341.39959171304247 1.7836558433211422 
seed 	 670.5107179046188 1.7836558433211422 
multimedia 	 2904.643215969858 1.3466470218815527 
kit 	 220.37872619845345 1.885642793299636 
magazine's 	 2682.042871618475 1.3466470218815527 
teacher 	 1763.0298095876276 1.3466470218815527 
choice 	 1273.8856743720917 1.3466470218815527 
winners 	 2301.505069491065 1.3466470218815527 
value 	 1037.3858534373342 1.3466470218815527 
includes 	 150.2959708702832 1.8230974922720358 
vhs 	 1642.5905090486337 1.6095477211390408 
tape 	 767.1683564970218 1.7215802069820514 
programs 	 297.7826240815605 1.7215802069820514 
special 	 907.6084142800719 1.3466470218815527 
trees_ 	 3285.1810180972675 1.3466470218815527 
vital 	 1836.3385441384905 1.3466470218815527 
contributions 	 1317.8291208848632 1.3466470218815527 
child's 	 1836.3385441384905 1.3466470218815527 
life 	 680.2132796258433 1.3466470218815527 
magic_ 	 3285.1810180972675 1.3466470218815527 
explains 	 1640.5239999161265 1.3466470218815527 
roots 	 1399.9220428349222 1.3466470218815527 
trunk 	 2904.643215969858 1.3466470218815527 
leaves 	 1763.0298095876276 1.3466470218815527 
feed 	 2216.876346265901 1.3466470218815527 
prepares 	 2301.505069491065 1.3466470218815527 
planting 	 480.3199208341893 1.8230974922720358 
experience 	 985.06056472476 1.3466470218815527 
complete 	 406.7607181938339 1.7215802069820514 
easy 	 759.0090951223127 1.6095477211390408 
page 	 134.7451428516532 1.6095477211390408 
teacher's 	 800.5332013903155 1.7215802069820514 
guide 	 260.63244892536073 1.8503754977546336 
contains 	 529.3995704011841 1.7215802069820514 
detailed 	 1159.8916631088355 1.3466470218815527 
week 	 1273.8856743720917 1.3466470218815527 
lesson 	 2143.567611715038 1.3466470218815527 
plans 	 952.7571302121694 1.3466470218815527 
resource 	 1518.0181902446254 1.3466470218815527 
enrichment 	 2682.042871618475 1.3466470218815527 
suggestions 	 521.2648978507215 1.7215802069820514 
activity 	 552.7453787785764 1.6095477211390408 
masters 	 894.0142905394918 1.7215802069820514 
english 	 1220.2821545815018 1.3466470218815527 
spanish 	 1540.4294652362455 1.3466470218815527 
celebrate 	 2904.643215969858 1.3466470218815527 
materials 	 651.3935420277942 1.6095477211390408 
activities 	 197.01211294495198 1.8230974922720358 
extensive 	 759.0090951223127 1.6095477211390408 
bibliography 	 1108.4381731329504 1.6095477211390408 
full 	 188.9939531203171 1.8230974922720358 
color 	 333.7368037069783 1.8230974922720358 
wall 	 918.1692720692453 1.6095477211390408 
posters 	 2524.105413842448 1.3466470218815527 
support 	 762.4602203733776 1.3466470218815527 
concepts 	 1349.209090082995 1.3466470218815527 
taught 	 1877.0238208508838 1.3466470218815527 
video 	 1763.0298095876276 1.3466470218815527 
provide 	 464.8593924534004 1.6095477211390408 
individual 	 922.2492819281784 1.3466470218815527 
study 	 666.0751592656176 1.3466470218815527 
packet 	 2904.643215969858 1.3466470218815527 
emery 	 1642.5905090486337 1.6095477211390408 
boards 	 1200.7998020854732 1.6095477211390408 
thornless 	 1642.5905090486337 1.6095477211390408 
honeylocust 	 1642.5905090486337 1.6095477211390408 
seeds 	 1200.7998020854732 1.6095477211390408 
peat 	 3285.1810180972675 1.3466470218815527 
pellets 	 1642.5905090486337 1.6095477211390408 
entire 	 1475.7665786608907 1.3466470218815527 
encased 	 3285.1810180972675 1.3466470218815527 
vinyl 	 1452.321607984929 1.6095477211390408 
binder 	 1642.5905090486337 1.6095477211390408 
item 	 357.26126861917294 1.8503754977546336 
supplemental 	 2524.105413842448 1.3466470218815527 
including 	 482.01695292584884 1.3466470218815527 
secure 	 212.29586537653415 1.885642793299636 
electronic 	 385.1073663090614 1.7836558433211422 
form 	 105.77068478551048 1.885642793299636 
https 	 670.5107179046188 1.7836558433211422 
www 	 59.68456187244797 1.7836558433211422 
inacomlnk 	 670.5107179046188 1.7836558433211422 
com 	 66.2475651270531 1.7836558433211422 
clients 	 368.94164466522267 1.7836558433211422 
arborday 	 670.5107179046188 1.7836558433211422 
ed_order_electronic 	 726.1608039924645 1.7836558433211422 
html 	 19.611742345164288 1.9155136280127292 
print 	 403.43454994677705 1.7836558433211422 
ed_order_print 	 726.1608039924645 1.7836558433211422 
terrific 	 657.0362036194535 1.8230974922720358 
curriculum_terrific 	 3285.1810180972675 1.3466470218815527 
geared 	 2401.5996041709463 1.3466470218815527 
upper 	 1563.7946935521643 1.3466470218815527 
middle 	 644.0731082037408 1.6095477211390408 
grade 	 1763.0298095876276 1.3466470218815527 
celebration 	 2301.505069491065 1.3466470218815527 
stewardship 	 363.08040199623224 1.885642793299636 
audio 	 714.5225372383459 1.7215802069820514 
cassette 	 1095.060339365756 1.7215802069820514 
time 	 261.73529962641027 1.6095477211390408 
warp 	 1341.0214358092376 1.6095477211390408 
talk 	 424.5917307530683 1.7836558433211422 
entertaining 	 1642.5905090486337 1.6095477211390408 
information 	 114.00598317949671 1.7836558433211422 
packed 	 1341.0214358092376 1.6095477211390408 
radio 	 597.661655606681 1.6095477211390408 
