term 	 tf-idf weight 	 BM25 ranking 
 srl 	 971.8171131378703 1.6135642410343076 
kliuchevskoi 	 231.66381886660412 1.9338373413418681 
volcano 	 207.6601600337897 1.9232334879433113 
optical 	 284.0199789763564 1.8870185302548113 
radar 	 78.39742272061251 1.9532218943639268 
comparison 	 110.2446600083373 1.8870185302548113 
imaging 	 274.5679229040411 1.8521422382130688 
kliuchevshoi 	 1621.6467320662287 1.6135642410343076 
kamchatka 	 540.5489106887429 1.8521422382130688 
russia 	 540.6320554473102 1.6135642410343076 
erupt 	 1621.6467320662287 1.6135642410343076 
september 	 321.5439888698219 1.7861193363729528 
space 	 283.4817156391244 1.7861193363729528 
shuttle 	 295.9217091891765 1.8521422382130688 
mission 	 709.1095621398943 1.6135642410343076 
sts 	 1433.8038461344836 1.6135642410343076 
spaceborne 	 948.2370299736806 1.6135642410343076 
band 	 209.58899641909198 1.8870185302548113 
synthetic 	 926.5454561941522 1.6135642410343076 
aperture 	 948.2370299736806 1.6135642410343076 
sir 	 380.1970720209677 1.7861193363729528 
sar 	 443.8825637837648 1.7861193363729528 
payload 	 1245.9609602027383 1.6135642410343076 
photo 	 568.0399579527128 1.7861193363729528 
left 	 196.68039911282398 1.8521422382130688 
astronauts 	 1323.922801837171 1.6135642410343076 
hours 	 709.1095621398943 1.6135642410343076 
eruption 	 415.3203200675794 1.8521422382130688 
ash 	 477.93461537816114 1.8521422382130688 
plume 	 540.5489106887429 1.8521422382130688 
reached 	 364.2374706895277 1.7861193363729528 
heights 	 1058.118074270993 1.6135642410343076 
kilometers 	 316.0790099912268 1.8521422382130688 
feet 	 443.8825637837648 1.7861193363729528 
emerging 	 887.7651275675296 1.6135642410343076 
vent 	 1433.8038461344836 1.6135642410343076 
north 	 95.63202879270074 1.908581969863243 
flank 	 716.9019230672418 1.7861193363729528 
partially 	 1323.922801837171 1.6135642410343076 
hidden 	 971.8171131378703 1.6135642410343076 
shadow 	 1136.0799159054257 1.6135642410343076 
view 	 444.47546274388026 1.6135642410343076 
photograph 	 1433.8038461344836 1.6135642410343076 
oriented 	 948.2370299736806 1.6135642410343076 
bottom 	 308.8484853980507 1.8521422382130688 
image 	 44.58070744768281 1.9573838356290814 
acquired 	 398.29057572159047 1.7861193363729528 
days 	 572.5512581101902 1.6135642410343076 
near 	 329.07370370129877 1.7861193363729528 
center 	 140.29845985989687 1.8521422382130688 
whitish 	 1621.6467320662287 1.6135642410343076 
steam 	 1245.9609602027383 1.6135642410343076 
seen 	 256.0396778520196 1.7861193363729528 
emanating 	 1245.9609602027383 1.6135642410343076 
growing 	 283.4817156391244 1.7861193363729528 
lava 	 810.8233660331143 1.7861193363729528 
dome 	 810.8233660331143 1.7861193363729528 
companion 	 1245.9609602027383 1.6135642410343076 
bezymianny 	 810.8233660331143 1.7861193363729528 
blue 	 269.93442864436565 1.8521422382130688 
triangular 	 1621.6467320662287 1.6135642410343076 
peak 	 1094.3050816722387 1.6135642410343076 
edge 	 295.9217091891765 1.8521422382130688 
bright 	 1094.3050816722387 1.6135642410343076 
red 	 230.34539988358463 1.8521422382130688 
delineates 	 1433.8038461344836 1.6135642410343076 
bare 	 1185.4890577965875 1.6135642410343076 
snow 	 415.3203200675794 1.8521422382130688 
cover 	 643.0879777396437 1.6135642410343076 
aboard 	 948.2370299736806 1.6135642410343076 
endeavour 	 498.8230859324211 1.7861193363729528 
orbit 	 997.6461718648422 1.6135642410343076 
october 	 292.0424568088419 1.7861193363729528 
approximately 	 749.3313835269462 1.6135642410343076 
miles 	 411.85188435606165 1.7861193363729528 
centered 	 926.5454561941522 1.6135642410343076 
degrees 	 380.1970720209677 1.7861193363729528 
latitude 	 948.2370299736806 1.6135642410343076 
east 	 535.6594388682289 1.6135642410343076 
longitude 	 1026.1988716081132 1.6135642410343076 
illumination 	 1245.9609602027383 1.6135642410343076 
top 	 253.13575410160405 1.6135642410343076 
volcanoes 	 477.93461537816114 1.8521422382130688 
active 	 419.17799283818397 1.7861193363729528 
world 	 300.46825747871657 1.6135642410343076 
volcanic 	 716.9019230672418 1.7861193363729528 
zone 	 887.7651275675296 1.6135642410343076 
sits 	 1621.6467320662287 1.6135642410343076 
tectonic 	 1433.8038461344836 1.6135642410343076 
plate 	 415.3203200675794 1.8521422382130688 
boundary 	 1185.4890577965875 1.6135642410343076 
pacific 	 823.7037687121233 1.6135642410343076 
sinking 	 1185.4890577965875 1.6135642410343076 
beneath 	 1185.4890577965875 1.6135642410343076 
northeast 	 1433.8038461344836 1.6135642410343076 
eurasian 	 1621.6467320662287 1.6135642410343076 
crew 	 1058.118074270993 1.6135642410343076 
obtained 	 419.17799283818397 1.7861193363729528 
dramatic 	 887.7651275675296 1.6135642410343076 
video 	 870.2751883392478 1.6135642410343076 
photographic 	 1433.8038461344836 1.6135642410343076 
images 	 516.6340847677786 1.6135642410343076 
region 	 621.9604000013519 1.6135642410343076 
assist 	 809.8032859330971 1.6135642410343076 
scientists 	 926.5454561941522 1.6135642410343076 
analyzing 	 838.3559856763679 1.6135642410343076 
dynamics 	 709.1095621398943 1.6135642410343076 
activity 	 545.6976234936036 1.6135642410343076 
colors 	 1185.4890577965875 1.6135642410343076 
following 	 399.20380580016223 1.6135642410343076 
channels 	 870.2751883392478 1.6135642410343076 
represents 	 265.5270504810603 1.8521422382130688 
horizontally 	 342.0662905360377 1.8521422382130688 
transmitted 	 316.0790099912268 1.8521422382130688 
received 	 181.8992078312012 1.8521422382130688 
green 	 364.2374706895277 1.7861193363729528 
vertically 	 513.0994358040566 1.7861193363729528 
addition 	 602.3615007132731 1.6135642410343076 
visible 	 948.2370299736806 1.6135642410343076 
circular 	 1323.922801837171 1.6135642410343076 
crater 	 716.9019230672418 1.7861193363729528 
contains 	 783.9742272061251 1.6135642410343076 
slowly 	 1058.118074270993 1.6135642410343076 
tolbachik 	 1621.6467320662287 1.6135642410343076 
dark 	 971.8171131378703 1.6135642410343076 
summit 	 926.5454561941522 1.6135642410343076 
upper 	 771.927799549429 1.6135642410343076 
covered 	 738.702570262407 1.6135642410343076 
river 	 853.845915826994 1.6135642410343076 
runs 	 1026.1988716081132 1.6135642410343076 
current 	 381.9000568918118 1.6135642410343076 
included 	 621.9604000013519 1.6135642410343076 
massive 	 906.4621957404936 1.6135642410343076 
ejections 	 1621.6467320662287 1.6135642410343076 
gas 	 838.3559856763679 1.6135642410343076 
vapor 	 1433.8038461344836 1.6135642410343076 
altitudes 	 1433.8038461344836 1.6135642410343076 
meters 	 971.8171131378703 1.6135642410343076 
melting 	 1323.922801837171 1.6135642410343076 
mixed 	 997.6461718648422 1.6135642410343076 
triggered 	 1058.118074270993 1.6135642410343076 
mudflows 	 1621.6467320662287 1.6135642410343076 
flanks 	 1621.6467320662287 1.6135642410343076 
paths 	 1026.1988716081132 1.6135642410343076 
flows 	 1058.118074270993 1.6135642410343076 
thin 	 1094.3050816722387 1.6135642410343076 
lines 	 658.1474074025975 1.6135642410343076 
various 	 331.0975957360367 1.6135642410343076 
shades 	 1621.6467320662287 1.6135642410343076 
gif 	 46.826308338391755 1.7861193363729528 
icons 	 823.7037687121233 1.6135642410343076 
yellow 	 783.9742272061251 1.6135642410343076 
index 	 117.84711305962405 1.6135642410343076 
html 	 106.48926034778643 1.6135642410343076 
home 	 121.0291457042052 1.6135642410343076 
page 	 133.02708092093997 1.6135642410343076 
updated 	 290.3172580317585 1.6135642410343076 
bruce 	 760.3941440419354 1.6135642410343076 
chapman 	 870.2751883392478 1.6135642410343076 
jpl 	 760.3941440419354 1.6135642410343076 
nasa 	 699.9222416357844 1.6135642410343076 
gov 	 628.8215259650945 1.6135642410343076 
