term 	 tf-idf weight 	 BM25 ranking 
 william 	 186.53483461638396 1.8687102413416212 
sellers 	 53.5034800424801 1.9786136568959463 
professor 	 620.8146635021694 1.7535956654884424 
undergraduate 	 666.5561130220025 1.7535956654884424 
academic 	 433.4085190838477 1.7535956654884424 
advisor 	 602.0871608328044 1.7535956654884424 
research 	 91.23852271198913 1.8687102413416212 
physical 	 150.22254161797463 1.8687102413416212 
climatology 	 231.84841351741377 1.910515426211695 
climate 	 31.4424933765693 1.9768520886861711 
modeling 	 206.9382211673898 1.910515426211695 
wrote 	 531.8357532204371 1.7535956654884424 
textbooks 	 841.235466920232 1.7535956654884424 
developed 	 317.19740522554366 1.7535956654884424 
numerical 	 642.0461549294685 1.7535956654884424 
models 	 400.39386008410673 1.7535956654884424 
seen 	 300.44508323594926 1.7535956654884424 
fields 	 520.8658866540119 1.7535956654884424 
grow 	 520.8658866540119 1.7535956654884424 
beginnings 	 510.60426179313805 1.7535956654884424 
major 	 212.98771566578503 1.7535956654884424 
efforts 	 300.44508323594926 1.7535956654884424 
exist 	 467.366801031239 1.7535956654884424 
world 	 176.2894942402802 1.7535956654884424 
global 	 76.33327148294836 1.9453308465478094 
change 	 84.90121123870537 1.910515426211695 
selected 	 416.04583166141396 1.7535956654884424 
publications 	 295.23150140709373 1.7535956654884424 
naegele 	 951.4458686292634 1.7535956654884424 
study 	 192.90701333922257 1.7535956654884424 
visibility 	 951.4458686292634 1.7535956654884424 
eighteen 	 951.4458686292634 1.7535956654884424 
cities 	 475.1244371341787 1.7535956654884424 
western 	 140.27207175313114 1.8687102413416212 
southwestern 	 776.7665147310338 1.7535956654884424 
united 	 219.22380905715676 1.7535956654884424 
monthly 	 500.96494692432486 1.7535956654884424 
weather 	 467.366801031239 1.7535956654884424 
rev 	 841.235466920232 1.7535956654884424 
quasi 	 776.7665147310338 1.7535956654884424 
dimensional 	 666.5561130220025 1.7535956654884424 
model 	 83.16161030741841 1.93212737554992 
appl 	 317.1486228764211 1.910515426211695 
met 	 115.39551091859414 1.910515426211695 
response 	 173.0932663778912 1.8687102413416212 
orbital 	 666.5561130220025 1.7535956654884424 
variations 	 292.667419421605 1.8687102413416212 
milankovich 	 951.4458686292634 1.7535956654884424 
berger 	 731.0250652112007 1.7535956654884424 
eds 	 841.235466920232 1.7535956654884424 
szymber 	 951.4458686292634 1.7535956654884424 
atmospheric 	 585.33483884321 1.7535956654884424 
turbidity 	 951.4458686292634 1.7535956654884424 
tucson 	 420.617733460116 1.8687102413416212 
arizona 	 135.90473019821974 1.93212737554992 
causes 	 349.75971683625977 1.7535956654884424 
effect 	 125.38875415712353 1.8687102413416212 
solar 	 278.17285565648564 1.8687102413416212 
perturbation 	 841.235466920232 1.7535956654884424 
kirby 	 951.4458686292634 1.7535956654884424 
cold 	 475.1244371341787 1.7535956654884424 
air 	 386.1455268524465 1.7535956654884424 
drainage 	 776.7665147310338 1.7535956654884424 
urban 	 202.63056662060214 1.7535956654884424 
heating 	 666.5561130220025 1.7535956654884424 
nevada 	 731.0250652112007 1.7535956654884424 
acad 	 951.4458686292634 1.7535956654884424 
sci 	 205.52155535482945 1.7535956654884424 
andrade 	 951.4458686292634 1.7535956654884424 
nin 	 951.4458686292634 1.7535956654884424 
precipitation 	 695.5452405522414 1.7535956654884424 
mexico 	 452.90228829652847 1.7535956654884424 
wen 	 841.235466920232 1.7535956654884424 
liu 	 841.235466920232 1.7535956654884424 
temperature 	 602.0871608328044 1.7535956654884424 
patterns 	 377.3099205188316 1.7535956654884424 
trends 	 390.75454521529366 1.7535956654884424 
upper 	 452.90228829652847 1.7535956654884424 
troposphere 	 841.235466920232 1.7535956654884424 
lower 	 357.15639932220773 1.7535956654884424 
stratosphere 	 951.4458686292634 1.7535956654884424 
genesis 	 666.5561130220025 1.7535956654884424 
energy 	 339.272399957364 1.7535956654884424 
balance 	 400.39386008410673 1.7535956654884424 
cool 	 602.0871608328044 1.7535956654884424 
sun 	 500.96494692432486 1.7535956654884424 
paradox 	 731.0250652112007 1.7535956654884424 
planetary 	 347.7726202761207 1.8687102413416212 
walsh 	 776.7665147310338 1.7535956654884424 
percent 	 439.6446124752194 1.7535956654884424 
reduction 	 475.1244371341787 1.7535956654884424 
constant 	 585.33483884321 1.7535956654884424 
gifs 	 206.9382211673898 1.910515426211695 
blueline 	 731.0250652112007 1.7535956654884424 
gif 	 18.315825401732567 1.910515426211695 
home 	 35.504860086657985 1.8687102413416212 
iconhome 	 695.5452405522414 1.7535956654884424 
shtml 	 333.27805651100124 1.8687102413416212 
iconup 	 731.0250652112007 1.7535956654884424 
faculty 	 531.8357532204371 1.7535956654884424 
