term 	 tf-idf weight 	 BM25 ranking 
 srl 	 570.1805202543223 1.7535956654884424 
galeras 	 158.57431143821054 1.9542338725025856 
volcano 	 121.83751086853344 1.9542338725025856 
radar 	 65.71001693504158 1.960643233087043 
image 	 47.953048785976165 1.9542338725025856 
surrounding 	 395.5011663560929 1.7535956654884424 
southern 	 390.75454521529366 1.7535956654884424 
colombia 	 731.0250652112007 1.7535956654884424 
ability 	 339.272399957364 1.7535956654884424 
multi 	 475.1244371341787 1.7535956654884424 
frequency 	 570.1805202543223 1.7535956654884424 
map 	 421.6253515114058 1.7535956654884424 
volcanic 	 420.617733460116 1.8687102413416212 
structures 	 400.39386008410673 1.7535956654884424 
dangerous 	 491.8767591237731 1.7535956654884424 
study 	 192.90701333922257 1.7535956654884424 
ground 	 475.1244371341787 1.7535956654884424 
erupted 	 841.235466920232 1.7535956654884424 
times 	 258.72916518561817 1.7535956654884424 
visited 	 543.618920792879 1.7535956654884424 
european 	 300.44508323594926 1.7535956654884424 
explorers 	 951.4458686292634 1.7535956654884424 
activity 	 320.16945437447595 1.7535956654884424 
levels 	 364.9140354251474 1.7535956654884424 
including 	 139.60053827907097 1.7535956654884424 
eruption 	 731.0250652112007 1.7535956654884424 
january 	 368.9395668946495 1.7535956654884424 
killed 	 459.9701185452911 1.7535956654884424 
people 	 186.30855612504888 1.7535956654884424 
scientific 	 213.70390346728746 1.8687102413416212 
expedition 	 841.235466920232 1.7535956654884424 
summit 	 271.8094603964395 1.8687102413416212 
light 	 320.16945437447595 1.7535956654884424 
green 	 213.70390346728746 1.8687102413416212 
near 	 193.07276342622325 1.8687102413416212 
center 	 246.9459976131764 1.7535956654884424 
active 	 491.8767591237731 1.7535956654884424 
cone 	 951.4458686292634 1.7535956654884424 
pit 	 731.0250652112007 1.7535956654884424 
red 	 202.7209515580625 1.8687102413416212 
feature 	 520.8658866540119 1.7535956654884424 
nestled 	 951.4458686292634 1.7535956654884424 
lower 	 357.15639932220773 1.7535956654884424 
edge 	 520.8658866540119 1.7535956654884424 
caldera 	 841.235466920232 1.7535956654884424 
crater 	 841.235466920232 1.7535956654884424 
wall 	 531.8357532204371 1.7535956654884424 
city 	 264.9652585769899 1.7535956654884424 
pasto 	 951.4458686292634 1.7535956654884424 
population 	 164.71710538309404 1.8687102413416212 
shown 	 213.70390346728746 1.8687102413416212 
orange 	 556.3457113129713 1.7535956654884424 
bottom 	 543.618920792879 1.7535956654884424 
kilometers 	 278.17285565648564 1.8687102413416212 
miles 	 241.64003547089962 1.8687102413416212 
acquired 	 467.366801031239 1.7535956654884424 
spaceborne 	 556.3457113129713 1.7535956654884424 
imaging 	 241.64003547089962 1.8687102413416212 
band 	 122.96918978094328 1.93212737554992 
synthetic 	 543.618920792879 1.7535956654884424 
aperture 	 556.3457113129713 1.7535956654884424 
sir 	 446.13530960393996 1.7535956654884424 
sar 	 520.8658866540119 1.7535956654884424 
aboard 	 556.3457113129713 1.7535956654884424 
space 	 332.64644122967366 1.7535956654884424 
shuttle 	 520.8658866540119 1.7535956654884424 
endeavour 	 585.33483884321 1.7535956654884424 
orbit 	 585.33483884321 1.7535956654884424 
april 	 332.64644122967366 1.7535956654884424 
north 	 140.27207175313114 1.8687102413416212 
upper 	 452.90228829652847 1.7535956654884424 
centered 	 543.618920792879 1.7535956654884424 
degrees 	 223.06765480196998 1.8687102413416212 
latitude 	 556.3457113129713 1.7535956654884424 
west 	 282.8997421460997 1.7535956654884424 
longitude 	 602.0871608328044 1.7535956654884424 
illumination 	 731.0250652112007 1.7535956654884424 
top 	 148.51876347658688 1.7535956654884424 
false 	 556.3457113129713 1.7535956654884424 
colors 	 695.5452405522414 1.7535956654884424 
created 	 295.23150140709373 1.7535956654884424 
following 	 234.21920709308412 1.7535956654884424 
channels 	 510.60426179313805 1.7535956654884424 
represents 	 116.84170025780975 1.93212737554992 
horizontally 	 200.69572027760148 1.910515426211695 
transmitted 	 185.44857043765708 1.910515426211695 
received 	 106.72315145815864 1.910515426211695 
vertically 	 301.0435804164022 1.8687102413416212 
blue 	 475.1244371341787 1.7535956654884424 
volcanoes 	 841.235466920232 1.7535956654884424 
worldwide 	 467.366801031239 1.7535956654884424 
monitored 	 695.5452405522414 1.7535956654884424 
community 	 245.06431884730299 1.7535956654884424 
international 	 214.5239595007512 1.7535956654884424 
decade 	 427.4078069345749 1.7535956654884424 
hazard 	 841.235466920232 1.7535956654884424 
local 	 248.8502119896042 1.7535956654884424 
march 	 346.1865327557824 1.7535956654884424 
gif 	 27.47373810259885 1.8687102413416212 
icons 	 483.28007094179924 1.7535956654884424 
yellow 	 459.9701185452911 1.7535956654884424 
index 	 69.14277113092334 1.7535956654884424 
html 	 62.47893872803705 1.7535956654884424 
home 	 71.00972017331597 1.7535956654884424 
page 	 78.04909913811606 1.7535956654884424 
updated 	 170.333741797231 1.7535956654884424 
bruce 	 446.13530960393996 1.7535956654884424 
chapman 	 510.60426179313805 1.7535956654884424 
jpl 	 446.13530960393996 1.7535956654884424 
nasa 	 410.6554849449805 1.7535956654884424 
gov 	 368.9395668946495 1.7535956654884424 
