term 	 tf-idf weight 	 BM25 ranking 
correspondents 	 1793.544330983767 1.4680718954248366 
dispatched 	 2169.2235310521705 1.4680718954248366 
distant 	 1885.033187022593 1.4680718954248366 
wars 	 1343.113292629842 1.4680718954248366 
local 	 641.689225885143 1.4680718954248366 
corrupt 	 1655.5907139690696 1.4680718954248366 
repressive 	 1793.544330983767 1.4680718954248366 
governments 	 1032.4621549338601 1.4680718954248366 
drop 	 1316.6524989634377 1.4680718954248366 
bosnia 	 717.301074334334 1.6932427466242004 
rwanda 	 2169.2235310521705 1.4680718954248366 
stay 	 1246.1938936235076 1.4680718954248366 
weeks 	 558.7971472464702 1.6932427466242004 
home 	 91.55341280207405 1.6932427466242004 
people 	 480.41828937905683 1.4680718954248366 
writes 	 1793.544330983767 1.4680718954248366 
prize 	 1509.3539869541894 1.4680718954248366 
winning 	 1291.7964040186994 1.4680718954248366 
essayist 	 2169.2235310521705 1.4680718954248366 
roger 	 1793.544330983767 1.4680718954248366 
rosenblatt 	 2169.2235310521705 1.4680718954248366 
preface 	 1793.544330983767 1.4680718954248366 
book 	 661.9402555702693 1.4680718954248366 
consecutive 	 776.2758991869491 1.6932427466242004 
turkey 	 735.1384066172081 1.6932427466242004 
editors 	 1552.5517983738982 1.4680718954248366 
att95rel 	 2453.4138750817483 1.4680718954248366 
worst 	 1600.8428429930154 1.4680718954248366 
imprisoning 	 2453.4138750817483 1.4680718954248366 
turkish 	 776.2758991869491 1.6932427466242004 
government 	 241.88262337055642 1.6932427466242004 
demonstrate 	 1291.7964040186994 1.4680718954248366 
commitment 	 1150.4118046390904 1.4680718954248366 
democracy 	 911.3218276473874 1.4680718954248366 
releasing 	 1793.544330983767 1.4680718954248366 
abolishing 	 2169.2235310521705 1.4680718954248366 
article 	 446.3411271379585 1.6932427466242004 
anti 	 795.7628552695825 1.4680718954248366 
terror 	 1401.784638522518 1.4680718954248366 
law 	 342.9411395882324 1.4680718954248366 
penal 	 1509.3539869541894 1.4680718954248366 
code 	 920.9693315855671 1.4680718954248366 
inherently 	 1885.033187022593 1.4680718954248366 
incompatible 	 2002.982836727823 1.4680718954248366 
chair 	 754.6769934770947 1.6932427466242004 
kati 	 896.7721654918835 1.6932427466242004 
marton 	 800.4214214965077 1.6932427466242004 
close 	 962.0035495939298 1.4680718954248366 
ethiopia 	 1718.7924926982455 1.4680718954248366 
china 	 995.7211698710885 1.4680718954248366 
kuwait 	 1885.033187022593 1.4680718954248366 
vietnam 	 1205.1596756151446 1.4680718954248366 
peru 	 1718.7924926982455 1.4680718954248366 
myanmar 	 2002.982836727823 1.4680718954248366 
burma 	 1885.033187022593 1.4680718954248366 
nigeria 	 1600.8428429930154 1.4680718954248366 
held 	 387.3663022853434 1.6932427466242004 
killed 	 593.0432346024193 1.6932427466242004 
line 	 667.1632561390154 1.4680718954248366 
duty 	 1102.120760019973 1.4680718954248366 
deaths 	 1552.5517983738982 1.4680718954248366 
homicides 	 2453.4138750817483 1.4680718954248366 
casualties 	 2169.2235310521705 1.4680718954248366 
combat 	 1509.3539869541894 1.4680718954248366 
zones 	 1793.544330983767 1.4680718954248366 
algeria 	 942.5165935112965 1.6932427466242004 
deadly 	 1718.7924926982455 1.4680718954248366 
rebel 	 1655.5907139690696 1.4680718954248366 
terrorists 	 2169.2235310521705 1.4680718954248366 
waging 	 2453.4138750817483 1.4680718954248366 
campaign 	 455.6609138236937 1.6932427466242004 
confirmed 	 1470.2768132344163 1.4680718954248366 
past 	 705.7151254948088 1.4680718954248366 
decade 	 1102.120760019973 1.4680718954248366 
direct 	 455.6609138236937 1.6932427466242004 
result 	 735.6554308509136 1.4680718954248366 
profession 	 1150.4118046390904 1.4680718954248366 
tolls 	 1885.033187022593 1.4680718954248366 
yugoslavia 	 1268.3614543443205 1.4680718954248366 
colombia 	 1885.033187022593 1.4680718954248366 
tajikistan 	 2002.982836727823 1.4680718954248366 
philippines 	 2002.982836727823 1.4680718954248366 
action 	 825.5941905253782 1.4680718954248366 
behalf 	 1316.6524989634377 1.4680718954248366 
diplomatic 	 685.700184969746 1.6932427466242004 
channels 	 1316.6524989634377 1.4680718954248366 
grassroots 	 2002.982836727823 1.4680718954248366 
efforts 	 387.3663022853434 1.6932427466242004 
campaigns 	 1186.0864692048385 1.4680718954248366 
brought 	 1072.8225847872939 1.4680718954248366 
international 	 276.5874949537987 1.6932427466242004 
attention 	 874.8533583806241 1.4680718954248366 
helped 	 1401.784638522518 1.4680718954248366 
secure 	 1268.3614543443205 1.4680718954248366 
release 	 1032.4621549338601 1.4680718954248366 
prisoners 	 1470.2768132344163 1.4680718954248366 
cuba 	 1401.784638522518 1.4680718954248366 
dissident 	 2453.4138750817483 1.4680718954248366 
yndamiro 	 2453.4138750817483 1.4680718954248366 
restano 	 2453.4138750817483 1.4680718954248366 
june 	 857.7675528563911 1.4680718954248366 
yearlong 	 2453.4138750817483 1.4680718954248366 
protest 	 1268.3614543443205 1.4680718954248366 
led 	 940.9732988950342 1.4680718954248366 
walter 	 1600.8428429930154 1.4680718954248366 
cronkite 	 2002.982836727823 1.4680718954248366 
honorary 	 1793.544330983767 1.4680718954248366 
chairman 	 995.7211698710885 1.4680718954248366 
met 	 892.682254275917 1.4680718954248366 
prime 	 920.9693315855671 1.4680718954248366 
minister 	 930.8493277329819 1.4680718954248366 
september 	 972.937530897616 1.4680718954248366 
express 	 1401.784638522518 1.4680718954248366 
objections 	 1793.544330983767 1.4680718954248366 
charges 	 522.7395606214191 1.6932427466242004 
filed 	 1291.7964040186994 1.4680718954248366 
reporter 	 1401.784638522518 1.4680718954248366 
aliza 	 2169.2235310521705 1.4680718954248366 
marcus 	 723.0745103507235 1.7844762522675213 
fall1995 	 1226.7069375408742 1.6932427466242004 
correspondent 	 754.6769934770947 1.6932427466242004 
based 	 504.4418967281386 1.4680718954248366 
istanbul 	 2169.2235310521705 1.4680718954248366 
faced 	 1509.3539869541894 1.4680718954248366 
counterinsurgency 	 2453.4138750817483 1.4680718954248366 
forays 	 2453.4138750817483 1.4680718954248366 
kurdish 	 2002.982836727823 1.4680718954248366 
villages 	 1718.7924926982455 1.4680718954248366 
months 	 892.682254275917 1.4680718954248366 
dismissed 	 1793.544330983767 1.4680718954248366 
david 	 1032.4621549338601 1.4680718954248366 
rohde 	 1001.4914183639115 1.6932427466242004 
christian 	 1007.606059989122 1.4680718954248366 
science 	 448.370732510829 1.4680718954248366 
monitor 	 1316.6524989634377 1.4680718954248366 
captured 	 1600.8428429930154 1.4680718954248366 
nearly 	 1434.602148668668 1.4680718954248366 
bosnian 	 1316.6524989634377 1.4680718954248366 
serbs 	 1371.400369939492 1.4680718954248366 
pursuing 	 1655.5907139690696 1.4680718954248366 
investigations 	 1246.1938936235076 1.4680718954248366 
mass 	 464.08146687470503 1.4680718954248366 
grave 	 2002.982836727823 1.4680718954248366 
sites 	 1117.5942944929404 1.4680718954248366 
near 	 995.7211698710885 1.4680718954248366 
zvornik 	 2169.2235310521705 1.4680718954248366 
freed 	 1793.544330983767 1.4680718954248366 
following 	 603.9614774098395 1.4680718954248366 
personal 	 586.3243495255263 1.4680718954248366 
appeals 	 1343.113292629842 1.4680718954248366 
serbian 	 1470.2768132344163 1.4680718954248366 
president 	 694.3255042109078 1.4680718954248366 
slobodan 	 1793.544330983767 1.4680718954248366 
milosevic 	 1718.7924926982455 1.4680718954248366 
committee 	 857.7675528563911 1.4680718954248366 
protect 	 920.9693315855671 1.4680718954248366 
front 	 995.7211698710885 1.4680718954248366 
index 	 178.29268027470798 1.4680718954248366 
website 	 1246.1938936235076 1.4680718954248366 
http 	 179.89112284512746 1.4680718954248366 
www 	 178.29268027470798 1.4680718954248366 
org 	 1045.4791212428381 1.4680718954248366 
