term 	 tf-idf weight 	 BM25 ranking 
 shared 	 198.89602794375944 1.8710276637039875 
vision 	 315.71646849571096 1.793906237520965 
line 	 634.6187070590635 1.4873688044234017 
september 	 462.73858176837837 1.7060068926886234 
recovery 	 1277.5955710381422 1.4873688044234017 
art 	 220.72167326967678 1.7060068926886234 
movement 	 59.08316228989483 1.9392389862568578 
mike 	 1793.080348631247 1.4873688044234017 
santry 	 2333.7351494680042 1.4873688044234017 
seeker 	 2063.4077490496256 1.4873688044234017 
sooner 	 1905.2763568874416 1.4873688044234017 
finder 	 2333.7351494680042 1.4873688044234017 
found 	 730.4943424404129 1.4873688044234017 
gift 	 1435.7269632003265 1.4873688044234017 
world 	 216.2040967097776 1.7060068926886234 
accept 	 1034.1753904996747 1.4873688044234017 
jonathan 	 1706.054363618705 1.4873688044234017 
livingston 	 1905.2763568874416 1.4873688044234017 
seagull 	 1905.2763568874416 1.4873688044234017 
people 	 228.4916254363807 1.7060068926886234 
life 	 120.80290485158419 1.8413423850390676 
seeking 	 1020.4897757732795 1.4873688044234017 
finding 	 1146.3713987558692 1.4873688044234017 
seek 	 1128.228592658261 1.4873688044234017 
assist 	 1165.3995627819477 1.4873688044234017 
quests 	 2333.7351494680042 1.4873688044234017 
barbara 	 666.7024500290024 1.7060068926886234 
mindell 	 233.37351494680044 1.9333653244045248 
started 	 395.1346491976975 1.793906237520965 
search 	 236.5840729631975 1.7060068926886234 
shortly 	 1706.054363618705 1.4873688044234017 
car 	 503.6340853098818 1.7060068926886234 
crash 	 1476.8175643068787 1.4873688044234017 
age 	 756.9451550125297 1.4873688044234017 
left 	 424.5683892287898 1.7060068926886234 
paraplegic 	 2333.7351494680042 1.4873688044234017 
hospital 	 982.0981473761109 1.4873688044234017 
told 	 947.149405487133 1.4873688044234017 
walk 	 524.943397112144 1.793906237520965 
impression 	 1574.830191336432 1.4873688044234017 
bought 	 1574.830191336432 1.4873688044234017 
idea 	 1034.1753904996747 1.4873688044234017 
god 	 1185.4039475930924 1.4873688044234017 
possibility 	 1228.78194528608 1.4873688044234017 
recover 	 1476.8175643068787 1.4873688044234017 
injury 	 1277.5955710381422 1.4873688044234017 
conventional 	 1252.4255477944896 1.4873688044234017 
north 	 688.1271444493226 1.4873688044234017 
american 	 432.4081934195552 1.4873688044234017 
medical 	 743.4955463447737 1.4873688044234017 
wisdom 	 1476.8175643068787 1.4873688044234017 
answers 	 1206.4901638885 1.4873688044234017 
looking 	 876.0439983374907 1.4873688044234017 
doctors 	 1364.6215560506841 1.4873688044234017 
human 	 200.36705314559362 1.793906237520965 
body 	 92.46417608900906 1.9262345458443506 
machine 	 1165.3995627819477 1.4873688044234017 
grown 	 1634.9489564690628 1.4873688044234017 
grow 	 1277.5955710381422 1.4873688044234017 
regenerate 	 2333.7351494680042 1.4873688044234017 
eventually 	 1252.4255477944896 1.4873688044234017 
falls 	 1634.9489564690628 1.4873688044234017 
apart 	 1333.4049000580048 1.4873688044234017 
fix 	 1706.054363618705 1.4873688044234017 
spent 	 1206.4901638885 1.4873688044234017 
exploring 	 1793.080348631247 1.4873688044234017 
alternative 	 866.8671043475149 1.4873688044234017 
healing 	 222.23415000966747 1.891355373814561 
methods 	 649.9147851888432 1.4873688044234017 
including 	 342.41641464677787 1.4873688044234017 
bodywork 	 2333.7351494680042 1.4873688044234017 
massage 	 1793.080348631247 1.4873688044234017 
acupuncture 	 1522.7529482128682 1.4873688044234017 
sent 	 1110.8924052556358 1.4873688044234017 
form 	 601.1011594367809 1.4873688044234017 
letters 	 1333.4049000580048 1.4873688044234017 
health 	 624.7447619451905 1.4873688044234017 
scientific 	 1048.3587717263158 1.4873688044234017 
organizations 	 840.5650048372571 1.4873688044234017 
received 	 785.3213031826768 1.4873688044234017 
wishes 	 1364.6215560506841 1.4873688044234017 
reply 	 1905.2763568874416 1.4873688044234017 
course 	 925.4771635367567 1.4873688044234017 
met 	 849.1367784575796 1.4873688044234017 
emilie 	 2333.7351494680042 1.4873688044234017 
conrad 	 408.7372391172657 1.8413423850390676 
da'oud 	 583.4337873670011 1.8413423850390676 
introduced 	 1206.4901638885 1.4873688044234017 
continuum 	 1166.8675747340021 1.7060068926886234 
describes 	 392.6606515913384 1.7060068926886234 
primary 	 958.4545448677014 1.4873688044234017 
process 	 61.03873124273311 1.9333653244045248 
explores 	 936.1627634701214 1.4873688044234017 
invented 	 1905.2763568874416 1.4873688044234017 
developed 	 778.0313713079372 1.4873688044234017 
changing 	 800.3231527055171 1.4873688044234017 
evolving 	 1333.4049000580048 1.4873688044234017 
inquiry 	 1252.4255477944896 1.4873688044234017 
nature 	 660.4559674201317 1.4873688044234017 
means 	 699.7698000776983 1.4873688044234017 
learned 	 1364.6215560506841 1.4873688044234017 
breathe 	 1905.2763568874416 1.4873688044234017 
manner 	 958.4545448677014 1.4873688044234017 
created 	 362.0763696502093 1.7060068926886234 
wave 	 279.711198615328 1.8710276637039875 
motion 	 250.4851095588979 1.8710276637039875 
generated 	 761.3764741064341 1.7060068926886234 
move 	 327.3660491253703 1.793906237520965 
radiates 	 2333.7351494680042 1.4873688044234017 
spreading 	 1634.9489564690628 1.4873688044234017 
tiny 	 2063.4077490496256 1.4873688044234017 
movements 	 340.16325859109315 1.793906237520965 
signaling 	 2063.4077490496256 1.4873688044234017 
dormant 	 2333.7351494680042 1.4873688044234017 
participate 	 573.1856993779346 1.7060068926886234 
concept 	 785.3213031826768 1.4873688044234017 
described 	 958.4545448677014 1.4873688044234017 
breaking 	 1476.8175643068787 1.4873688044234017 
ice 	 1304.5027909180535 1.4873688044234017 
water 	 904.9461074774422 1.4873688044234017 
suggests 	 1252.4255477944896 1.4873688044234017 
entertain 	 2063.4077490496256 1.4873688044234017 
notion 	 1398.5559930766399 1.4873688044234017 
systems 	 307.5573215174728 1.7060068926886234 
endless 	 2063.4077490496256 1.4873688044234017 
possibilities 	 1333.4049000580048 1.4873688044234017 
innovation 	 1634.9489564690628 1.4873688044234017 
development 	 226.91266944101991 1.7060068926886234 
neural 	 381.0552713774883 1.8710276637039875 
pathways 	 777.9117164893348 1.793906237520965 
connections 	 1574.830191336432 1.4873688044234017 
identify 	 1185.4039475930924 1.4873688044234017 
experience 	 699.7698000776983 1.4873688044234017 
transform 	 1522.7529482128682 1.4873688044234017 
entering 	 1165.3995627819477 1.4873688044234017 
shedding 	 2333.7351494680042 1.4873688044234017 
skin 	 1793.080348631247 1.4873688044234017 
doing 	 970.0972004960769 1.4873688044234017 
loving 	 1905.2763568874416 1.4873688044234017 
environment 	 711.7707469577323 1.4873688044234017 
teaches 	 1574.830191336432 1.4873688044234017 
develop 	 438.02199916874537 1.7060068926886234 
aquatic 	 635.0921189624805 1.793906237520965 
atmosphere 	 1206.4901638885 1.4873688044234017 
womb 	 2333.7351494680042 1.4873688044234017 
fundamentally 	 1793.080348631247 1.4873688044234017 
earliest 	 1522.7529482128682 1.4873688044234017 
developments 	 1034.1753904996747 1.4873688044234017 
similar 	 770.8752072273405 1.4873688044234017 
sea 	 936.1627634701214 1.4873688044234017 
fluttering 	 2333.7351494680042 1.4873688044234017 
irregular 	 2333.7351494680042 1.4873688044234017 
eye 	 1185.4039475930924 1.4873688044234017 
experimental 	 1364.6215560506841 1.4873688044234017 
undifferentiated 	 1905.2763568874416 1.4873688044234017 
allows 	 582.6997813909738 1.7060068926886234 
nerves 	 2333.7351494680042 1.4873688044234017 
innovate 	 2063.4077490496256 1.4873688044234017 
specific 	 420.67798587701674 1.4873688044234017 
weight 	 1277.5955710381422 1.4873688044234017 
training 	 840.5650048372571 1.4873688044234017 
information 	 107.98380920462347 1.793906237520965 
spreads 	 2333.7351494680042 1.4873688044234017 
probabilities 	 2333.7351494680042 1.4873688044234017 
synaptic 	 2333.7351494680042 1.4873688044234017 
activity 	 785.3213031826768 1.4873688044234017 
hook 	 1031.7038745248128 1.7060068926886234 
ups 	 666.7024500290024 1.7060068926886234 
thousands 	 1228.78194528608 1.4873688044234017 
signals 	 1476.8175643068787 1.4873688044234017 
traveling 	 1522.7529482128682 1.4873688044234017 
muscles 	 1905.2763568874416 1.4873688044234017 
unknown 	 1476.8175643068787 1.4873688044234017 
realized 	 1793.080348631247 1.4873688044234017 
patient' 	 2333.7351494680042 1.4873688044234017 
passive 	 1522.7529482128682 1.4873688044234017 
person 	 750.1623753549007 1.4873688044234017 
fixes' 	 2333.7351494680042 1.4873688044234017 
willingness 	 1706.054363618705 1.4873688044234017 
ready 	 1110.8924052556358 1.4873688044234017 
spiritual 	 592.7019737965462 1.7060068926886234 
aspect 	 1304.5027909180535 1.4873688044234017 
sensation 	 476.3190892218604 1.8413423850390676 
paralyzed 	 2063.4077490496256 1.4873688044234017 
result 	 699.7698000776983 1.4873688044234017 
deeper 	 1634.9489564690628 1.4873688044234017 
went 	 1228.78194528608 1.4873688044234017 
letting 	 2063.4077490496256 1.4873688044234017 
struggling 	 853.0271818093526 1.7060068926886234 
paralysis 	 476.3190892218604 1.8413423850390676 
lot 	 1304.5027909180535 1.4873688044234017 
living 	 857.9011922398824 1.4873688044234017 
wheelchair 	 2063.4077490496256 1.4873688044234017 
forcing 	 1706.054363618705 1.4873688044234017 
pushing 	 1793.080348631247 1.4873688044234017 
able 	 266.7743842351724 1.793906237520965 
awareness 	 1304.5027909180535 1.4873688044234017 
focus 	 936.1627634701214 1.4873688044234017 
legs 	 1634.9489564690628 1.4873688044234017 
dealing 	 785.3213031826768 1.4873688044234017 
directly 	 936.1627634701214 1.4873688044234017 
issue 	 276.81967739777406 1.7060068926886234 
expansive 	 2333.7351494680042 1.4873688044234017 
transformation 	 1128.228592658261 1.4873688044234017 
overly 	 1706.054363618705 1.4873688044234017 
focused 	 1304.5027909180535 1.4873688044234017 
creates 	 1435.7269632003265 1.4873688044234017 
loop 	 2063.4077490496256 1.4873688044234017 
growth 	 717.9126061753066 1.4873688044234017 
full 	 671.2899974218913 1.4873688044234017 
career 	 936.1627634701214 1.4873688044234017 
artist 	 1333.4049000580048 1.4873688044234017 
relationship 	 574.4999419264327 1.4873688044234017 
increase 	 815.9252332048599 1.4873688044234017 
enormous 	 1398.5559930766399 1.4873688044234017 
feeling 	 1364.6215560506841 1.4873688044234017 
fluidity 	 2333.7351494680042 1.4873688044234017 
incredible 	 1634.9489564690628 1.4873688044234017 
ambul 	 2333.7351494680042 1.4873688044234017 
atory 	 2063.4077490496256 1.4873688044234017 
lower 	 876.0439983374907 1.4873688044234017 
investigation 	 792.7500992212476 1.4873688044234017 
led 	 895.0721623635691 1.4873688044234017 
profound 	 1398.5559930766399 1.4873688044234017 
insights 	 1398.5559930766399 1.4873688044234017 
creative 	 1304.5027909180535 1.4873688044234017 
capacity 	 1078.373577769406 1.4873688044234017 
biological 	 1706.054363618705 1.4873688044234017 
reaching 	 1228.78194528608 1.4873688044234017 
implications 	 876.0439983374907 1.4873688044234017 
community 	 601.1011594367809 1.4873688044234017 
paralysed 	 2333.7351494680042 1.4873688044234017 
various 	 476.48731489687935 1.4873688044234017 
example 	 688.1271444493226 1.4873688044234017 
based 	 479.8349749365221 1.4873688044234017 
interview 	 1078.373577769406 1.4873688044234017 
